time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 16:07:36:878, 0, 18.7700, 3.7533, 38441, 7686.6627, 21, 4980, 3.7691, 7719.0763
2018-11-27 16:07:41:878, 0, 37.4185, 3.7297, 76633, 7638.4000, 0, 5000, 3.7297, 7638.4000
2018-11-27 16:07:46:880, 0, 56.7178, 3.8583, 116158, 7901.8393, 0, 5002, 3.8583, 7901.8393
2018-11-27 16:07:51:882, 0, 75.4570, 3.7464, 154536, 7672.5310, 0, 5002, 3.7464, 7672.5310
2018-11-27 16:07:56:884, 0, 94.3174, 3.7706, 193162, 7722.1112, 0, 5002, 3.7706, 7722.1112
2018-11-27 16:08:02:898, 0, 104.8525, 1.7518, 214738, 3587.6289, 0, 6014, 1.7518, 3587.6289
2018-11-27 16:08:07:899, 0, 123.6675, 3.7622, 253271, 7705.0590, 0, 5001, 3.7622, 7705.0590
2018-11-27 16:08:12:901, 0, 142.1494, 3.6949, 291122, 7567.1731, 0, 5002, 3.6949, 7567.1731
2018-11-27 16:08:17:902, 0, 161.2520, 3.8197, 330244, 7822.8354, 0, 5001, 3.8197, 7822.8354
2018-11-27 16:08:22:903, 0, 180.0669, 3.7622, 368777, 7705.0590, 0, 5001, 3.7622, 7705.0590
2018-11-27 16:08:27:905, 0, 198.7456, 3.7342, 407031, 7647.7409, 0, 5002, 3.7342, 7647.7409
2018-11-27 16:08:32:908, 0, 217.4849, 3.7456, 445409, 7670.9974, 0, 5003, 3.7456, 7670.9974
2018-11-27 16:08:37:908, 0, 236.4512, 3.7933, 484252, 7768.6000, 0, 5000, 3.7933, 7768.6000
2018-11-27 16:08:42:909, 0, 254.9937, 3.7078, 522227, 7593.4813, 0, 5001, 3.7078, 7593.4813
2018-11-27 16:08:47:911, 0, 273.0063, 3.6011, 559117, 7375.0500, 0, 5002, 3.6011, 7375.0500
2018-11-27 16:08:52:914, 0, 291.5942, 3.7153, 597185, 7609.0346, 0, 5003, 3.7153, 7609.0346
2018-11-27 16:08:57:915, 0, 310.0308, 3.6866, 634943, 7550.0900, 0, 5001, 3.6866, 7550.0900
2018-11-27 16:09:02:919, 0, 328.8154, 3.7539, 673414, 7688.0496, 0, 5004, 3.7539, 7688.0496
2018-11-27 16:09:07:919, 0, 347.3882, 3.7146, 711451, 7607.4000, 0, 5000, 3.7146, 7607.4000
2018-11-27 16:09:12:919, 0, 366.0518, 3.7327, 749674, 7644.6000, 0, 5000, 3.7327, 7644.6000
2018-11-27 16:09:17:920, 0, 384.4429, 3.6775, 787339, 7531.4937, 0, 5001, 3.6775, 7531.4937
2018-11-27 16:09:22:922, 0, 402.7432, 3.6586, 824818, 7492.8029, 0, 5002, 3.6586, 7492.8029
2018-11-27 16:09:27:925, 0, 421.0283, 3.6548, 862266, 7485.1089, 0, 5003, 3.6548, 7485.1089
2018-11-27 16:09:32:926, 0, 439.4800, 3.6896, 900055, 7556.2887, 0, 5001, 3.6896, 7556.2887
2018-11-27 16:09:37:928, 0, 458.2798, 3.7585, 938557, 7697.3211, 0, 5002, 3.7585, 7697.3211
2018-11-27 16:09:42:929, 0, 476.9736, 3.7380, 976842, 7655.4689, 0, 5001, 3.7380, 7655.4689
2018-11-27 16:09:47:931, 0, 495.6675, 3.7373, 1015127, 7653.9384, 0, 5002, 3.7373, 7653.9384
2018-11-27 16:09:52:934, 0, 513.9526, 3.6548, 1052575, 7485.1089, 0, 5003, 3.6548, 7485.1089
2018-11-27 16:09:57:937, 0, 532.6465, 3.7365, 1090860, 7652.4086, 0, 5003, 3.7365, 7652.4086
2018-11-27 16:10:02:940, 0, 551.1738, 3.7032, 1128804, 7584.2495, 0, 5003, 3.7032, 7584.2495
2018-11-27 16:10:07:941, 0, 569.8828, 3.7410, 1167120, 7661.6677, 0, 5001, 3.7410, 7661.6677
2018-11-27 16:10:12:945, 0, 588.4556, 3.7116, 1205157, 7601.3189, 0, 5004, 3.7116, 7601.3189
2018-11-27 16:10:17:948, 0, 606.5591, 3.6185, 1242233, 7410.7535, 0, 5003, 3.6185, 7410.7535
2018-11-27 16:10:22:950, 0, 625.6616, 3.8190, 1281355, 7821.2715, 0, 5002, 3.8190, 7821.2715
2018-11-27 16:10:27:954, 0, 644.5522, 3.7751, 1320043, 7731.4149, 0, 5004, 3.7751, 7731.4149
2018-11-27 16:10:32:954, 0, 663.2612, 3.7418, 1358359, 7663.2000, 0, 5000, 3.7418, 7663.2000
2018-11-27 16:10:37:955, 0, 682.0610, 3.7592, 1396861, 7698.8602, 0, 5001, 3.7592, 7698.8602
2018-11-27 16:10:42:955, 0, 700.6641, 3.7206, 1434960, 7619.8000, 0, 5000, 3.7206, 7619.8000
2018-11-27 16:10:47:958, 0, 718.8887, 3.6427, 1472284, 7460.3238, 0, 5003, 3.6427, 7460.3238
2018-11-27 16:10:52:959, 0, 737.4009, 3.7017, 1510197, 7581.0838, 0, 5001, 3.7017, 7581.0838
2018-11-27 16:10:57:959, 0, 755.7163, 3.6631, 1547707, 7502.0000, 0, 5000, 3.6631, 7502.0000
2018-11-27 16:11:02:960, 0, 773.8047, 3.6170, 1584752, 7407.5185, 0, 5001, 3.6170, 7407.5185
2018-11-27 16:11:07:960, 0, 792.5439, 3.7479, 1623130, 7675.6000, 0, 5000, 3.7479, 7675.6000
2018-11-27 16:11:12:963, 0, 811.4800, 3.7849, 1661911, 7751.5491, 0, 5003, 3.7849, 7751.5491
2018-11-27 16:11:17:967, 0, 830.1133, 3.7237, 1700072, 7626.0991, 0, 5004, 3.7237, 7626.0991
2018-11-27 16:11:22:968, 0, 849.1553, 3.8076, 1739070, 7798.0404, 0, 5001, 3.8076, 7798.0404
2018-11-27 16:11:27:970, 0, 867.9097, 3.7494, 1777479, 7678.7285, 0, 5002, 3.7494, 7678.7285
2018-11-27 16:11:32:972, 0, 886.5127, 3.7191, 1815578, 7616.7533, 0, 5002, 3.7191, 7616.7533
2018-11-27 16:11:37:974, 0, 905.3882, 3.7736, 1854235, 7728.3087, 0, 5002, 3.7736, 7728.3087
2018-11-27 16:11:42:975, 0, 924.0518, 3.7320, 1892458, 7643.0714, 0, 5001, 3.7320, 7643.0714
2018-11-27 16:11:47:976, 0, 942.1250, 3.6139, 1929472, 7401.3197, 0, 5001, 3.6139, 7401.3197
2018-11-27 16:11:52:979, 0, 960.4858, 3.6700, 1967075, 7516.0903, 0, 5003, 3.6700, 7516.0903
2018-11-27 16:11:57:981, 0, 979.3916, 3.7796, 2005794, 7740.7037, 0, 5002, 3.7796, 7740.7037
2018-11-27 16:12:02:983, 0, 998.2368, 3.7675, 2044389, 7715.9136, 0, 5002, 3.7675, 7715.9136
2018-11-27 16:12:07:992, 0, 1016.7188, 3.6897, 2082240, 7556.5981, 0, 5009, 3.6897, 7556.5981
2018-11-27 16:12:12:994, 0, 1035.2764, 3.7100, 2120246, 7598.1607, 0, 5002, 3.7100, 7598.1607
2018-11-27 16:12:17:996, 0, 1054.1064, 3.7645, 2158810, 7709.7161, 0, 5002, 3.7645, 7709.7161
2018-11-27 16:12:22:997, 0, 1072.8457, 3.7471, 2197188, 7674.0652, 0, 5001, 3.7471, 7674.0652
2018-11-27 16:12:28:000, 0, 1091.1309, 3.6548, 2234636, 7485.1089, 0, 5003, 3.6548, 7485.1089
2018-11-27 16:12:33:003, 0, 1109.1133, 3.5943, 2271464, 7361.1833, 0, 5003, 3.5943, 7361.1833
2018-11-27 16:12:38:007, 0, 1127.7314, 3.7207, 2309594, 7619.9041, 0, 5004, 3.7207, 7619.9041
2018-11-27 16:12:43:011, 0, 1146.3647, 3.7237, 2347755, 7626.0991, 0, 5004, 3.7237, 7626.0991
2018-11-27 16:12:48:015, 0, 1165.3159, 3.7872, 2386567, 7756.1950, 0, 5004, 3.7872, 7756.1950
2018-11-27 16:12:53:016, 0, 1184.2065, 3.7774, 2425255, 7736.0528, 0, 5001, 3.7774, 7736.0528
2018-11-27 16:12:58:017, 0, 1202.9004, 3.7380, 2463540, 7655.4689, 0, 5001, 3.7380, 7655.4689
2018-11-27 16:13:03:017, 0, 1221.2764, 3.6752, 2501174, 7526.8000, 0, 5000, 3.6752, 7526.8000
2018-11-27 16:13:08:017, 0, 1239.7886, 3.7024, 2539087, 7582.6000, 0, 5000, 3.7024, 7582.6000
2018-11-27 16:13:13:019, 0, 1258.3613, 3.7131, 2577124, 7604.3583, 0, 5002, 3.7131, 7604.3583
2018-11-27 16:13:18:019, 0, 1276.6465, 3.6570, 2614572, 7489.6000, 0, 5000, 3.6570, 7489.6000
2018-11-27 16:13:23:019, 0, 1295.6582, 3.8023, 2653508, 7787.2000, 0, 5000, 3.8023, 7787.2000
2018-11-27 16:13:28:021, 0, 1314.5186, 3.7706, 2692134, 7722.1112, 0, 5002, 3.7706, 7722.1112
2018-11-27 16:13:33:021, 0, 1333.0610, 3.7085, 2730109, 7595.0000, 0, 5000, 3.7085, 7595.0000
2018-11-27 16:13:38:022, 0, 1351.6943, 3.7259, 2768270, 7630.6739, 0, 5001, 3.7259, 7630.6739
2018-11-27 16:13:43:025, 0, 1370.0703, 3.6730, 2805904, 7522.2866, 0, 5003, 3.6730, 7522.2866
2018-11-27 16:13:48:025, 0, 1388.8853, 3.7630, 2844437, 7706.6000, 0, 5000, 3.7630, 7706.6000
2018-11-27 16:13:53:026, 0, 1406.7012, 3.5625, 2880924, 7295.9408, 0, 5001, 3.5625, 7295.9408
2018-11-27 16:13:58:026, 0, 1424.7744, 3.6146, 2917938, 7402.8000, 0, 5000, 3.6146, 7402.8000
2018-11-27 16:14:03:027, 0, 1442.9990, 3.6442, 2955262, 7463.3073, 0, 5001, 3.6442, 7463.3073
2018-11-27 16:14:08:028, 0, 1461.1479, 3.6291, 2992431, 7432.3135, 0, 5001, 3.6291, 7432.3135
2018-11-27 16:14:13:032, 0, 1479.0850, 3.5845, 3029166, 7341.1271, 0, 5004, 3.5845, 7341.1271
2018-11-27 16:14:18:032, 0, 1497.0825, 3.5995, 3066025, 7371.8000, 0, 5000, 3.5995, 7371.8000
2018-11-27 16:14:23:037, 0, 1515.0044, 3.5808, 3102729, 7333.4665, 0, 5005, 3.5808, 7333.4665
2018-11-27 16:14:28:040, 0, 1533.1382, 3.6246, 3139867, 7423.1461, 0, 5003, 3.6246, 7423.1461
2018-11-27 16:14:33:040, 0, 1551.1963, 3.6116, 3176850, 7396.6000, 0, 5000, 3.6116, 7396.6000
2018-11-27 16:14:38:043, 0, 1568.9365, 3.5459, 3213182, 7262.0428, 0, 5003, 3.5459, 7262.0428
2018-11-27 16:14:43:044, 0, 1586.6616, 3.5443, 3249483, 7258.7483, 0, 5001, 3.5443, 7258.7483
