procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  23376     74   7079    0    0     0    32    2    3  0  0 100  0  0 2018-11-23 23:08:31
 0  0      0  23377     74   7079    0    0     0     0  241  436  0  0 100  0  0 2018-11-23 23:08:32
 0  0      0  23377     74   7079    0    0     0     0  151  311  0  0 100  0  0 2018-11-23 23:08:33
 1  0      0  23357     74   7099    0    0     0    68 4601 4756  2  1 96  0  0 2018-11-23 23:08:34
 2  0      0  23343     74   7114    0    0     0     0 8991 8575  4  2 94  0  0 2018-11-23 23:08:35
 1  0      0  23329     74   7129    0    0     0    68 11923 10900  5  2 92  0  0 2018-11-23 23:08:36
 2  0      0  23313     74   7143    0    0     0     0 12457 11757  5  3 92  0  0 2018-11-23 23:08:37
 1  0      0  23299     74   7158    0    0     0     0 12555 11910  5  3 92  0  0 2018-11-23 23:08:38
 0  0      0  23285     74   7172    0    0     0     0 12103 11707  5  3 92  0  0 2018-11-23 23:08:39
 0  0      0  23270     74   7187    0    0     0    72 12729 12183  6  3 91  0  0 2018-11-23 23:08:40
 3  0      0  23255     74   7202    0    0     0    68 12303 11315  4  3 92  0  0 2018-11-23 23:08:41
 1  0      0  23241     74   7216    0    0     0     0 12106 11372  5  3 92  0  0 2018-11-23 23:08:42
 1  0      0  23226     74   7231    0    0     0     0 11978 11009  5  3 93  0  0 2018-11-23 23:08:43
 1  0      0  23212     74   7246    0    0     0     0 12346 11707  5  3 92  0  0 2018-11-23 23:08:44
 0  0      0  23197     74   7261    0    0     0     0 12550 12041  5  3 92  0  0 2018-11-23 23:08:45
 0  0      0  23182     74   7275    0    0     0    68 12284 11896  5  3 92  0  0 2018-11-23 23:08:46
 2  0      0  23168     74   7290    0    0     0     0 12343 11720  5  3 92  0  0 2018-11-23 23:08:47
 1  0      0  23154     74   7304    0    0     0     0 12325 11667  6  3 91  0  0 2018-11-23 23:08:48
 1  0      0  23139     74   7319    0    0     0     0 12251 11769  5  2 92  0  0 2018-11-23 23:08:49
 1  0      0  23125     74   7334    0    0     0     0 12225 11204  5  3 93  0  0 2018-11-23 23:08:50
 1  0      0  23110     74   7349    0    0     0 119212 8750 8464  3  2 85  9  0 2018-11-23 23:08:51
 2  0      0  23095     74   7363    0    0     0  3784 12997 12450  5  3 91  1  0 2018-11-23 23:08:52
 2  0      0  23081     74   7377    0    0     0     0 14937 11967  5  3 92  0  0 2018-11-23 23:08:53
 1  0      0  23066     74   7392    0    0     0     0 12251 11616  5  3 92  0  0 2018-11-23 23:08:54
 1  0      0  23051     74   7406    0    0     0     0 11556 10872  5  3 92  0  0 2018-11-23 23:08:55
 0  1      0  23048     74   7410    0    0     0 212868 2674 2930  1  1 86 11  0 2018-11-23 23:08:56
 2  0      0  23024     74   7434    0    0     0     0 9429 9309  5  2 90  3  0 2018-11-23 23:08:57
 0  0      0  23007     74   7451    0    0     0     0 12811 12248  5  3 92  0  0 2018-11-23 23:08:58
 2  0      0  22993     74   7465    0    0     0     0 12588 12236  5  3 92  0  0 2018-11-23 23:08:59
 2  0      0  22978     74   7480    0    0     0     0 12910 12398  5  2 92  0  0 2018-11-23 23:09:00
 2  0      0  22963     74   7495    0    0     0    68 12728 12153  5  3 92  0  0 2018-11-23 23:09:01
 2  0      0  22949     74   7509    0    0     0     0 12858 12353  5  3 92  0  0 2018-11-23 23:09:02
 1  0      0  22934     74   7524    0    0     0     0 12525 12057  5  2 92  0  0 2018-11-23 23:09:03
 0  0      0  22920     74   7538    0    0     0     0 12408 12322  6  3 92  0  0 2018-11-23 23:09:04
 1  0      0  22905     74   7553    0    0     0     0 12351 11937  5  3 92  0  0 2018-11-23 23:09:05
 1  0      0  22890     74   7568    0    0     0    68 11764 10979  5  3 92  0  0 2018-11-23 23:09:06
 1  0      0  22875     74   7582    0    0     0     0 11851 11206  6  2 92  0  0 2018-11-23 23:09:07
 0  0      0  22861     74   7597    0    0     0     0 11669 10913  5  3 92  0  0 2018-11-23 23:09:08
 1  0      0  22846     74   7612    0    0     0     0 11663 10851  5  2 93  0  0 2018-11-23 23:09:09
 1  0      0  22832     74   7626    0    0     0     0 11743 10823  5  3 93  0  0 2018-11-23 23:09:10
 1  0      0  22817     74   7641    0    0     0    68 11710 10815  4  2 93  0  0 2018-11-23 23:09:11
 1  0      0  22802     74   7656    0    0     0     0 11698 10721  5  3 93  0  0 2018-11-23 23:09:12
 1  0      0  22787     74   7670    0    0     0     0 12087 11075  5  3 93  0  0 2018-11-23 23:09:13
 1  0      0  22773     74   7685    0    0     0     0 11616 10833  5  2 92  0  0 2018-11-23 23:09:14
 1  0      0  22758     74   7700    0    0     0     0 11627 10818  5  3 92  0  0 2018-11-23 23:09:15
 1  0      0  22743     74   7714    0    0     0    68 11653 10662  6  2 92  0  0 2018-11-23 23:09:16
 1  0      0  22729     74   7729    0    0     0     0 11618 10897  4  3 93  0  0 2018-11-23 23:09:17
 1  0      0  22715     74   7743    0    0     0     0 11623 10688  5  2 92  0  0 2018-11-23 23:09:18
 0  0      0  22700     74   7758    0    0     0     0 11876 10849  5  2 92  0  0 2018-11-23 23:09:19
 2  0      0  22685     74   7773    0    0     0     0 12587 11782  6  3 91  0  0 2018-11-23 23:09:20
 1  0      0  22671     74   7788    0    0     0   448 11936 11303  5  3 92  0  0 2018-11-23 23:09:21
 2  0      0  22656     74   7802    0    0     0     0 12179 11787  5  4 91  0  0 2018-11-23 23:09:22
 0  0      0  22642     74   7817    0    0     0     0 11747 11173  5  3 92  0  0 2018-11-23 23:09:23
 1  0      0  22627     74   7832    0    0     0     0 11610 10840  5  3 92  0  0 2018-11-23 23:09:24
 1  0      0  22612     74   7846    0    0     0     0 11927 10828  5  3 92  0  0 2018-11-23 23:09:25
 1  0      0  22597     74   7861    0    0     0    76 11814 10773  5  3 92  0  0 2018-11-23 23:09:26
 1  0      0  22583     74   7875    0    0     0     0 11350 10570  5  3 92  0  0 2018-11-23 23:09:27
 1  0      0  22569     74   7890    0    0     0     0 11554 10605  5  3 92  0  0 2018-11-23 23:09:28
 1  0      0  27832     74   2625    0    0     0  4168 11777 11508  5  8 87  1  0 2018-11-23 23:09:29
 1  0      0  27818     74   2640    0    0     0     0 11369 10492  5  2 92  0  0 2018-11-23 23:09:30
 2  0      0  27803     74   2655    0    0     0 129140 11705 10842  5  4 91  0  0 2018-11-23 23:09:31
 0  2      0  27799     74   2658    0    0     0 206840 1585 1840  1  2 82 16  0 2018-11-23 23:09:32
 0  2      0  27800     74   2657    0    0     0 161760  323  308  0  0 83 16  0 2018-11-23 23:09:33
 0  0      0  27801     74   2656    0    0     0 39908  425  491  0  0 88 12  0 2018-11-23 23:09:34
 1  0      0  27770     74   2689    0    0     0     0 13715 13163  7  4 90  0  0 2018-11-23 23:09:35
 1  0      0  27731     74   2727    0    0     0    68 15179 14728  8  4 88  0  0 2018-11-23 23:09:36
 0  0      0  27717     74   2742    0    0     0     0 12565 11755  5  3 92  0  0 2018-11-23 23:09:37
 0  0      0  27701     74   2757    0    0     0     0 12188 11308  5  3 93  0  0 2018-11-23 23:09:38
 1  0      0  27687     74   2772    0    0     0     0 12055 11841  6  3 92  0  0 2018-11-23 23:09:39
 1  0      0  27673     74   2786    0    0     0    68 12220 11903  5  2 93  0  0 2018-11-23 23:09:40
 1  0      0  27658     74   2801    0    0     0    68 12299 11816  5  3 92  0  0 2018-11-23 23:09:41
 0  0      0  27643     74   2816    0    0     0     0 12441 11799  5  3 92  0  0 2018-11-23 23:09:42
 2  0      0  27628     74   2830    0    0     0     0 12541 11808  5  3 93  0  0 2018-11-23 23:09:43
 1  1      0  27612     74   2846    0    0     0 181108 13050 12381  5  4 86  6  0 2018-11-23 23:09:44
 2  0      0  27598     74   2860    0    0     0  2072 12915 12215  5  2 89  4  0 2018-11-23 23:09:45
 0  0      0  27584     74   2875    0    0     0   164 12629 11880  6  2 91  0  0 2018-11-23 23:09:46
 1  0      0  27569     74   2889    0    0     0     0 12276 11815  5  3 92  0  0 2018-11-23 23:09:47
 1  0      0  27555     74   2904    0    0     0     0 12864 12071  6  3 91  0  0 2018-11-23 23:09:48
 2  0      0  27540     74   2919    0    0     0     0 12473 12078  5  3 92  0  0 2018-11-23 23:09:49
 2  0      0  27525     74   2933    0    0     0     0 12627 12099  5  3 92  0  0 2018-11-23 23:09:50
 0  0      0  27511     74   2948    0    0     0   132 12021 11242  5  3 92  0  0 2018-11-23 23:09:51
 2  0      0  27496     74   2963    0    0     0     0 11818 10726  5  2 92  0  0 2018-11-23 23:09:52
 0  0      0  27481     74   2977    0    0     0     0 11508 10589  5  3 92  0  0 2018-11-23 23:09:53
 0  0      0  27467     74   2992    0    0     0     0 11632 10823  5  3 92  0  0 2018-11-23 23:09:54
 0  0      0  27452     74   3007    0    0     0     0 11643 10799  5  2 92  0  0 2018-11-23 23:09:55
 1  0      0  27438     74   3021    0    0     0   132 11494 10645  5  2 92  0  0 2018-11-23 23:09:56
 3  0      0  27423     74   3036    0    0     0     4 11846 10699  5  3 92  0  0 2018-11-23 23:09:57
 2  0      0  27408     74   3050    0    0     0     0 11973 10934  5  2 93  0  0 2018-11-23 23:09:58
 0  0      0  27394     74   3065    0    0     0     0 12278 11813  6  3 92  0  0 2018-11-23 23:09:59
 3  0      0  27379     74   3080    0    0     0     0 11874 11437  5  3 92  0  0 2018-11-23 23:10:00
 2  0      0  27364     74   3094    0    0     0  6060 11731 10956  5  3 90  2  0 2018-11-23 23:10:01
 2  0      0  27349     74   3109    0    0     0     4 13617 11288  6  3 91  0  0 2018-11-23 23:10:02
 1  0      0  27334     74   3124    0    0     0     0 12396 11564  6  3 92  0  0 2018-11-23 23:10:03
 1  0      0  27320     74   3138    0    0     0     0 11780 10936  5  3 92  0  0 2018-11-23 23:10:04
 1  0      0  27305     74   3153    0    0     0     0 11671 10830  5  3 92  0  0 2018-11-23 23:10:05
 2  0      0  27291     74   3167    0    0     0    68 11556 10729  5  3 92  0  0 2018-11-23 23:10:06
 0  0      0  27276     74   3182    0    0     0     0 11571 10622  5  2 93  0  0 2018-11-23 23:10:07
 2  0      0  27262     74   3197    0    0     0     0 11865 10847  6  2 92  0  0 2018-11-23 23:10:08
 1  0      0  27247     74   3211    0    0     0     0 11601 10818  5  3 92  0  0 2018-11-23 23:10:09
 0  0      0  27232     74   3226    0    0     0     0 11772 10910  5  2 92  0  0 2018-11-23 23:10:10
 0  0      0  27218     74   3240    0    0     0    68 11579 10592  5  3 92  0  0 2018-11-23 23:10:11
 1  0      0  27203     74   3255    0    0     0     0 11632 10715  5  3 92  0  0 2018-11-23 23:10:12
 0  0      0  27189     74   3270    0    0     0     0 11664 10738  6  2 92  0  0 2018-11-23 23:10:13
 0  0      0  27175     74   3284    0    0     0     0 11659 10794  5  3 92  0  0 2018-11-23 23:10:14
 2  0      0  27160     74   3299    0    0     0     0 11591 10844  4  3 93  0  0 2018-11-23 23:10:15
 1  0      0  27145     74   3313    0    0     0    68 12153 11042  5  3 92  0  0 2018-11-23 23:10:16
 1  0      0  27130     74   3328    0    0     0     0 12153 11558  5  2 92  0  0 2018-11-23 23:10:17
 0  2      0  27124     74   3334    0    0     0 264604 4060 4406  2  3 84 11  0 2018-11-23 23:10:18
 0  2      0  27125     74   3334    0    0     0 196616  404  523  0  0 84 16  0 2018-11-23 23:10:19
 0  1      0  27126     74   3333    0    0     0 50076  414  486  0  0 89 11  0 2018-11-23 23:10:20
 2  0      0  27098     74   3361    0    0     0    68 12305 11656  7  3 90  0  0 2018-11-23 23:10:21
 1  0      0  27059     74   3400    0    0     0     0 15102 14344  7  4 89  0  0 2018-11-23 23:10:22
 1  0      0  27043     74   3416    0    0     0     0 12739 12079  5  3 92  0  0 2018-11-23 23:10:23
 1  0      0  27028     74   3430    0    0     0     0 12712 12042  6  3 92  0  0 2018-11-23 23:10:24
 0  0      0  27014     74   3445    0    0     0     0 12399 11918  5  3 92  0  0 2018-11-23 23:10:25
 1  0      0  26999     74   3460    0    0     0    68 12340 11842  5  3 92  0  0 2018-11-23 23:10:26
 1  0      0  26984     74   3474    0    0     0     0 12170 11665  5  2 92  0  0 2018-11-23 23:10:27
 1  0      0  26970     74   3489    0    0     0     4 12148 11661  5  2 92  0  0 2018-11-23 23:10:28
 1  0      0  26955     74   3504    0    0     0     0 12426 11703  4  2 93  0  0 2018-11-23 23:10:29
 2  0      0  26940     74   3518    0    0     0     0 16240 12054  6  3 91  0  0 2018-11-23 23:10:30
 1  0      0  26925     74   3532    0    0     0  3820 12984 12129  4  3 91  1  0 2018-11-23 23:10:31
