2018-11-23 23:51:09, 195156 records sent, 39023.4 records/sec (19.05 MB/sec), 10.8 ms avg latency, 253.0 max latency.
2018-11-23 23:51:14, 195567 records sent, 39113.4 records/sec (19.10 MB/sec), 1.7 ms avg latency, 8.0 max latency.
2018-11-23 23:51:20, 191451 records sent, 34582.9 records/sec (16.89 MB/sec), 1.7 ms avg latency, 637.0 max latency.
2018-11-23 23:51:26, 201998 records sent, 32925.5 records/sec (16.08 MB/sec), 78.5 ms avg latency, 1602.0 max latency.
2018-11-23 23:51:31, 257926 records sent, 51585.2 records/sec (25.19 MB/sec), 403.3 ms avg latency, 1604.0 max latency.
2018-11-23 23:51:36, 195428 records sent, 39077.8 records/sec (19.08 MB/sec), 1.7 ms avg latency, 16.0 max latency.
2018-11-23 23:51:41, 195364 records sent, 39072.8 records/sec (19.08 MB/sec), 1.7 ms avg latency, 15.0 max latency.
2018-11-23 23:51:46, 195365 records sent, 39073.0 records/sec (19.08 MB/sec), 1.8 ms avg latency, 8.0 max latency.
2018-11-23 23:51:51, 195338 records sent, 39067.6 records/sec (19.08 MB/sec), 1.7 ms avg latency, 16.0 max latency.
2018-11-23 23:51:56, 195446 records sent, 39081.4 records/sec (19.08 MB/sec), 1.7 ms avg latency, 13.0 max latency.
2018-11-23 23:52:01, 195317 records sent, 39063.4 records/sec (19.07 MB/sec), 1.6 ms avg latency, 15.0 max latency.
2018-11-23 23:52:06, 195342 records sent, 39068.4 records/sec (19.08 MB/sec), 1.8 ms avg latency, 4.0 max latency.
2018-11-23 23:52:11, 195373 records sent, 39074.6 records/sec (19.08 MB/sec), 1.8 ms avg latency, 15.0 max latency.
2018-11-23 23:52:16, 195356 records sent, 39071.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 8.0 max latency.
2018-11-23 23:52:21, 195397 records sent, 39079.4 records/sec (19.08 MB/sec), 1.7 ms avg latency, 16.0 max latency.
2018-11-23 23:52:26, 195434 records sent, 39086.8 records/sec (19.09 MB/sec), 1.6 ms avg latency, 7.0 max latency.
2018-11-23 23:52:32, 191342 records sent, 30280.4 records/sec (14.79 MB/sec), 1.7 ms avg latency, 1422.0 max latency.
2018-11-23 23:52:37, 212119 records sent, 42423.8 records/sec (20.71 MB/sec), 1564.4 ms avg latency, 3936.0 max latency.
2018-11-23 23:52:42, 234008 records sent, 46801.6 records/sec (22.85 MB/sec), 153.1 ms avg latency, 770.0 max latency.
2018-11-23 23:52:47, 195356 records sent, 39071.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 6.0 max latency.
2018-11-23 23:52:52, 195319 records sent, 39063.8 records/sec (19.07 MB/sec), 1.7 ms avg latency, 17.0 max latency.
2018-11-23 23:52:57, 195400 records sent, 39080.0 records/sec (19.08 MB/sec), 1.8 ms avg latency, 15.0 max latency.
2018-11-23 23:53:02, 195376 records sent, 39075.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 15.0 max latency.
2018-11-23 23:53:07, 195388 records sent, 39069.8 records/sec (19.08 MB/sec), 1.7 ms avg latency, 7.0 max latency.
2018-11-23 23:53:12, 195427 records sent, 39069.8 records/sec (19.08 MB/sec), 1.7 ms avg latency, 15.0 max latency.
2018-11-23 23:53:17, 195388 records sent, 39069.8 records/sec (19.08 MB/sec), 1.7 ms avg latency, 6.0 max latency.
2018-11-23 23:53:22, 195395 records sent, 39079.0 records/sec (19.08 MB/sec), 1.7 ms avg latency, 14.0 max latency.
2018-11-23 23:53:27, 75906 records sent, 15181.2 records/sec (7.41 MB/sec), 3165.9 ms avg latency, 4059.0 max latency.
2018-11-23 23:53:32, 314786 records sent, 62944.6 records/sec (30.73 MB/sec), 481.3 ms avg latency, 804.0 max latency.
2018-11-23 23:53:37, 195388 records sent, 39077.6 records/sec (19.08 MB/sec), 1.6 ms avg latency, 12.0 max latency.
2018-11-23 23:53:42, 195341 records sent, 39068.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 17.0 max latency.
2018-11-23 23:53:47, 195335 records sent, 39067.0 records/sec (19.08 MB/sec), 1.7 ms avg latency, 10.0 max latency.
2018-11-23 23:53:52, 195371 records sent, 39074.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 18.0 max latency.
2018-11-23 23:53:57, 195388 records sent, 39077.6 records/sec (19.08 MB/sec), 1.8 ms avg latency, 16.0 max latency.
2018-11-23 23:54:02, 195388 records sent, 39077.6 records/sec (19.08 MB/sec), 1.7 ms avg latency, 11.0 max latency.
2018-11-23 23:54:07, 195314 records sent, 39062.8 records/sec (19.07 MB/sec), 1.7 ms avg latency, 19.0 max latency.
2018-11-23 23:54:12, 195399 records sent, 39079.8 records/sec (19.08 MB/sec), 1.7 ms avg latency, 12.0 max latency.
2018-11-23 23:54:18, 56773 records sent, 10936.8 records/sec (5.34 MB/sec), 2.5 ms avg latency, 3739.0 max latency.
2018-11-23 23:54:23, 341378 records sent, 68275.6 records/sec (33.34 MB/sec), 1000.3 ms avg latency, 3742.0 max latency.
2018-11-23 23:54:28, 195326 records sent, 39065.2 records/sec (19.07 MB/sec), 1.7 ms avg latency, 14.0 max latency.
2018-11-23 23:54:33, 195396 records sent, 39079.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 6.0 max latency.
2018-11-23 23:54:38, 195331 records sent, 39066.2 records/sec (19.08 MB/sec), 1.8 ms avg latency, 16.0 max latency.
2018-11-23 23:54:43, 195337 records sent, 39059.6 records/sec (19.07 MB/sec), 1.7 ms avg latency, 3.0 max latency.
2018-11-23 23:54:48, 195419 records sent, 39083.8 records/sec (19.08 MB/sec), 1.7 ms avg latency, 15.0 max latency.
2018-11-23 23:54:53, 195318 records sent, 39063.6 records/sec (19.07 MB/sec), 1.6 ms avg latency, 7.0 max latency.
2018-11-23 23:54:58, 195349 records sent, 39062.0 records/sec (19.07 MB/sec), 1.7 ms avg latency, 14.0 max latency.
2018-11-23 23:55:03, 195413 records sent, 39082.6 records/sec (19.08 MB/sec), 1.7 ms avg latency, 7.0 max latency.
2018-11-23 23:55:09, 105739 records sent, 16794.6 records/sec (8.20 MB/sec), 1.8 ms avg latency, 3592.0 max latency.
2018-11-23 23:55:14, 335572 records sent, 67114.4 records/sec (32.77 MB/sec), 1068.5 ms avg latency, 3594.0 max latency.
2018-11-23 23:55:19, 195336 records sent, 39059.4 records/sec (19.07 MB/sec), 1.7 ms avg latency, 15.0 max latency.
2018-11-23 23:55:24, 195387 records sent, 39069.6 records/sec (19.08 MB/sec), 1.7 ms avg latency, 14.0 max latency.
2018-11-23 23:55:29, 195322 records sent, 39064.4 records/sec (19.07 MB/sec), 1.8 ms avg latency, 16.0 max latency.
2018-11-23 23:55:34, 195379 records sent, 39068.0 records/sec (19.08 MB/sec), 1.7 ms avg latency, 24.0 max latency.
2018-11-23 23:55:39, 195377 records sent, 39075.4 records/sec (19.08 MB/sec), 1.6 ms avg latency, 15.0 max latency.
2018-11-23 23:55:44, 195358 records sent, 39071.6 records/sec (19.08 MB/sec), 1.7 ms avg latency, 4.0 max latency.
2018-11-23 23:55:49, 195354 records sent, 39070.8 records/sec (19.08 MB/sec), 1.6 ms avg latency, 12.0 max latency.
2018-11-23 23:55:54, 195345 records sent, 39053.4 records/sec (19.07 MB/sec), 1.7 ms avg latency, 6.0 max latency.
2018-11-23 23:55:59, 195427 records sent, 39077.6 records/sec (19.08 MB/sec), 1.7 ms avg latency, 13.0 max latency.
2018-11-23 23:56:06, 116123 records sent, 16408.5 records/sec (8.01 MB/sec), 2.1 ms avg latency, 4108.0 max latency.
2018-11-23 23:56:11, 355800 records sent, 71160.0 records/sec (34.75 MB/sec), 1137.6 ms avg latency, 4112.0 max latency.
2018-11-23 23:56:16, 195248 records sent, 39049.6 records/sec (19.07 MB/sec), 1.7 ms avg latency, 15.0 max latency.
2018-11-23 23:56:21, 195396 records sent, 39063.6 records/sec (19.07 MB/sec), 1.7 ms avg latency, 16.0 max latency.
2018-11-23 23:56:26, 195349 records sent, 39069.8 records/sec (19.08 MB/sec), 1.7 ms avg latency, 15.0 max latency.
2018-11-23 23:56:31, 195365 records sent, 39073.0 records/sec (19.08 MB/sec), 1.7 ms avg latency, 12.0 max latency.
