procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  12514     59  17709    0    0     0    69    3    1  0  0 100  0  0 2018-11-25 03:18:31
 0  0      0  12515     59  17709    0    0     0     0  298  497  0  0 100  0  0 2018-11-25 03:18:32
 0  0      0  12515     59  17709    0    0     0     0  222  431  0  0 100  0  0 2018-11-25 03:18:33
 0  0      0  12499     59  17725    0    0     0   136 2807 2101  1  1 98  0  0 2018-11-25 03:18:34
 1  0      0  12469     59  17756    0    0     0     0 8734 5993  2  1 97  0  0 2018-11-25 03:18:35
 1  0      0  12436     59  17789    0    0     0    12 9053 6312  2  1 96  0  0 2018-11-25 03:18:36
 1  0      0  12403     59  17822    0    0     0     0 9002 6192  2  1 97  0  0 2018-11-25 03:18:37
 1  0      0  12369     59  17856    0    0     0     0 9198 6387  2  1 97  0  0 2018-11-25 03:18:38
 0  0      0  12335     59  17891    0    0     0    68 9131 6388  2  1 97  0  0 2018-11-25 03:18:39
 0  0      0  12302     59  17923    0    0     0     0 9129 6448  2  1 97  0  0 2018-11-25 03:18:40
 1  0      0  12268     59  17958    0    0     0 32924 7719 5725  2  1 97  0  0 2018-11-25 03:18:41
 0  0      0  12232     59  17994    0    0     0     0 9359 6473  2  1 97  0  0 2018-11-25 03:18:42
 0  0      0  12196     59  18030    0    0     0     0 9549 6655  2  1 97  0  0 2018-11-25 03:18:43
 0  0      0  12161     59  18065    0    0     0  2856 9431 6700  2  1 96  1  0 2018-11-25 03:18:44
 1  0      0  12126     59  18100    0    0     0     0 9336 6797  3  1 96  0  0 2018-11-25 03:18:45
 0  4      0  12095     59  18132    0    0     0 200960 7954 6729  3  2 89  6  0 2018-11-25 03:18:46
 0  2      0  12095     59  18131    0    0     0 162384  358  446  0  0 85 14  0 2018-11-25 03:18:47
 0  0      0  12093     59  18133    0    0     0 25884  806  821  0  0 92  7  0 2018-11-25 03:18:48
 3  0      0  12021     59  18204    0    0     0    68 15876 9204  4  2 94  0  0 2018-11-25 03:18:49
 1  0      0  11948     59  18278    0    0     0     0 10697 8831  3  1 96  0  0 2018-11-25 03:18:50
 1  0      0  11903     59  18322    0    0     0     0 10189 6964  2  1 97  0  0 2018-11-25 03:18:51
 0  0      0  11867     59  18358    0    0     0     0 9556 6575  2  1 97  0  0 2018-11-25 03:18:52
