time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 19:10:45:512, 0, 19.3452, 3.8667, 39619, 7919.0486, 19, 4984, 3.8815, 7949.2376
2018-11-27 19:10:50:512, 0, 30.9399, 2.3189, 63365, 4749.2000, 0, 5000, 2.3189, 4749.2000
2018-11-27 19:10:55:515, 0, 48.4985, 3.5096, 99325, 7187.6874, 0, 5003, 3.5096, 7187.6874
2018-11-27 19:11:00:518, 0, 65.8755, 3.4733, 134913, 7113.3320, 0, 5003, 3.4733, 7113.3320
2018-11-27 19:11:05:519, 0, 83.1465, 3.4535, 170284, 7072.7854, 0, 5001, 3.4535, 7072.7854
2018-11-27 19:11:10:522, 0, 100.6445, 3.4975, 206120, 7162.9023, 0, 5003, 3.4975, 7162.9023
2018-11-27 19:11:15:524, 0, 118.0972, 3.4891, 241863, 7145.7417, 0, 5002, 3.4891, 7145.7417
2018-11-27 19:11:20:528, 0, 135.4893, 3.4756, 277482, 7118.1055, 0, 5004, 3.4756, 7118.1055
2018-11-27 19:11:27:165, 0, 149.6270, 2.1301, 306436, 4362.5132, 0, 6637, 2.1301, 4362.5132
2018-11-27 19:11:32:168, 0, 167.2461, 3.5217, 342520, 7212.4725, 0, 5003, 3.5217, 7212.4725
2018-11-27 19:11:37:170, 0, 184.6836, 3.4861, 378232, 7139.5442, 0, 5002, 3.4861, 7139.5442
2018-11-27 19:11:42:173, 0, 202.1514, 3.4915, 414006, 7150.5097, 0, 5003, 3.4915, 7150.5097
2018-11-27 19:11:47:174, 0, 219.6191, 3.4929, 449780, 7153.3693, 0, 5001, 3.4929, 7153.3693
2018-11-27 19:11:52:174, 0, 237.1929, 3.5147, 485771, 7198.2000, 0, 5000, 3.5147, 7198.2000
2018-11-27 19:11:57:176, 0, 254.6001, 3.4801, 521421, 7127.1491, 0, 5002, 3.4801, 7127.1491
2018-11-27 19:12:02:180, 0, 272.1284, 3.5029, 557319, 7173.8609, 0, 5004, 3.5029, 7173.8609
2018-11-27 19:12:07:180, 0, 289.7021, 3.5147, 593310, 7198.2000, 0, 5000, 3.5147, 7198.2000
2018-11-27 19:12:12:182, 0, 307.3364, 3.5254, 629425, 7220.1120, 0, 5002, 3.5254, 7220.1120
2018-11-27 19:12:17:185, 0, 324.7437, 3.4794, 665075, 7125.7246, 0, 5003, 3.4794, 7125.7246
2018-11-27 19:12:22:189, 0, 342.1055, 3.4696, 700632, 7105.7154, 0, 5004, 3.4696, 7105.7154
2018-11-27 19:12:27:190, 0, 359.2554, 3.4293, 735755, 7023.1954, 0, 5001, 3.4293, 7023.1954
2018-11-27 19:12:32:192, 0, 376.7534, 3.4982, 771591, 7164.3343, 0, 5002, 3.4982, 7164.3343
2018-11-27 19:12:37:194, 0, 394.2515, 3.4982, 807427, 7164.3343, 0, 5002, 3.4982, 7164.3343
2018-11-27 19:12:42:195, 0, 411.7798, 3.5050, 843325, 7178.1644, 0, 5001, 3.5050, 7178.1644
2018-11-27 19:12:47:195, 0, 429.2324, 3.4905, 879068, 7148.6000, 0, 5000, 3.4905, 7148.6000
2018-11-27 19:12:52:197, 0, 446.6548, 3.4831, 914749, 7133.3467, 0, 5002, 3.4831, 7133.3467
2018-11-27 19:12:57:198, 0, 464.0771, 3.4838, 950430, 7134.7730, 0, 5001, 3.4838, 7134.7730
2018-11-27 19:13:02:198, 0, 483.5732, 3.8992, 990358, 7985.6000, 0, 5000, 3.8992, 7985.6000
2018-11-27 19:13:07:198, 0, 500.8291, 3.4512, 1025698, 7068.0000, 0, 5000, 3.4512, 7068.0000
2018-11-27 19:13:12:198, 0, 518.4180, 3.5178, 1061720, 7204.4000, 0, 5000, 3.5178, 7204.4000
2018-11-27 19:13:17:201, 0, 536.0522, 3.5247, 1097835, 7218.6688, 0, 5003, 3.5247, 7218.6688
2018-11-27 19:13:22:201, 0, 553.2324, 3.4360, 1133020, 7037.0000, 0, 5000, 3.4360, 7037.0000
2018-11-27 19:13:27:202, 0, 570.9121, 3.5352, 1169228, 7240.1520, 0, 5001, 3.5352, 7240.1520
2018-11-27 19:13:32:206, 0, 588.5313, 3.5210, 1205312, 7211.0312, 0, 5004, 3.5210, 7211.0312
2018-11-27 19:13:37:207, 0, 606.2412, 3.5413, 1241582, 7252.5495, 0, 5001, 3.5413, 7252.5495
2018-11-27 19:13:42:207, 0, 624.0117, 3.5541, 1277976, 7278.8000, 0, 5000, 3.5541, 7278.8000
2018-11-27 19:13:47:207, 0, 641.4946, 3.4966, 1313781, 7161.0000, 0, 5000, 3.4966, 7161.0000
2018-11-27 19:13:52:207, 0, 658.6445, 3.4300, 1348904, 7024.6000, 0, 5000, 3.4300, 7024.6000
2018-11-27 19:13:57:211, 0, 676.0972, 3.4877, 1384647, 7142.8857, 0, 5004, 3.4877, 7142.8857
2018-11-27 19:14:02:213, 0, 693.5649, 3.4922, 1420421, 7151.9392, 0, 5002, 3.4922, 7151.9392
2018-11-27 19:14:07:216, 0, 711.2295, 3.5308, 1456598, 7231.0614, 0, 5003, 3.5308, 7231.0614
2018-11-27 19:14:12:220, 0, 728.8032, 3.5119, 1492589, 7192.4460, 0, 5004, 3.5119, 7192.4460
2018-11-27 19:14:17:223, 0, 746.0439, 3.4461, 1527898, 7057.5655, 0, 5003, 3.4461, 7057.5655
2018-11-27 19:14:22:228, 0, 763.4663, 3.4810, 1563579, 7129.0709, 0, 5005, 3.4810, 7129.0709
2018-11-27 19:14:27:228, 0, 780.7524, 3.4572, 1598981, 7080.4000, 0, 5000, 3.4572, 7080.4000
