time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 19:10:48:199, 0, 12.6094, 2.5204, 25824, 5161.7030, 21, 4982, 2.5310, 5183.4605
2018-11-27 19:10:53:202, 0, 23.3262, 2.1421, 47772, 4386.9678, 0, 5003, 2.1421, 4386.9678
2018-11-27 19:10:58:204, 0, 38.2056, 2.9747, 78245, 6092.1631, 0, 5002, 2.9747, 6092.1631
2018-11-27 19:11:03:208, 0, 53.2061, 2.9977, 108966, 6139.2886, 0, 5004, 2.9977, 6139.2886
2018-11-27 19:11:08:210, 0, 68.2822, 3.0140, 139842, 6172.7309, 0, 5002, 3.0140, 6172.7309
2018-11-27 19:11:13:214, 0, 83.3735, 3.0158, 170749, 6176.4588, 0, 5004, 3.0158, 6176.4588
2018-11-27 19:11:18:214, 0, 98.2529, 2.9759, 201222, 6094.6000, 0, 5000, 2.9759, 6094.6000
2018-11-27 19:11:23:219, 0, 113.2686, 3.0001, 231974, 6144.2557, 0, 5005, 3.0001, 6144.2557
2018-11-27 19:11:28:223, 0, 120.5190, 1.4489, 246823, 2967.4261, 0, 5004, 1.4489, 2967.4261
2018-11-27 19:11:33:226, 0, 136.0039, 3.0951, 278536, 6338.7967, 0, 5003, 3.0951, 6338.7967
2018-11-27 19:11:38:229, 0, 151.4888, 3.0951, 310249, 6338.7967, 0, 5003, 3.0951, 6338.7967
2018-11-27 19:11:43:231, 0, 167.0645, 3.1139, 342148, 6377.2491, 0, 5002, 3.1139, 6377.2491
2018-11-27 19:11:48:233, 0, 182.8066, 3.1472, 374388, 6445.4218, 0, 5002, 3.1472, 6445.4218
2018-11-27 19:11:53:237, 0, 198.6699, 3.1701, 406876, 6492.4061, 0, 5004, 3.1701, 6492.4061
2018-11-27 19:11:58:238, 0, 214.1245, 3.0903, 438527, 6328.9342, 0, 5001, 3.0903, 6328.9342
2018-11-27 19:12:03:242, 0, 229.7607, 3.1247, 470550, 6399.4804, 0, 5004, 3.1247, 6399.4804
2018-11-27 19:12:08:243, 0, 245.3667, 3.1206, 502511, 6390.9218, 0, 5001, 3.1206, 6390.9218
2018-11-27 19:12:13:245, 0, 261.0483, 3.1351, 534627, 6420.6317, 0, 5002, 3.1351, 6420.6317
2018-11-27 19:12:18:247, 0, 276.5786, 3.1048, 566433, 6358.6565, 0, 5002, 3.1048, 6358.6565
2018-11-27 19:12:23:250, 0, 292.2300, 3.1284, 598487, 6406.9558, 0, 5003, 3.1284, 6406.9558
2018-11-27 19:12:28:250, 0, 307.9873, 3.1515, 630758, 6454.2000, 0, 5000, 3.1515, 6454.2000
2018-11-27 19:12:33:250, 0, 323.7144, 3.1454, 662967, 6441.8000, 0, 5000, 3.1454, 6441.8000
2018-11-27 19:12:38:253, 0, 339.1538, 3.0860, 694587, 6320.2079, 0, 5003, 3.0860, 6320.2079
2018-11-27 19:12:43:255, 0, 354.7749, 3.1230, 726579, 6395.8417, 0, 5002, 3.1230, 6395.8417
2018-11-27 19:12:48:256, 0, 370.4263, 3.1296, 758633, 6409.5181, 0, 5001, 3.1296, 6409.5181
2018-11-27 19:12:53:256, 0, 386.0928, 3.1333, 790718, 6417.0000, 0, 5000, 3.1333, 6417.0000
2018-11-27 19:12:58:258, 0, 401.4263, 3.0655, 822121, 6278.0888, 0, 5002, 3.0655, 6278.0888
2018-11-27 19:13:03:262, 0, 418.3794, 3.3879, 856841, 6938.4492, 0, 5004, 3.3879, 6938.4492
2018-11-27 19:13:08:267, 0, 434.2275, 3.1665, 889298, 6484.9151, 0, 5005, 3.1665, 6484.9151
2018-11-27 19:13:13:268, 0, 449.5762, 3.0691, 920732, 6285.5429, 0, 5001, 3.0691, 6285.5429
2018-11-27 19:13:18:272, 0, 465.0913, 3.1005, 952507, 6349.9201, 0, 5004, 3.1005, 6349.9201
2018-11-27 19:13:23:272, 0, 480.7578, 3.1333, 984592, 6417.0000, 0, 5000, 3.1333, 6417.0000
2018-11-27 19:13:28:276, 0, 496.5000, 3.1459, 1016832, 6442.8457, 0, 5004, 3.1459, 6442.8457
2018-11-27 19:13:33:278, 0, 511.9849, 3.0957, 1048545, 6340.0640, 0, 5002, 3.0957, 6340.0640
2018-11-27 19:13:38:280, 0, 527.4243, 3.0867, 1080165, 6321.4714, 0, 5002, 3.0867, 6321.4714
2018-11-27 19:13:43:283, 0, 542.7275, 3.0588, 1111506, 6264.4413, 0, 5003, 3.0588, 6264.4413
2018-11-27 19:13:48:283, 0, 558.1821, 3.0909, 1143157, 6330.2000, 0, 5000, 3.0909, 6330.2000
2018-11-27 19:13:53:285, 0, 573.6064, 3.0836, 1174746, 6315.2739, 0, 5002, 3.0836, 6315.2739
2018-11-27 19:13:58:292, 0, 589.2427, 3.1229, 1206769, 6395.6461, 0, 5007, 3.1229, 6395.6461
2018-11-27 19:14:03:293, 0, 604.7124, 3.0933, 1238451, 6335.1330, 0, 5001, 3.0933, 6335.1330
2018-11-27 19:14:08:296, 0, 620.2124, 3.0981, 1270195, 6344.9930, 0, 5003, 3.0981, 6344.9930
2018-11-27 19:14:13:297, 0, 635.7275, 3.1024, 1301970, 6353.7293, 0, 5001, 3.1024, 6353.7293
2018-11-27 19:14:18:301, 0, 651.1670, 3.0854, 1333590, 6318.9448, 0, 5004, 3.0854, 6318.9448
2018-11-27 19:14:23:305, 0, 666.9243, 3.1489, 1365861, 6449.0408, 0, 5004, 3.1489, 6449.0408
2018-11-27 19:14:28:306, 0, 682.4243, 3.0994, 1397605, 6347.5305, 0, 5001, 3.0994, 6347.5305
2018-11-27 19:14:33:310, 0, 698.1211, 3.1368, 1429752, 6424.2606, 0, 5004, 3.1368, 6424.2606
2018-11-27 19:14:38:312, 0, 713.3486, 3.0443, 1460938, 6234.7061, 0, 5002, 3.0443, 6234.7061
2018-11-27 19:14:43:315, 0, 729.0151, 3.1314, 1493023, 6413.1521, 0, 5003, 3.1314, 6413.1521
2018-11-27 19:14:48:316, 0, 744.6514, 3.1266, 1525046, 6403.3193, 0, 5001, 3.1266, 6403.3193
2018-11-27 19:14:53:316, 0, 760.2573, 3.1212, 1557007, 6392.2000, 0, 5000, 3.1212, 6392.2000
2018-11-27 19:14:58:316, 0, 775.6816, 3.0849, 1588596, 6317.8000, 0, 5000, 3.0849, 6317.8000
2018-11-27 19:15:03:316, 0, 791.5298, 3.1696, 1621053, 6491.4000, 0, 5000, 3.1696, 6491.4000
2018-11-27 19:15:08:319, 0, 807.3779, 3.1677, 1653510, 6487.5075, 0, 5003, 3.1677, 6487.5075
2018-11-27 19:15:13:321, 0, 820.6982, 2.6630, 1680790, 5453.8185, 0, 5002, 2.6630, 5453.8185
2018-11-27 19:15:18:321, 0, 835.0781, 2.8760, 1710240, 5890.0000, 0, 5000, 2.8760, 5890.0000
2018-11-27 19:15:23:322, 0, 849.7153, 2.9269, 1740217, 5994.2012, 0, 5001, 2.9269, 5994.2012
2018-11-27 19:15:28:322, 0, 864.1255, 2.8820, 1769729, 5902.4000, 0, 5000, 2.8820, 5902.4000
2018-11-27 19:15:33:325, 0, 878.9141, 2.9559, 1800016, 6053.7677, 0, 5003, 2.9559, 6053.7677
2018-11-27 19:15:38:326, 0, 893.6118, 2.9390, 1830117, 6018.9962, 0, 5001, 2.9390, 6018.9962
2018-11-27 19:15:43:328, 0, 908.3701, 2.9505, 1860342, 6042.5830, 0, 5002, 2.9505, 6042.5830
2018-11-27 19:15:48:333, 0, 922.9922, 2.9215, 1890288, 5983.2168, 0, 5005, 2.9215, 5983.2168
2018-11-27 19:15:53:335, 0, 937.3418, 2.8688, 1919676, 5875.2499, 0, 5002, 2.8688, 5875.2499
2018-11-27 19:15:58:337, 0, 951.7065, 2.8718, 1949095, 5881.4474, 0, 5002, 2.8718, 5881.4474
2018-11-27 19:16:03:337, 0, 966.4194, 2.9426, 1979227, 6026.4000, 0, 5000, 2.9426, 6026.4000
2018-11-27 19:16:08:340, 0, 980.7690, 2.8682, 2008615, 5874.0756, 0, 5003, 2.8682, 5874.0756
2018-11-27 19:16:13:340, 0, 994.9521, 2.8366, 2037662, 5809.4000, 0, 5000, 2.8366, 5809.4000
2018-11-27 19:16:18:342, 0, 1009.6499, 2.9384, 2067763, 6017.7929, 0, 5002, 2.9384, 6017.7929
2018-11-27 19:16:23:342, 0, 1024.1206, 2.8941, 2097399, 5927.2000, 0, 5000, 2.8941, 5927.2000
2018-11-27 19:16:28:344, 0, 1038.2734, 2.8294, 2126384, 5794.6821, 0, 5002, 2.8294, 5794.6821
2018-11-27 19:16:33:348, 0, 1052.1841, 2.7799, 2154873, 5693.2454, 0, 5004, 2.7799, 5693.2454
2018-11-27 19:16:38:349, 0, 1066.6245, 2.8875, 2184447, 5913.6173, 0, 5001, 2.8875, 5913.6173
2018-11-27 19:16:43:352, 0, 1081.1558, 2.9045, 2214207, 5948.4309, 0, 5003, 2.9045, 5948.4309
2018-11-27 19:16:48:352, 0, 1095.7021, 2.9093, 2243998, 5958.2000, 0, 5000, 2.9093, 5958.2000
2018-11-27 19:16:53:362, 0, 1109.8550, 2.8249, 2272983, 5785.4291, 0, 5010, 2.8249, 5785.4291
2018-11-27 19:16:58:367, 0, 1124.3105, 2.8882, 2302588, 5915.0849, 0, 5005, 2.8882, 5915.0849
2018-11-27 19:17:03:372, 0, 1139.1294, 2.9608, 2332937, 6063.7363, 0, 5005, 2.9608, 6063.7363
2018-11-27 19:17:08:374, 0, 1153.6758, 2.9081, 2362728, 5955.8177, 0, 5002, 2.9081, 5955.8177
2018-11-27 19:17:13:376, 0, 1165.7246, 2.4088, 2387404, 4933.2267, 0, 5002, 2.4088, 4933.2267
2018-11-27 19:17:18:379, 0, 1180.6494, 2.9832, 2417970, 6109.5343, 0, 5003, 2.9832, 6109.5343
2018-11-27 19:17:23:380, 0, 1195.5742, 2.9844, 2448536, 6111.9776, 0, 5001, 2.9844, 6111.9776
2018-11-27 19:17:28:383, 0, 1210.1812, 2.9196, 2478451, 5979.4124, 0, 5003, 2.9196, 5979.4124
2018-11-27 19:17:33:383, 0, 1224.7275, 2.9093, 2508242, 5958.2000, 0, 5000, 2.9093, 5958.2000
2018-11-27 19:17:38:388, 0, 1239.5010, 2.9517, 2538498, 6045.1548, 0, 5005, 2.9517, 6045.1548
2018-11-27 19:17:43:388, 0, 1254.1987, 2.9396, 2568599, 6020.2000, 0, 5000, 2.9396, 6020.2000
2018-11-27 19:17:48:393, 0, 1269.1992, 2.9971, 2599320, 6138.0619, 0, 5005, 2.9971, 6138.0619
2018-11-27 19:17:53:398, 0, 1283.7456, 2.9064, 2629111, 5952.2478, 0, 5005, 2.9064, 5952.2478
2018-11-27 19:17:58:404, 0, 1298.3979, 2.9270, 2659119, 5994.4067, 0, 5006, 2.9270, 5994.4067
2018-11-27 19:18:03:410, 0, 1313.2925, 2.9753, 2689623, 6093.4878, 0, 5006, 2.9753, 6093.4878
2018-11-27 19:18:08:411, 0, 1328.0508, 2.9511, 2719848, 6043.7912, 0, 5001, 2.9511, 6043.7912
2018-11-27 19:18:13:412, 0, 1342.5063, 2.8905, 2749453, 5919.8160, 0, 5001, 2.8905, 5919.8160
2018-11-27 19:18:18:412, 0, 1357.2495, 2.9486, 2779647, 6038.8000, 0, 5000, 2.9486, 6038.8000
2018-11-27 19:18:23:414, 0, 1371.7505, 2.8990, 2809345, 5937.2251, 0, 5002, 2.8990, 5937.2251
2018-11-27 19:18:28:416, 0, 1386.6753, 2.9838, 2839911, 6110.7557, 0, 5002, 2.9838, 6110.7557
2018-11-27 19:18:33:417, 0, 1401.3579, 2.9359, 2869981, 6012.7974, 0, 5001, 2.9359, 6012.7974
2018-11-27 19:18:38:423, 0, 1415.8286, 2.8907, 2899617, 5920.0959, 0, 5006, 2.8907, 5920.0959
2018-11-27 19:18:43:423, 0, 1430.4961, 2.9335, 2929656, 6007.8000, 0, 5000, 2.9335, 6007.8000
2018-11-27 19:18:48:426, 0, 1445.1787, 2.9348, 2959726, 6010.3938, 0, 5003, 2.9348, 6010.3938
2018-11-27 19:18:53:427, 0, 1459.7554, 2.9147, 2989579, 5969.4061, 0, 5001, 2.9147, 5969.4061
2018-11-27 19:18:58:433, 0, 1474.5439, 2.9542, 3019866, 6050.1398, 0, 5006, 2.9542, 6050.1398
2018-11-27 19:19:03:434, 0, 1489.7412, 3.0388, 3050990, 6223.5553, 0, 5001, 3.0388, 6223.5553
2018-11-27 19:19:08:441, 0, 1504.8779, 3.0231, 3081990, 6191.3321, 0, 5007, 3.0231, 6191.3321
2018-11-27 19:19:13:442, 0, 1519.9238, 3.0086, 3112804, 6161.5677, 0, 5001, 3.0086, 6161.5677
2018-11-27 19:19:18:444, 0, 1534.5913, 2.9323, 3142843, 6005.3978, 0, 5002, 2.9323, 6005.3978
2018-11-27 19:19:23:444, 0, 1549.0620, 2.8941, 3172479, 5927.2000, 0, 5000, 2.8941, 5927.2000
2018-11-27 19:19:28:447, 0, 1564.1230, 3.0104, 3203324, 6165.3008, 0, 5003, 3.0104, 6165.3008
2018-11-27 19:19:33:450, 0, 1578.6392, 2.9015, 3233053, 5942.2347, 0, 5003, 2.9015, 5942.2347
2018-11-27 19:19:38:450, 0, 1593.2612, 2.9244, 3262999, 5989.2000, 0, 5000, 2.9244, 5989.2000
2018-11-27 19:19:43:450, 0, 1608.2163, 2.9910, 3293627, 6125.6000, 0, 5000, 2.9910, 6125.6000
2018-11-27 19:19:48:454, 0, 1623.0654, 2.9675, 3324038, 6077.3381, 0, 5004, 2.9675, 6077.3381
2018-11-27 19:19:53:456, 0, 1638.0811, 3.0019, 3354790, 6147.9408, 0, 5002, 3.0019, 6147.9408
2018-11-27 19:19:58:460, 0, 1653.0059, 2.9826, 3385356, 6108.3133, 0, 5004, 2.9826, 6108.3133
2018-11-27 19:20:03:460, 0, 1667.4917, 2.8972, 3415023, 5933.4000, 0, 5000, 2.8972, 5933.4000
2018-11-27 19:20:08:462, 0, 1682.2349, 2.9475, 3445217, 6036.3854, 0, 5002, 2.9475, 6036.3854
2018-11-27 19:20:13:465, 0, 1697.1143, 2.9741, 3475690, 6090.9454, 0, 5003, 2.9741, 6090.9454
2018-11-27 19:20:18:471, 0, 1712.2661, 3.0267, 3506721, 6198.7615, 0, 5006, 3.0267, 6198.7615
2018-11-27 19:20:23:474, 0, 1726.9639, 2.9378, 3536822, 6016.5900, 0, 5003, 2.9378, 6016.5900
2018-11-27 19:20:28:475, 0, 1741.9795, 3.0025, 3567574, 6149.1702, 0, 5001, 3.0025, 6149.1702
2018-11-27 19:20:33:479, 0, 1756.9346, 2.9886, 3598202, 6120.7034, 0, 5004, 2.9886, 6120.7034
2018-11-27 19:20:38:479, 0, 1771.3750, 2.8881, 3627776, 5914.8000, 0, 5000, 2.8881, 5914.8000
2018-11-27 19:20:43:482, 0, 1786.2393, 2.9711, 3658218, 6084.7492, 0, 5003, 2.9711, 6084.7492
2018-11-27 19:20:48:484, 0, 1801.1792, 2.9868, 3688815, 6116.9532, 0, 5002, 2.9868, 6116.9532
