2018-12-14 21:12:05, id: test-211205-213, starting consumer #0
2018-12-14 21:12:05, id: test-211205-213, starting consumer #0, channel #0
2018-12-14 21:12:06, id: test-211205-213, time: 1.000s, received: 4531 msg/s
2018-12-14 21:12:07, id: test-211205-213, time: 2.000s, received: 15239 msg/s
2018-12-14 21:12:08, id: test-211205-213, time: 3.000s, received: 14903 msg/s
2018-12-14 21:12:09, id: test-211205-213, time: 4.000s, received: 15625 msg/s
2018-12-14 21:12:10, id: test-211205-213, time: 5.000s, received: 15139 msg/s
2018-12-14 21:12:11, id: test-211205-213, time: 6.000s, received: 14578 msg/s
2018-12-14 21:12:12, id: test-211205-213, time: 7.000s, received: 15495 msg/s
2018-12-14 21:12:13, id: test-211205-213, time: 8.000s, received: 15316 msg/s
2018-12-14 21:12:14, id: test-211205-213, time: 9.000s, received: 15486 msg/s
2018-12-14 21:12:15, id: test-211205-213, time: 10.000s, received: 15562 msg/s
2018-12-14 21:12:16, id: test-211205-213, time: 11.000s, received: 15059 msg/s
2018-12-14 21:12:17, id: test-211205-213, time: 12.000s, received: 15501 msg/s
2018-12-14 21:12:18, id: test-211205-213, time: 13.000s, received: 15511 msg/s
2018-12-14 21:12:19, id: test-211205-213, time: 14.000s, received: 15446 msg/s
2018-12-14 21:12:20, id: test-211205-213, time: 15.000s, received: 15665 msg/s
2018-12-14 21:12:21, id: test-211205-213, time: 16.000s, received: 15113 msg/s
2018-12-14 21:12:22, id: test-211205-213, time: 17.000s, received: 15347 msg/s
2018-12-14 21:12:23, id: test-211205-213, time: 18.000s, received: 15497 msg/s
2018-12-14 21:12:24, id: test-211205-213, time: 19.000s, received: 15405 msg/s
2018-12-14 21:12:25, id: test-211205-213, time: 20.000s, received: 15798 msg/s
2018-12-14 21:12:26, id: test-211205-213, time: 21.000s, received: 15472 msg/s
2018-12-14 21:12:27, id: test-211205-213, time: 22.000s, received: 15412 msg/s
2018-12-14 21:12:28, id: test-211205-213, time: 23.000s, received: 15138 msg/s
2018-12-14 21:12:29, id: test-211205-213, time: 24.000s, received: 15113 msg/s
2018-12-14 21:12:30, id: test-211205-213, time: 25.002s, received: 15462 msg/s
2018-12-14 21:12:31, id: test-211205-213, time: 26.002s, received: 15303 msg/s
2018-12-14 21:12:32, id: test-211205-213, time: 27.002s, received: 15228 msg/s
2018-12-14 21:12:33, id: test-211205-213, time: 28.002s, received: 15732 msg/s
2018-12-14 21:12:34, id: test-211205-213, time: 29.002s, received: 15564 msg/s
2018-12-14 21:12:35, id: test-211205-213, time: 30.002s, received: 15568 msg/s
2018-12-14 21:12:36, id: test-211205-213, time: 31.002s, received: 14990 msg/s
2018-12-14 21:12:37, id: test-211205-213, time: 32.002s, received: 15739 msg/s
2018-12-14 21:12:38, id: test-211205-213, time: 33.002s, received: 15508 msg/s
2018-12-14 21:12:39, id: test-211205-213, time: 34.002s, received: 15500 msg/s
2018-12-14 21:12:40, id: test-211205-213, time: 35.002s, received: 15411 msg/s
2018-12-14 21:12:41, id: test-211205-213, time: 36.002s, received: 15250 msg/s
2018-12-14 21:12:42, id: test-211205-213, time: 37.002s, received: 15857 msg/s
2018-12-14 21:12:43, id: test-211205-213, time: 38.002s, received: 15099 msg/s
2018-12-14 21:12:44, id: test-211205-213, time: 39.002s, received: 15509 msg/s
2018-12-14 21:12:45, id: test-211205-213, time: 40.002s, received: 15512 msg/s
2018-12-14 21:12:46, id: test-211205-213, time: 41.002s, received: 15822 msg/s
2018-12-14 21:12:47, id: test-211205-213, time: 42.002s, received: 15469 msg/s
2018-12-14 21:12:48, id: test-211205-213, time: 43.002s, received: 15646 msg/s
2018-12-14 21:12:49, id: test-211205-213, time: 44.002s, received: 15686 msg/s
2018-12-14 21:12:50, id: test-211205-213, time: 45.002s, received: 15503 msg/s
2018-12-14 21:12:51, id: test-211205-213, time: 46.002s, received: 15587 msg/s
2018-12-14 21:12:52, id: test-211205-213, time: 47.002s, received: 15484 msg/s
2018-12-14 21:12:53, id: test-211205-213, time: 48.002s, received: 15496 msg/s
2018-12-14 21:12:54, id: test-211205-213, time: 49.002s, received: 15388 msg/s
2018-12-14 21:12:55, id: test-211205-213, time: 50.002s, received: 15569 msg/s
2018-12-14 21:12:56, id: test-211205-213, time: 51.002s, received: 15658 msg/s
2018-12-14 21:12:57, id: test-211205-213, time: 52.002s, received: 15665 msg/s
2018-12-14 21:12:58, id: test-211205-213, time: 53.002s, received: 15376 msg/s
2018-12-14 21:12:59, id: test-211205-213, time: 54.002s, received: 15311 msg/s
2018-12-14 21:13:00, id: test-211205-213, time: 55.002s, received: 14854 msg/s
2018-12-14 21:13:01, id: test-211205-213, time: 56.002s, received: 15620 msg/s
2018-12-14 21:13:02, id: test-211205-213, time: 57.002s, received: 15541 msg/s
2018-12-14 21:13:03, id: test-211205-213, time: 58.002s, received: 15198 msg/s
2018-12-14 21:13:04, id: test-211205-213, time: 59.002s, received: 14915 msg/s
2018-12-14 21:13:05, id: test-211205-213, time: 60.002s, received: 15501 msg/s
2018-12-14 21:13:06, id: test-211205-213, time: 61.002s, received: 15541 msg/s
2018-12-14 21:13:07, id: test-211205-213, time: 62.002s, received: 15507 msg/s
2018-12-14 21:13:08, id: test-211205-213, time: 63.002s, received: 15402 msg/s
2018-12-14 21:13:09, id: test-211205-213, time: 64.002s, received: 15362 msg/s
2018-12-14 21:13:10, id: test-211205-213, time: 65.002s, received: 15829 msg/s
2018-12-14 21:13:11, id: test-211205-213, time: 66.002s, received: 15582 msg/s
2018-12-14 21:13:12, id: test-211205-213, time: 67.002s, received: 15223 msg/s
