2018-11-23 23:40:25, 195341 records sent, 39068.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 15.0 max latency.
2018-11-23 23:40:30, 195357 records sent, 39063.6 records/sec (19.07 MB/sec), 1.7 ms avg latency, 4.0 max latency.
2018-11-23 23:40:35, 195426 records sent, 39085.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 17.0 max latency.
2018-11-23 23:40:40, 195318 records sent, 39063.6 records/sec (19.07 MB/sec), 1.7 ms avg latency, 16.0 max latency.
2018-11-23 23:40:45, 195382 records sent, 39068.6 records/sec (19.08 MB/sec), 1.6 ms avg latency, 11.0 max latency.
2018-11-23 23:40:50, 195357 records sent, 39071.4 records/sec (19.08 MB/sec), 1.6 ms avg latency, 14.0 max latency.
2018-11-23 23:40:55, 195379 records sent, 39068.0 records/sec (19.08 MB/sec), 1.6 ms avg latency, 8.0 max latency.
2018-11-23 23:41:00, 195310 records sent, 39062.0 records/sec (19.07 MB/sec), 1.5 ms avg latency, 15.0 max latency.
2018-11-23 23:41:06, 111116 records sent, 17018.8 records/sec (8.31 MB/sec), 2.1 ms avg latency, 3688.0 max latency.
2018-11-23 23:41:11, 339386 records sent, 67877.2 records/sec (33.14 MB/sec), 902.4 ms avg latency, 3690.0 max latency.
2018-11-23 23:41:16, 195233 records sent, 39046.6 records/sec (19.07 MB/sec), 1.5 ms avg latency, 13.0 max latency.
2018-11-23 23:41:21, 195388 records sent, 39062.0 records/sec (19.07 MB/sec), 1.7 ms avg latency, 5.0 max latency.
2018-11-23 23:41:26, 195388 records sent, 39069.8 records/sec (19.08 MB/sec), 1.6 ms avg latency, 16.0 max latency.
2018-11-23 23:41:31, 195361 records sent, 39072.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 14.0 max latency.
2018-11-23 23:41:36, 195402 records sent, 39080.4 records/sec (19.08 MB/sec), 1.6 ms avg latency, 6.0 max latency.
2018-11-23 23:41:41, 195322 records sent, 39064.4 records/sec (19.07 MB/sec), 1.5 ms avg latency, 16.0 max latency.
2018-11-23 23:41:46, 195256 records sent, 39051.2 records/sec (19.07 MB/sec), 1.6 ms avg latency, 15.0 max latency.
2018-11-23 23:41:51, 195341 records sent, 39068.2 records/sec (19.08 MB/sec), 1.7 ms avg latency, 15.0 max latency.
2018-11-23 23:41:56, 195302 records sent, 39060.4 records/sec (19.07 MB/sec), 1.7 ms avg latency, 7.0 max latency.
2018-11-23 23:42:03, 112164 records sent, 16521.4 records/sec (8.07 MB/sec), 2.1 ms avg latency, 3919.0 max latency.
2018-11-23 23:42:08, 348409 records sent, 69667.9 records/sec (34.02 MB/sec), 1153.6 ms avg latency, 3920.0 max latency.
2018-11-23 23:42:10, 14062500 records sent, 39059.570532 records/sec (19.07 MB/sec), 187.43 ms avg latency, 4051.00 ms max latency, 2 ms 50th, 845 ms 95th, 3599 ms 99th, 3944 ms 99.9th.
