2018-12-17 13:10:49, id: test-131049-075, starting producer #0
2018-12-17 13:10:49, id: test-131049-075, starting producer #0, channel #0
2018-12-17 13:10:50, id: test-131049-075, time: 1.015s, sent: 7386 msg/s
2018-12-17 13:10:51, id: test-131049-075, time: 2.015s, sent: 10316 msg/s
2018-12-17 13:10:52, id: test-131049-075, time: 3.094s, sent: 5967 msg/s
2018-12-17 13:10:53, id: test-131049-075, time: 4.198s, sent: 6645 msg/s
2018-12-17 13:10:54, id: test-131049-075, time: 5.198s, sent: 6630 msg/s
2018-12-17 13:10:55, id: test-131049-075, time: 6.362s, sent: 5876 msg/s
2018-12-17 13:10:56, id: test-131049-075, time: 7.394s, sent: 6686 msg/s
2018-12-17 13:10:57, id: test-131049-075, time: 8.463s, sent: 5941 msg/s
2018-12-17 13:10:58, id: test-131049-075, time: 9.510s, sent: 6590 msg/s
2018-12-17 13:10:59, id: test-131049-075, time: 10.685s, sent: 6989 msg/s
2018-12-17 13:11:01, id: test-131049-075, time: 11.867s, sent: 6393 msg/s
2018-12-17 13:11:02, id: test-131049-075, time: 12.930s, sent: 6490 msg/s
2018-12-17 13:11:03, id: test-131049-075, time: 13.986s, sent: 6015 msg/s
2018-12-17 13:11:04, id: test-131049-075, time: 14.986s, sent: 6610 msg/s
2018-12-17 13:11:05, id: test-131049-075, time: 16.134s, sent: 6261 msg/s
2018-12-17 13:11:06, id: test-131049-075, time: 17.223s, sent: 6335 msg/s
2018-12-17 13:11:07, id: test-131049-075, time: 18.427s, sent: 6276 msg/s
2018-12-17 13:11:08, id: test-131049-075, time: 19.438s, sent: 6823 msg/s
2018-12-17 13:11:09, id: test-131049-075, time: 20.490s, sent: 6038 msg/s
2018-12-17 13:11:10, id: test-131049-075, time: 21.490s, sent: 6846 msg/s
2018-12-17 13:11:11, id: test-131049-075, time: 22.666s, sent: 6097 msg/s
2018-12-17 13:11:12, id: test-131049-075, time: 23.694s, sent: 6072 msg/s
2018-12-17 13:11:13, id: test-131049-075, time: 24.699s, sent: 6101 msg/s
2018-12-17 13:11:14, id: test-131049-075, time: 25.790s, sent: 5923 msg/s
2018-12-17 13:11:16, id: test-131049-075, time: 26.987s, sent: 6312 msg/s
2018-12-17 13:11:17, id: test-131049-075, time: 28.252s, sent: 5973 msg/s
2018-12-17 13:11:18, id: test-131049-075, time: 29.451s, sent: 6302 msg/s
2018-12-17 13:11:19, id: test-131049-075, time: 30.663s, sent: 6234 msg/s
2018-12-17 13:11:20, id: test-131049-075, time: 31.663s, sent: 6600 msg/s
2018-12-17 13:11:22, id: test-131049-075, time: 32.886s, sent: 5886 msg/s
2018-12-17 13:11:23, id: test-131049-075, time: 33.999s, sent: 6099 msg/s
2018-12-17 13:11:24, id: test-131049-075, time: 35.087s, sent: 6039 msg/s
2018-12-17 13:11:25, id: test-131049-075, time: 36.225s, sent: 6448 msg/s
2018-12-17 13:11:26, id: test-131049-075, time: 37.330s, sent: 5648 msg/s
2018-12-17 13:11:27, id: test-131049-075, time: 38.335s, sent: 6864 msg/s
2018-12-17 13:11:28, id: test-131049-075, time: 39.439s, sent: 5852 msg/s
2018-12-17 13:11:29, id: test-131049-075, time: 40.634s, sent: 6231 msg/s
2018-12-17 13:11:30, id: test-131049-075, time: 41.819s, sent: 6469 msg/s
2018-12-17 13:11:31, id: test-131049-075, time: 42.827s, sent: 6084 msg/s
2018-12-17 13:11:33, id: test-131049-075, time: 43.870s, sent: 6194 msg/s
2018-12-17 13:11:34, id: test-131049-075, time: 44.870s, sent: 6436 msg/s
2018-12-17 13:11:35, id: test-131049-075, time: 46.079s, sent: 6090 msg/s
2018-12-17 13:11:36, id: test-131049-075, time: 47.243s, sent: 6491 msg/s
2018-12-17 13:11:37, id: test-131049-075, time: 48.259s, sent: 6683 msg/s
2018-12-17 13:11:38, id: test-131049-075, time: 49.311s, sent: 5933 msg/s
2018-12-17 13:11:39, id: test-131049-075, time: 50.379s, sent: 6049 msg/s
2018-12-17 13:11:40, id: test-131049-075, time: 51.379s, sent: 6768 msg/s
2018-12-17 13:11:41, id: test-131049-075, time: 52.379s, sent: 6820 msg/s
2018-12-17 13:11:42, id: test-131049-075, time: 53.379s, sent: 6998 msg/s
2018-12-17 13:11:43, id: test-131049-075, time: 54.424s, sent: 4822 msg/s
2018-12-17 13:11:44, id: test-131049-075, time: 55.694s, sent: 6036 msg/s
2018-12-17 13:11:46, id: test-131049-075, time: 56.891s, sent: 6953 msg/s
2018-12-17 13:11:47, id: test-131049-075, time: 58.034s, sent: 5844 msg/s
2018-12-17 13:11:48, id: test-131049-075, time: 59.099s, sent: 6581 msg/s
2018-12-17 13:11:49, id: test-131049-075, time: 60.159s, sent: 6095 msg/s
2018-12-17 13:11:50, id: test-131049-075, time: 61.211s, sent: 6350 msg/s
2018-12-17 13:11:51, id: test-131049-075, time: 62.445s, sent: 6655 msg/s
2018-12-17 13:11:52, id: test-131049-075, time: 63.544s, sent: 6277 msg/s
2018-12-17 13:11:53, id: test-131049-075, time: 64.699s, sent: 4930 msg/s
2018-12-17 13:11:55, id: test-131049-075, time: 65.887s, sent: 6821 msg/s
2018-12-17 13:11:56, id: test-131049-075, time: 66.981s, sent: 5806 msg/s
2018-12-17 13:11:57, id: test-131049-075, time: 68.351s, sent: 5515 msg/s
2018-12-17 13:11:58, id: test-131049-075, time: 69.475s, sent: 6625 msg/s
2018-12-17 13:11:59, id: test-131049-075, time: 70.706s, sent: 5871 msg/s
2018-12-17 13:12:00, id: test-131049-075, time: 71.726s, sent: 6119 msg/s
2018-12-17 13:12:02, id: test-131049-075, time: 72.975s, sent: 6575 msg/s
2018-12-17 13:12:03, id: test-131049-075, time: 74.250s, sent: 6270 msg/s
2018-12-17 13:12:04, id: test-131049-075, time: 75.479s, sent: 6237 msg/s
2018-12-17 13:12:05, id: test-131049-075, time: 76.594s, sent: 6088 msg/s
2018-12-17 13:12:07, id: test-131049-075, time: 77.850s, sent: 6539 msg/s
2018-12-17 13:12:08, id: test-131049-075, time: 78.879s, sent: 6172 msg/s
2018-12-17 13:12:09, id: test-131049-075, time: 79.906s, sent: 6184 msg/s
2018-12-17 13:12:10, id: test-131049-075, time: 81.035s, sent: 5626 msg/s
2018-12-17 13:12:11, id: test-131049-075, time: 82.035s, sent: 7384 msg/s
2018-12-17 13:12:12, id: test-131049-075, time: 83.159s, sent: 5512 msg/s
2018-12-17 13:12:13, id: test-131049-075, time: 84.235s, sent: 5902 msg/s
2018-12-17 13:12:14, id: test-131049-075, time: 85.371s, sent: 6748 msg/s
2018-12-17 13:12:15, id: test-131049-075, time: 86.399s, sent: 6178 msg/s
2018-12-17 13:12:16, id: test-131049-075, time: 87.399s, sent: 7888 msg/s
2018-12-17 13:12:17, id: test-131049-075, time: 88.491s, sent: 4710 msg/s
2018-12-17 13:12:18, id: test-131049-075, time: 89.543s, sent: 6141 msg/s
2018-12-17 13:12:19, id: test-131049-075, time: 90.667s, sent: 6625 msg/s
2018-12-17 13:12:20, id: test-131049-075, time: 91.667s, sent: 6734 msg/s
2018-12-17 13:12:21, id: test-131049-075, time: 92.807s, sent: 5236 msg/s
2018-12-17 13:12:23, id: test-131049-075, time: 93.875s, sent: 5844 msg/s
2018-12-17 13:12:24, id: test-131049-075, time: 94.907s, sent: 6579 msg/s
2018-12-17 13:12:25, id: test-131049-075, time: 96.055s, sent: 6009 msg/s
2018-12-17 13:12:26, id: test-131049-075, time: 97.303s, sent: 6229 msg/s
2018-12-17 13:12:27, id: test-131049-075, time: 98.539s, sent: 6468 msg/s
2018-12-17 13:12:28, id: test-131049-075, time: 99.599s, sent: 6095 msg/s
2018-12-17 13:12:29, id: test-131049-075, time: 100.659s, sent: 6301 msg/s
2018-12-17 13:12:30, id: test-131049-075, time: 101.739s, sent: 5881 msg/s
2018-12-17 13:12:31, id: test-131049-075, time: 102.739s, sent: 7578 msg/s
2018-12-17 13:12:33, id: test-131049-075, time: 103.991s, sent: 5143 msg/s
2018-12-17 13:12:34, id: test-131049-075, time: 104.991s, sent: 7365 msg/s
2018-12-17 13:12:35, id: test-131049-075, time: 106.090s, sent: 5156 msg/s
2018-12-17 13:12:36, id: test-131049-075, time: 107.159s, sent: 6043 msg/s
2018-12-17 13:12:37, id: test-131049-075, time: 108.338s, sent: 6780 msg/s
2018-12-17 13:12:38, id: test-131049-075, time: 109.431s, sent: 5811 msg/s
2018-12-17 13:12:39, id: test-131049-075, time: 110.635s, sent: 6367 msg/s
2018-12-17 13:12:40, id: test-131049-075, time: 111.827s, sent: 6338 msg/s
2018-12-17 13:12:42, id: test-131049-075, time: 112.899s, sent: 6333 msg/s
2018-12-17 13:12:43, id: test-131049-075, time: 114.143s, sent: 6073 msg/s
2018-12-17 13:12:44, id: test-131049-075, time: 115.339s, sent: 6775 msg/s
2018-12-17 13:12:45, id: test-131049-075, time: 116.339s, sent: 5695 msg/s
