time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 23:49:43:301, 0, 24.9458, 4.9882, 51089, 10215.7568, 20, 4981, 5.0082, 10256.7757
2018-11-27 23:49:48:302, 0, 48.3774, 4.6854, 99077, 9595.6809, 0, 5001, 4.6854, 9595.6809
2018-11-27 23:49:53:302, 0, 64.1045, 3.1454, 131286, 6441.8000, 0, 5000, 3.1454, 6441.8000
2018-11-27 23:49:58:304, 0, 87.7783, 4.7329, 179770, 9692.9228, 0, 5002, 4.7329, 9692.9228
2018-11-27 23:50:03:306, 0, 110.6348, 4.5695, 226580, 9358.2567, 0, 5002, 4.5695, 9358.2567
2018-11-27 23:50:08:306, 0, 133.7485, 4.6228, 273917, 9467.4000, 0, 5000, 4.6228, 9467.4000
2018-11-27 23:50:13:308, 0, 156.4082, 4.5301, 320324, 9277.6889, 0, 5002, 4.5301, 9277.6889
2018-11-27 23:50:18:309, 0, 179.6431, 4.6460, 367909, 9515.0970, 0, 5001, 4.6460, 9515.0970
2018-11-27 23:50:23:312, 0, 203.3169, 4.7319, 416393, 9690.9854, 0, 5003, 4.7319, 9690.9854
2018-11-27 23:50:28:337, 0, 211.8994, 1.7080, 433970, 3497.9104, 0, 5025, 1.7080, 3497.9104
2018-11-27 23:50:33:337, 0, 234.9526, 4.6106, 481183, 9442.6000, 0, 5000, 4.6106, 9442.6000
2018-11-27 23:50:38:339, 0, 257.7334, 4.5543, 527838, 9327.2691, 0, 5002, 4.5543, 9327.2691
2018-11-27 23:50:43:339, 0, 280.2871, 4.5107, 574028, 9238.0000, 0, 5000, 4.5107, 9238.0000
2018-11-27 23:50:48:341, 0, 302.4019, 4.4212, 619319, 9054.5782, 0, 5002, 4.4212, 9054.5782
2018-11-27 23:50:53:345, 0, 324.8799, 4.4920, 665354, 9199.6403, 0, 5004, 4.4920, 9199.6403
2018-11-27 23:50:58:348, 0, 347.0249, 4.4263, 710707, 9065.1609, 0, 5003, 4.4263, 9065.1609
2018-11-27 23:51:03:348, 0, 369.2759, 4.4502, 756277, 9114.0000, 0, 5000, 4.4502, 9114.0000
2018-11-27 23:51:08:348, 0, 391.4966, 4.4441, 801785, 9101.6000, 0, 5000, 4.4441, 9101.6000
2018-11-27 23:51:13:348, 0, 414.2925, 4.5592, 848471, 9337.2000, 0, 5000, 4.5592, 9337.2000
2018-11-27 23:51:18:348, 0, 436.6646, 4.4744, 894289, 9163.6000, 0, 5000, 4.4744, 9163.6000
2018-11-27 23:51:23:350, 0, 458.9155, 4.4484, 939859, 9110.3559, 0, 5002, 4.4484, 9110.3559
2018-11-27 23:51:28:350, 0, 481.4087, 4.4986, 985925, 9213.2000, 0, 5000, 4.4986, 9213.2000
2018-11-27 23:51:33:351, 0, 503.5083, 4.4190, 1031185, 9050.1900, 0, 5001, 4.4190, 9050.1900
2018-11-27 23:51:38:352, 0, 525.6533, 4.4281, 1076538, 9068.7862, 0, 5001, 4.4281, 9068.7862
2018-11-27 23:51:43:353, 0, 548.1313, 4.4947, 1122573, 9205.1590, 0, 5001, 4.4947, 9205.1590
2018-11-27 23:51:49:247, 0, 568.5205, 3.4593, 1164330, 7084.6624, 0, 5894, 3.4593, 7084.6624
2018-11-27 23:51:54:248, 0, 590.7412, 4.4433, 1209838, 9099.7800, 0, 5001, 4.4433, 9099.7800
2018-11-27 23:51:59:248, 0, 613.1284, 4.4774, 1255687, 9169.8000, 0, 5000, 4.4774, 9169.8000
2018-11-27 23:52:04:249, 0, 635.6367, 4.5008, 1301784, 9217.5565, 0, 5001, 4.5008, 9217.5565
2018-11-27 23:52:09:251, 0, 658.4023, 4.5513, 1348408, 9321.0716, 0, 5002, 4.5513, 9321.0716
2018-11-27 23:52:14:254, 0, 680.8955, 4.4959, 1394474, 9207.6754, 0, 5003, 4.4959, 9207.6754
2018-11-27 23:52:19:255, 0, 703.1919, 4.4584, 1440137, 9130.7738, 0, 5001, 4.4584, 9130.7738
2018-11-27 23:52:24:256, 0, 725.7759, 4.5159, 1486389, 9248.5503, 0, 5001, 4.5159, 9248.5503
2018-11-27 23:52:29:257, 0, 748.0571, 4.4554, 1532021, 9124.5751, 0, 5001, 4.4554, 9124.5751
2018-11-27 23:52:34:259, 0, 770.4443, 4.4757, 1577870, 9166.1335, 0, 5002, 4.4757, 9166.1335
2018-11-27 23:52:39:263, 0, 792.6499, 4.4376, 1623347, 9088.1295, 0, 5004, 4.4376, 9088.1295
2018-11-27 23:52:44:264, 0, 815.3096, 4.5310, 1669754, 9279.5441, 0, 5001, 4.5310, 9279.5441
2018-11-27 23:52:49:265, 0, 837.7725, 4.4917, 1715758, 9198.9602, 0, 5001, 4.4917, 9198.9602
2018-11-27 23:52:54:265, 0, 860.2656, 4.4986, 1761824, 9213.2000, 0, 5000, 4.4986, 9213.2000
2018-11-27 23:52:59:267, 0, 882.6831, 4.4817, 1807735, 9178.5286, 0, 5002, 4.4817, 9178.5286
2018-11-27 23:53:04:268, 0, 905.1006, 4.4826, 1853646, 9180.3639, 0, 5001, 4.4826, 9180.3639
2018-11-27 23:53:09:268, 0, 927.7905, 4.5380, 1900115, 9293.8000, 0, 5000, 4.5380, 9293.8000
2018-11-27 23:53:14:269, 0, 950.3140, 4.5038, 1946243, 9223.7552, 0, 5001, 4.5038, 9223.7552
2018-11-27 23:53:19:269, 0, 973.0947, 4.5562, 1992898, 9331.0000, 0, 5000, 4.5562, 9331.0000
2018-11-27 23:53:24:269, 0, 995.3608, 4.4532, 2038499, 9120.2000, 0, 5000, 4.4532, 9120.2000
2018-11-27 23:53:29:269, 0, 1017.6572, 4.4593, 2084162, 9132.6000, 0, 5000, 4.4593, 9132.6000
2018-11-27 23:53:34:269, 0, 1039.9990, 4.4684, 2129918, 9151.2000, 0, 5000, 4.4684, 9151.2000
2018-11-27 23:53:39:270, 0, 1062.4014, 4.4796, 2175798, 9174.1652, 0, 5001, 4.4796, 9174.1652
2018-11-27 23:53:44:271, 0, 1085.0913, 4.5371, 2222267, 9291.9416, 0, 5001, 4.5371, 9291.9416
2018-11-27 23:53:49:271, 0, 1107.6602, 4.5138, 2268488, 9244.2000, 0, 5000, 4.5138, 9244.2000
2018-11-27 23:53:54:272, 0, 1130.1987, 4.5068, 2314647, 9229.9540, 0, 5001, 4.5068, 9229.9540
2018-11-27 23:53:59:275, 0, 1153.0098, 4.5595, 2361364, 9337.7973, 0, 5003, 4.5595, 9337.7973
2018-11-27 23:54:04:275, 0, 1175.4424, 4.4865, 2407306, 9188.4000, 0, 5000, 4.4865, 9188.4000
2018-11-27 23:54:09:276, 0, 1197.8447, 4.4796, 2453186, 9174.1652, 0, 5001, 4.4796, 9174.1652
2018-11-27 23:54:14:276, 0, 1220.1563, 4.4623, 2498880, 9138.8000, 0, 5000, 4.4623, 9138.8000
2018-11-27 23:54:19:278, 0, 1242.8765, 4.5422, 2545411, 9302.4790, 0, 5002, 4.5422, 9302.4790
2018-11-27 23:54:24:279, 0, 1265.4907, 4.5219, 2591725, 9260.9478, 0, 5001, 4.5219, 9260.9478
2018-11-27 23:54:29:280, 0, 1288.0142, 4.5038, 2637853, 9223.7552, 0, 5001, 4.5038, 9223.7552
2018-11-27 23:54:34:282, 0, 1310.7646, 4.5483, 2684446, 9314.8741, 0, 5002, 4.5483, 9314.8741
2018-11-27 23:54:39:282, 0, 1333.4697, 4.5410, 2730946, 9300.0000, 0, 5000, 4.5410, 9300.0000
2018-11-27 23:54:44:283, 0, 1356.0386, 4.5129, 2777167, 9242.3515, 0, 5001, 4.5129, 9242.3515
2018-11-27 23:54:49:285, 0, 1378.5166, 4.4938, 2823202, 9203.3187, 0, 5002, 4.4938, 9203.3187
2018-11-27 23:54:54:287, 0, 1400.8281, 4.4605, 2868896, 9135.1459, 0, 5002, 4.4605, 9135.1459
2018-11-27 23:54:59:287, 0, 1423.2910, 4.4926, 2914900, 9200.8000, 0, 5000, 4.4926, 9200.8000
2018-11-27 23:55:04:288, 0, 1445.9355, 4.5280, 2961276, 9273.3453, 0, 5001, 4.5280, 9273.3453
2018-11-27 23:55:09:290, 0, 1468.6709, 4.5453, 3007838, 9308.6765, 0, 5002, 4.5453, 9308.6765
2018-11-27 23:55:14:290, 0, 1491.4365, 4.5531, 3054462, 9324.8000, 0, 5000, 4.5531, 9324.8000
2018-11-27 23:55:19:292, 0, 1513.9146, 4.4938, 3100497, 9203.3187, 0, 5002, 4.4938, 9203.3187
2018-11-27 23:55:24:293, 0, 1536.5439, 4.5250, 3146842, 9267.1466, 0, 5001, 4.5250, 9267.1466
2018-11-27 23:55:29:293, 0, 1558.5527, 4.4018, 3191916, 9014.8000, 0, 5000, 4.4018, 9014.8000
2018-11-27 23:55:34:296, 0, 1580.8491, 4.4566, 3237579, 9127.1237, 0, 5003, 4.4566, 9127.1237
2018-11-27 23:55:39:297, 0, 1603.1152, 4.4523, 3283180, 9118.3763, 0, 5001, 4.4523, 9118.3763
2018-11-27 23:55:44:299, 0, 1625.7446, 4.5241, 3329525, 9265.2939, 0, 5002, 4.5241, 9265.2939
2018-11-27 23:55:49:302, 0, 1648.5859, 4.5655, 3376304, 9350.1899, 0, 5003, 4.5655, 9350.1899
2018-11-27 23:55:54:304, 0, 1671.4121, 4.5634, 3423052, 9345.8617, 0, 5002, 4.5634, 9345.8617
2018-11-27 23:55:59:305, 0, 1694.1323, 4.5431, 3469583, 9304.3391, 0, 5001, 4.5431, 9304.3391
2018-11-27 23:56:04:307, 0, 1716.4136, 4.4545, 3515215, 9122.7509, 0, 5002, 4.4545, 9122.7509
2018-11-27 23:56:09:309, 0, 1738.7554, 4.4666, 3560971, 9147.5410, 0, 5002, 4.4666, 9147.5410
2018-11-27 23:56:14:309, 0, 1761.6118, 4.5713, 3607781, 9362.0000, 0, 5000, 4.5713, 9362.0000
2018-11-27 23:56:19:309, 0, 1783.9839, 4.4744, 3653599, 9163.6000, 0, 5000, 4.4744, 9163.6000
2018-11-27 23:56:24:311, 0, 1806.6890, 4.5392, 3700099, 9296.2815, 0, 5002, 4.5392, 9296.2815
2018-11-27 23:56:29:313, 0, 1829.1670, 4.4938, 3746134, 9203.3187, 0, 5002, 4.4938, 9203.3187
2018-11-27 23:56:34:315, 0, 1851.6450, 4.4938, 3792169, 9203.3187, 0, 5002, 4.4938, 9203.3187
2018-11-27 23:56:39:315, 0, 1873.8657, 4.4441, 3837677, 9101.6000, 0, 5000, 4.4441, 9101.6000
2018-11-27 23:56:44:316, 0, 1896.2983, 4.4856, 3883619, 9186.5627, 0, 5001, 4.4856, 9186.5627
2018-11-27 23:56:49:319, 0, 1918.8218, 4.5020, 3929747, 9220.0680, 0, 5003, 4.5020, 9220.0680
2018-11-27 23:56:54:319, 0, 1941.5420, 4.5440, 3976278, 9306.2000, 0, 5000, 4.5440, 9306.2000
2018-11-27 23:56:59:320, 0, 1964.0806, 4.5068, 4022437, 9229.9540, 0, 5001, 4.5068, 9229.9540
2018-11-27 23:57:04:320, 0, 1986.8916, 4.5622, 4069154, 9343.4000, 0, 5000, 4.5622, 9343.4000
2018-11-27 23:57:09:320, 0, 2009.5059, 4.5229, 4115468, 9262.8000, 0, 5000, 4.5229, 9262.8000
2018-11-27 23:57:14:321, 0, 2023.6587, 2.8300, 4144453, 5795.8408, 0, 5001, 2.8300, 5795.8408
2018-11-27 23:57:19:322, 0, 2046.3335, 4.5341, 4190891, 9285.7429, 0, 5001, 4.5341, 9285.7429
2018-11-27 23:57:24:324, 0, 2069.1143, 4.5543, 4237546, 9327.2691, 0, 5002, 4.5543, 9327.2691
2018-11-27 23:57:29:327, 0, 2092.2734, 4.6291, 4284976, 9480.3118, 0, 5003, 4.6291, 9480.3118
2018-11-27 23:57:34:327, 0, 2115.5386, 4.6530, 4332623, 9529.4000, 0, 5000, 4.6530, 9529.4000
2018-11-27 23:57:39:327, 0, 2139.0308, 4.6984, 4380735, 9622.4000, 0, 5000, 4.6984, 9622.4000
2018-11-27 23:57:44:328, 0, 2162.5684, 4.7066, 4428940, 9639.0722, 0, 5001, 4.7066, 9639.0722
2018-11-27 23:57:49:330, 0, 2185.8032, 4.6451, 4476525, 9513.1947, 0, 5002, 4.6451, 9513.1947
