procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  27887     73   3493    0    0     0   114    0    1  2  1 97  0  0 2018-12-17 18:36:47
 0  0      0  27889     73   3493    0    0     0     0  126  123  0  0 100  0  0 2018-12-17 18:36:48
 0  0      0  27888     73   3493    0    0     0   504  492  615  0  0 98  2  0 2018-12-17 18:36:49
 0  0      0  27890     73   3493    0    0     0     0  106  139  0  0 100  0  0 2018-12-17 18:36:50
 0  1      0  27891     73   3493    0    0     0    76  322  476  0  0 100  0  0 2018-12-17 18:36:51
 3  0      0  27884     73   3493    0    0     0    80 10058 10762  5  2 93  0  0 2018-12-17 18:36:52
 3  0      0  27863     73   3493    0    0     0     0 32757 39206 19  5 76  0  0 2018-12-17 18:36:53
 4  0      0  27883     73   3493    0    0     0    76 31770 37446 19  4 77  0  0 2018-12-17 18:36:54
 6  0      0  27850     73   3493    0    0     0     0 34948 39702 19  5 76  0  0 2018-12-17 18:36:55
 4  0      0  27874     73   3493    0    0     0    72 32533 36677 16  5 78  0  0 2018-12-17 18:36:56
 2  0      0  27848     73   3493    0    0     0     0 32432 34805 17  5 78  0  0 2018-12-17 18:36:57
 1  0      0  27870     73   3493    0    0     0   140 33148 36132 16  5 78  0  0 2018-12-17 18:36:58
 3  0      0  27859     73   3493    0    0     0    72 30160 34797 16  6 78  0  0 2018-12-17 18:36:59
 7  0      0  27860     73   3493    0    0     0     0 33676 38639 18  6 76  0  0 2018-12-17 18:37:00
 2  1      0  27872     73   3493    0    0     0  2920 31471 37110 18  5 76  1  0 2018-12-17 18:37:01
 5  0      0  27848     73   3493    0    0     0     8 32705 38567 19  5 76  0  0 2018-12-17 18:37:02
 3  0      0  27876     73   3493    0    0     0   144 31962 36730 17  5 77  0  0 2018-12-17 18:37:03
 1  0      0  27847     73   3493    0    0     0     0 32735 39321 19  5 76  0  0 2018-12-17 18:37:04
 3  0      0  27877     73   3493    0    0     0   400 29607 33729 15  5 79  0  0 2018-12-17 18:37:05
 3  0      0  27849     73   3493    0    0     0     0 32090 37180 18  5 77  0  0 2018-12-17 18:37:06
 3  0      0  27870     73   3493    0    0     0    80 32356 37052 18  5 77  0  0 2018-12-17 18:37:07
 4  0      0  27851     73   3493    0    0     0    72 32445 36933 19  5 77  0  0 2018-12-17 18:37:08
 4  0      0  27861     73   3493    0    0     0     0 33610 38419 19  5 76  0  0 2018-12-17 18:37:09
 4  0      0  27877     73   3493    0    0     0    76 30401 35634 17  5 77  0  0 2018-12-17 18:37:10
 4  0      0  27854     73   3493    0    0     0     0 32175 37478 18  5 76  0  0 2018-12-17 18:37:11
 2  0      0  27877     73   3493    0    0     0    76 33852 38978 18  6 76  0  0 2018-12-17 18:37:12
 3  0      0  27850     73   3493    0    0     0     0 31872 38183 18  5 77  0  0 2018-12-17 18:37:13
 1  0      0  27872     73   3493    0    0     0    72 30989 36307 18  5 77  0  0 2018-12-17 18:37:14
 3  0      0  27852     73   3493    0    0     0    76 31516 36610 17  5 78  0  0 2018-12-17 18:37:15
 1  0      0  27861     73   3493    0    0     0     0 33099 37422 18  6 76  0  0 2018-12-17 18:37:16
 5  0      0  27856     73   3493    0    0     0    76 32339 37507 17  5 77  0  0 2018-12-17 18:37:17
 5  0      0  27864     73   3493    0    0     0    52 32858 38746 20  5 76  0  0 2018-12-17 18:37:18
 3  0      0  27880     73   3493    0    0     0    76 32788 37922 18  6 76  0  0 2018-12-17 18:37:19
 5  0      0  27852     73   3493    0    0     0     0 30638 37390 18  6 76  0  0 2018-12-17 18:37:20
 3  0      0  27873     73   3493    0    0     0    76 33865 38297 18  6 76  0  0 2018-12-17 18:37:21
 3  0      0  27848     73   3493    0    0     0     0 32404 38101 18  6 77  0  0 2018-12-17 18:37:22
 3  0      0  27866     73   3493    0    0     0    72 32240 37689 18  6 76  0  0 2018-12-17 18:37:23
 0  0      0  27852     73   3493    0    0     0     0 31070 35473 18  5 77  0  0 2018-12-17 18:37:24
 4  0      0  27866     73   3493    0    0     0     0 32547 39253 19  6 75  0  0 2018-12-17 18:37:25
 4  0      0  27882     73   3493    0    0     0    72 31257 36593 18  5 76  0  0 2018-12-17 18:37:26
 2  0      0  27851     73   3493    0    0     0     0 31622 37529 18  6 76  0  0 2018-12-17 18:37:27
 3  0      0  27876     73   3493    0    0     0    72 34249 38372 18  6 76  0  0 2018-12-17 18:37:28
 3  0      0  27851     73   3493    0    0     0     0 30283 37020 18  5 77  0  0 2018-12-17 18:37:29
 3  0      0  27880     73   3495    0    0     0  1868 28367 33656 16  5 78  1  0 2018-12-17 18:37:30
 2  0      0  27854     73   3495    0    0     0     0 30322 36895 19  4 77  0  0 2018-12-17 18:37:31
 3  0      0  27867     73   3493    0    0     0  3828 32016 41075 20  6 74  1  0 2018-12-17 18:37:32
 5  0      0  27854     73   3493    0    0     0    76 32775 38759 18  5 77  0  0 2018-12-17 18:37:33
 3  0      0  27864     73   3493    0    0     0     0 32857 39039 18  5 76  0  0 2018-12-17 18:37:34
 7  0      0  27871     73   3493    0    0     0    72 30467 36644 17  5 77  0  0 2018-12-17 18:37:35
 2  0      0  27859     73   3493    0    0     0     0 31248 38513 18  6 76  0  0 2018-12-17 18:37:36
 3  0      0  27876     73   3493    0    0     0    76 31854 36226 16  6 78  0  0 2018-12-17 18:37:37
 3  0      0  27848     73   3493    0    0     0     0 31868 38232 18  5 77  0  0 2018-12-17 18:37:38
 3  0      0  27872     73   3493    0    0     0    72 31671 36489 17  5 78  0  0 2018-12-17 18:37:39
 0  1      0  27846     73   3493    0    0     0    68 32191 37363 18  4 77  0  0 2018-12-17 18:37:40
 3  0      0  27865     73   3493    0    0     0     4 34118 39828 19  5 76  0  0 2018-12-17 18:37:41
 5  0      0  27846     73   3493    0    0     0    72 31764 36515 17  5 77  0  0 2018-12-17 18:37:42
 2  0      0  27860     73   3493    0    0     0     0 33044 38572 18  5 76  0  0 2018-12-17 18:37:43
 2  0      0  27875     73   3493    0    0     0    72 32239 37496 18  5 77  0  0 2018-12-17 18:37:44
 1  0      0  27850     73   3493    0    0     0     0 31580 37455 19  5 76  0  0 2018-12-17 18:37:45
 2  0      0  27873     73   3493    0    0     0    76 32492 38398 18  5 76  0  0 2018-12-17 18:37:46
 3  0      0  27844     73   3493    0    0     0     0 32930 38819 18  5 77  0  0 2018-12-17 18:37:47
 2  0      0  27874     73   3493    0    0     0    84 30526 36284 17  5 78  0  0 2018-12-17 18:37:48
 4  0      0  27858     73   3493    0    0     0    72 30496 33494 16  5 78  0  0 2018-12-17 18:37:49
 3  0      0  27867     73   3493    0    0     0     0 31513 35126 17  5 78  0  0 2018-12-17 18:37:50
 2  0      0  27865     73   3493    0    0     0    68 33938 35820 17  5 78  0  0 2018-12-17 18:37:51
 4  0      0  27863     73   3493    0    0     0     0 33782 37463 16  6 78  0  0 2018-12-17 18:37:52
 3  0      0  27881     73   3493    0    0     0    72 30246 35166 16  6 78  0  0 2018-12-17 18:37:53
 1  0      0  27853     73   3493    0    0     0     0 32191 37954 18  5 77  0  0 2018-12-17 18:37:54
 2  0      0  27873     73   3493    0    0     0    76 33043 38590 18  6 76  0  0 2018-12-17 18:37:55
 3  0      0  27853     73   3493    0    0     0    72 30697 36866 18  6 76  0  0 2018-12-17 18:37:56
 3  0      0  27863     73   3493    0    0     0     0 32918 38490 18  6 76  0  0 2018-12-17 18:37:57
 3  0      0  27858     73   3493    0    0     0    76 31317 37221 18  6 76  0  0 2018-12-17 18:37:58
 3  0      0  27859     73   3493    0    0     0     0 32632 37699 18  6 77  0  0 2018-12-17 18:37:59
 1  0      0  27846     73   3493    0    0     0  8292 29048 33588 16  4 78  1  0 2018-12-17 18:38:00
 3  0      0  27856     73   3493    0    0     0   272 32765 38185 19  5 76  1  0 2018-12-17 18:38:01
 2  0      0  27878     73   3493    0    0     0   136 31091 36300 18  6 77  0  0 2018-12-17 18:38:02
 2  0      0  27850     73   3493    0    0     0  2792 30122 35563 17  6 76  1  0 2018-12-17 18:38:03
 3  0      0  27876     73   3493    0    0     0    76 31606 38442 18  6 76  0  0 2018-12-17 18:38:04
 3  0      0  27849     73   3493    0    0     0    72 31273 38405 19  5 76  0  0 2018-12-17 18:38:05
 3  0      0  27865     73   3493    0    0     0     0 33113 39190 18  6 76  0  0 2018-12-17 18:38:06
 2  0      0  27850     73   3493    0    0     0  8296 25517 31235 15  5 79  1  0 2018-12-17 18:38:07
 3  0      0  27861     73   3493    0    0     0     0 33641 39208 19  5 76  0  0 2018-12-17 18:38:08
 4  0      0  27873     73   3493    0    0     0    76 32133 37793 18  5 76  0  0 2018-12-17 18:38:09
 6  0      0  27861     73   3493    0    0     0     0 32820 38927 19  5 76  0  0 2018-12-17 18:38:10
 3  0      0  27882     73   3493    0    0     0    72 32527 37022 17  6 77  0  0 2018-12-17 18:38:11
 4  0      0  27852     73   3493    0    0     0     0 30523 36916 18  5 77  0  0 2018-12-17 18:38:12
 3  0      0  27873     73   3493    0    0     0    76 33008 37618 18  6 76  0  0 2018-12-17 18:38:13
 2  1      0  27850     73   3493    0    0     0    72 30029 36389 17  5 78  0  0 2018-12-17 18:38:14
 4  0      0  27867     73   3493    0    0     0     4 32254 37850 18  5 77  0  0 2018-12-17 18:38:15
 1  0      0  27856     73   3493    0    0     0    72 31869 36960 18  5 77  0  0 2018-12-17 18:38:16
 4  0      0  27859     73   3493    0    0     0     0 33232 38873 17  6 77  0  0 2018-12-17 18:38:17
 4  0      0  27877     73   3493    0    0     0    76 32654 37782 19  5 76  0  0 2018-12-17 18:38:18
 4  0      0  27851     73   3493    0    0     0     0 32195 37603 18  5 76  0  0 2018-12-17 18:38:19
 3  0      0  27874     73   3493    0    0     0    76 31257 36600 18  5 77  0  0 2018-12-17 18:38:20
 4  0      0  27847     73   3493    0    0     0     0 33293 38941 18  5 76  0  0 2018-12-17 18:38:21
 3  0      0  27870     73   3493    0    0     0    72 30504 36179 17  6 77  0  0 2018-12-17 18:38:22
 2  0      0  27851     73   3493    0    0     0    72 33528 38085 18  6 76  0  0 2018-12-17 18:38:23
 2  0      0  27860     73   3493    0    0     0     0 33952 39451 18  6 76  0  0 2018-12-17 18:38:24
 3  0      0  27872     73   3493    0    0     0    76 32158 37247 17  6 77  0  0 2018-12-17 18:38:25
 5  0      0  27861     73   3493    0    0     0     0 31053 37214 18  6 77  0  0 2018-12-17 18:38:26
 1  0      0  27878     73   3493    0    0     0    76 31595 37339 18  5 76  0  0 2018-12-17 18:38:27
 2  0      0  27854     73   3493    0    0     0     0 31378 38448 18  5 77  0  0 2018-12-17 18:38:28
