2018-12-20 12:57:49, id: test-125748-897, starting consumer #0
2018-12-20 12:57:49, id: test-125748-897, starting consumer #0, channel #0
2018-12-20 12:57:50, id: test-125748-897, time: 1.392s, received: 0.72 msg/s
2018-12-20 12:57:51, id: test-125748-897, time: 2.392s, received: 6047 msg/s
2018-12-20 12:57:52, id: test-125748-897, time: 3.392s, received: 6055 msg/s
2018-12-20 12:57:53, id: test-125748-897, time: 4.394s, received: 6394 msg/s
2018-12-20 12:57:54, id: test-125748-897, time: 5.394s, received: 6112 msg/s
2018-12-20 12:57:55, id: test-125748-897, time: 6.394s, received: 6293 msg/s
2018-12-20 12:57:56, id: test-125748-897, time: 7.394s, received: 6225 msg/s
2018-12-20 12:57:57, id: test-125748-897, time: 8.394s, received: 6444 msg/s
2018-12-20 12:57:58, id: test-125748-897, time: 9.394s, received: 6134 msg/s
2018-12-20 12:57:59, id: test-125748-897, time: 10.394s, received: 6175 msg/s
2018-12-20 12:58:00, id: test-125748-897, time: 11.394s, received: 6104 msg/s
2018-12-20 12:58:01, id: test-125748-897, time: 12.394s, received: 6139 msg/s
2018-12-20 12:58:02, id: test-125748-897, time: 13.394s, received: 6182 msg/s
2018-12-20 12:58:03, id: test-125748-897, time: 14.394s, received: 5997 msg/s
2018-12-20 12:58:04, id: test-125748-897, time: 15.396s, received: 6211 msg/s
2018-12-20 12:58:05, id: test-125748-897, time: 16.396s, received: 6169 msg/s
2018-12-20 12:58:06, id: test-125748-897, time: 17.403s, received: 6249 msg/s
2018-12-20 12:58:07, id: test-125748-897, time: 18.403s, received: 6441 msg/s
2018-12-20 12:58:08, id: test-125748-897, time: 19.403s, received: 6024 msg/s
2018-12-20 12:58:09, id: test-125748-897, time: 20.403s, received: 6157 msg/s
2018-12-20 12:58:10, id: test-125748-897, time: 21.403s, received: 6241 msg/s
2018-12-20 12:58:11, id: test-125748-897, time: 22.403s, received: 6298 msg/s
2018-12-20 12:58:12, id: test-125748-897, time: 23.403s, received: 6348 msg/s
2018-12-20 12:58:13, id: test-125748-897, time: 24.403s, received: 6315 msg/s
2018-12-20 12:58:14, id: test-125748-897, time: 25.403s, received: 6152 msg/s
2018-12-20 12:58:15, id: test-125748-897, time: 26.403s, received: 6168 msg/s
2018-12-20 12:58:16, id: test-125748-897, time: 27.403s, received: 6391 msg/s
2018-12-20 12:58:17, id: test-125748-897, time: 28.403s, received: 5970 msg/s
2018-12-20 12:58:18, id: test-125748-897, time: 29.403s, received: 6289 msg/s
2018-12-20 12:58:19, id: test-125748-897, time: 30.403s, received: 5840 msg/s
2018-12-20 12:58:20, id: test-125748-897, time: 31.403s, received: 6109 msg/s
2018-12-20 12:58:21, id: test-125748-897, time: 32.403s, received: 6460 msg/s
2018-12-20 12:58:22, id: test-125748-897, time: 33.403s, received: 6156 msg/s
2018-12-20 12:58:23, id: test-125748-897, time: 34.403s, received: 6432 msg/s
2018-12-20 12:58:24, id: test-125748-897, time: 35.403s, received: 6202 msg/s
2018-12-20 12:58:25, id: test-125748-897, time: 36.403s, received: 6374 msg/s
2018-12-20 12:58:26, id: test-125748-897, time: 37.403s, received: 6157 msg/s
2018-12-20 12:58:27, id: test-125748-897, time: 38.403s, received: 6189 msg/s
2018-12-20 12:58:28, id: test-125748-897, time: 39.403s, received: 6528 msg/s
2018-12-20 12:58:29, id: test-125748-897, time: 40.404s, received: 6342 msg/s
2018-12-20 12:58:30, id: test-125748-897, time: 41.405s, received: 6373 msg/s
2018-12-20 12:58:31, id: test-125748-897, time: 42.407s, received: 6217 msg/s
2018-12-20 12:58:32, id: test-125748-897, time: 43.407s, received: 6459 msg/s
2018-12-20 12:58:33, id: test-125748-897, time: 44.407s, received: 6182 msg/s
2018-12-20 12:58:34, id: test-125748-897, time: 45.407s, received: 6278 msg/s
2018-12-20 12:58:35, id: test-125748-897, time: 46.408s, received: 6318 msg/s
