procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 4  0      0  25490     61   5860    0    0     0     0 42753 37381 24  7 69  0  0 2018-12-21 03:25:05
 3  0      0  25513     61   5860    0    0     0    72 44421 37943 24  7 69  0  0 2018-12-21 03:25:06
 7  0      0  25481     61   5860    0    0     0     0 43355 37627 25  6 69  0  0 2018-12-21 03:25:07
 3  0      0  25510     61   5860    0    0     0    72 37812 33218 20  6 73  0  0 2018-12-21 03:25:08
 5  0      0  25483     61   5860    0    0     0    76 41159 35273 22  6 71  0  0 2018-12-21 03:25:09
 4  0      0  25496     61   5860    0    0     0     0 45408 39616 25  7 68  0  0 2018-12-21 03:25:10
 3  0      0  25495     61   5860    0    0     0    72 41710 35753 24  6 70  0  0 2018-12-21 03:25:11
 5  0      0  25488     61   5860    0    0     0   216 45143 38897 26  7 67  1  0 2018-12-21 03:25:12
 6  0      0  25510     61   5860    0    0     0    76 41720 35442 23  7 69  0  0 2018-12-21 03:25:13
 4  0      0  25482     61   5860    0    0     0  2152 44227 38403 25  7 68  0  0 2018-12-21 03:25:14
 3  0      0  25505     61   5861    0    0     0    72 43090 37811 24  6 69  0  0 2018-12-21 03:25:15
 6  0      0  25491     61   5860    0    0     0    72 43592 37199 24  7 69  0  0 2018-12-21 03:25:16
 4  0      0  25501     61   5860    0    0     0     0 43791 37967 25  7 68  0  0 2018-12-21 03:25:17
 2  0      0  25517     61   5860    0    0     0    72 42414 37211 24  6 69  0  0 2018-12-21 03:25:18
 4  0      0  25495     61   5860    0    0     0     0 42965 38595 25  6 69  0  0 2018-12-21 03:25:19
 4  0      0  25515     61   5860    0    0     0    76 37927 32640 22  6 72  0  0 2018-12-21 03:25:20
 1  0      0  25485     61   5861    0    0     0     0 41898 36753 23  7 69  0  0 2018-12-21 03:25:21
 3  0      0  25509     61   5860    0    0     0    72 44252 38504 25  7 68  0  0 2018-12-21 03:25:22
 0  0      0  25495     61   5861    0    0     0    72 41747 36799 23  6 70  0  0 2018-12-21 03:25:23
 3  0      0  25507     61   5860    0    0     0     0 40976 34746 22  6 71  0  0 2018-12-21 03:25:24
 3  0      0  25496     61   5860    0    0     0    76 43128 36302 25  5 70  0  0 2018-12-21 03:25:25
 3  0      0  25497     61   5860    0    0     0     0 44543 39731 26  6 68  0  0 2018-12-21 03:25:26
 3  0      0  25515     61   5860    0    0     0    76 43960 38585 24  7 69  0  0 2018-12-21 03:25:27
 3  0      0  25484     61   5860    0    0     0     0 44362 38510 25  6 69  0  0 2018-12-21 03:25:28
 5  0      0  25512     61   5860    0    0     0    76 43936 38050 25  7 68  0  0 2018-12-21 03:25:29
 6  0      0  25491     61   5860    0    0     0    76 44125 38372 25  7 68  0  0 2018-12-21 03:25:30
 4  0      0  25496     61   5860    0    0     0     0 43838 37451 26  6 68  0  0 2018-12-21 03:25:31
 2  0      0  25505     61   5860    0    0     0    84 43303 37031 24  7 69  0  0 2018-12-21 03:25:32
 3  0      0  25484     61   5860    0    0     0     0 42974 37683 23  7 70  0  0 2018-12-21 03:25:33
