time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 01:45:09:844, 0, 74.4277, 14.8855, 152428, 30485.6000, 16, 4984, 14.9333, 30583.4671
2018-11-27 01:45:14:844, 0, 153.8350, 15.8814, 315054, 32525.2000, 0, 5000, 15.8814, 32525.2000
2018-11-27 01:45:19:844, 0, 235.5278, 16.3386, 482361, 33461.4000, 0, 5000, 16.3386, 33461.4000
2018-11-27 01:45:24:845, 0, 305.2930, 13.9502, 625240, 28570.0860, 0, 5001, 13.9502, 28570.0860
2018-11-27 01:45:33:142, 0, 360.4663, 6.6498, 738235, 13618.7779, 0, 8297, 6.6498, 13618.7779
2018-11-27 01:45:38:142, 0, 441.4478, 16.1963, 904085, 33170.0000, 0, 5000, 16.1963, 33170.0000
2018-11-27 01:45:43:142, 0, 523.7764, 16.4657, 1072694, 33721.8000, 0, 5000, 16.4657, 33721.8000
2018-11-27 01:45:48:142, 0, 605.7114, 16.3870, 1240497, 33560.6000, 0, 5000, 16.3870, 33560.6000
2018-11-27 01:45:53:142, 0, 686.8442, 16.2266, 1406657, 33232.0000, 0, 5000, 16.2266, 33232.0000
2018-11-27 01:45:58:142, 0, 769.0215, 16.4354, 1574956, 33659.8000, 0, 5000, 16.4354, 33659.8000
2018-11-27 01:46:03:142, 0, 852.0615, 16.6080, 1745022, 34013.2000, 0, 5000, 16.6080, 34013.2000
2018-11-27 01:46:08:142, 0, 935.6011, 16.7079, 1916111, 34217.8000, 0, 5000, 16.7079, 34217.8000
2018-11-27 01:46:13:142, 0, 1018.5200, 16.5838, 2085929, 33963.6000, 0, 5000, 16.5838, 33963.6000
2018-11-27 01:46:18:142, 0, 1101.0757, 16.5111, 2255003, 33814.8000, 0, 5000, 16.5111, 33814.8000
2018-11-27 01:46:23:142, 0, 1184.7515, 16.7352, 2426371, 34273.6000, 0, 5000, 16.7352, 34273.6000
2018-11-27 01:46:28:142, 0, 1267.3979, 16.5293, 2595631, 33852.0000, 0, 5000, 16.5293, 33852.0000
