2018-12-17 18:10:52, id: test-180935-275, time: 77.415s, received: 6308 msg/s
2018-12-17 18:10:53, id: test-180935-275, time: 78.415s, received: 6064 msg/s
2018-12-17 18:10:54, id: test-180935-275, time: 79.415s, received: 6120 msg/s
2018-12-17 18:10:55, id: test-180935-275, time: 80.415s, received: 6014 msg/s
2018-12-17 18:10:56, id: test-180935-275, time: 81.415s, received: 6258 msg/s
2018-12-17 18:10:57, id: test-180935-275, time: 82.415s, received: 6144 msg/s
2018-12-17 18:10:58, id: test-180935-275, time: 83.415s, received: 6110 msg/s
2018-12-17 18:10:59, id: test-180935-275, time: 84.415s, received: 6380 msg/s
2018-12-17 18:11:00, id: test-180935-275, time: 85.415s, received: 6054 msg/s
2018-12-17 18:11:01, id: test-180935-275, time: 86.417s, received: 6243 msg/s
2018-12-17 18:11:02, id: test-180935-275, time: 87.417s, received: 6566 msg/s
2018-12-17 18:11:03, id: test-180935-275, time: 88.417s, received: 5980 msg/s
2018-12-17 18:11:04, id: test-180935-275, time: 89.417s, received: 6385 msg/s
2018-12-17 18:11:05, id: test-180935-275, time: 90.417s, received: 6271 msg/s
2018-12-17 18:11:06, id: test-180935-275, time: 91.421s, received: 6365 msg/s
2018-12-17 18:11:07, id: test-180935-275, time: 92.421s, received: 6027 msg/s
2018-12-17 18:11:08, id: test-180935-275, time: 93.421s, received: 6322 msg/s
2018-12-17 18:11:09, id: test-180935-275, time: 94.421s, received: 6311 msg/s
2018-12-17 18:11:10, id: test-180935-275, time: 95.421s, received: 6424 msg/s
2018-12-17 18:11:11, id: test-180935-275, time: 96.423s, received: 6390 msg/s
2018-12-17 18:11:12, id: test-180935-275, time: 97.425s, received: 6107 msg/s
2018-12-17 18:11:13, id: test-180935-275, time: 98.425s, received: 6190 msg/s
2018-12-17 18:11:14, id: test-180935-275, time: 99.425s, received: 5986 msg/s
2018-12-17 18:11:15, id: test-180935-275, time: 100.429s, received: 6199 msg/s
2018-12-17 18:11:16, id: test-180935-275, time: 101.429s, received: 6240 msg/s
2018-12-17 18:11:17, id: test-180935-275, time: 102.429s, received: 6138 msg/s
2018-12-17 18:11:18, id: test-180935-275, time: 103.431s, received: 6409 msg/s
2018-12-17 18:11:19, id: test-180935-275, time: 104.431s, received: 5826 msg/s
2018-12-17 18:11:20, id: test-180935-275, time: 105.431s, received: 6479 msg/s
2018-12-17 18:11:21, id: test-180935-275, time: 106.432s, received: 6306 msg/s
2018-12-17 18:11:22, id: test-180935-275, time: 107.432s, received: 6032 msg/s
2018-12-17 18:11:23, id: test-180935-275, time: 108.432s, received: 5625 msg/s
2018-12-17 18:11:24, id: test-180935-275, time: 109.432s, received: 6425 msg/s
2018-12-17 18:11:25, id: test-180935-275, time: 110.432s, received: 6318 msg/s
2018-12-17 18:11:26, id: test-180935-275, time: 111.432s, received: 6304 msg/s
2018-12-17 18:11:27, id: test-180935-275, time: 112.432s, received: 6419 msg/s
2018-12-17 18:11:28, id: test-180935-275, time: 113.432s, received: 5994 msg/s
2018-12-17 18:11:29, id: test-180935-275, time: 114.432s, received: 6438 msg/s
2018-12-17 18:11:30, id: test-180935-275, time: 115.432s, received: 6411 msg/s
2018-12-17 18:11:31, id: test-180935-275, time: 116.432s, received: 6158 msg/s
2018-12-17 18:11:32, id: test-180935-275, time: 117.433s, received: 6301 msg/s
2018-12-17 18:11:33, id: test-180935-275, time: 118.439s, received: 5914 msg/s
2018-12-17 18:11:34, id: test-180935-275, time: 119.439s, received: 6274 msg/s
2018-12-17 18:11:35, id: test-180935-275, time: 120.439s, received: 6326 msg/s
2018-12-17 18:11:36, id: test-180935-275, time: 121.443s, received: 6140 msg/s
2018-12-17 18:11:37, id: test-180935-275, time: 122.443s, received: 6504 msg/s
2018-12-17 18:11:38, id: test-180935-275, time: 123.444s, received: 6262 msg/s
2018-12-17 18:11:39, id: test-180935-275, time: 124.444s, received: 6461 msg/s
2018-12-17 18:11:40, id: test-180935-275, time: 125.444s, received: 6193 msg/s
2018-12-17 18:11:41, id: test-180935-275, time: 126.446s, received: 6290 msg/s
