time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 06:45:20:394, 0, 31.2578, 6.2503, 64016, 12800.6399, 15, 4986, 6.2691, 12839.1496
2018-11-27 06:45:26:162, 0, 55.4009, 4.1857, 113461, 8572.2954, 0, 5768, 4.1857, 8572.2954
2018-11-27 06:45:31:162, 0, 81.1333, 5.1465, 166161, 10540.0000, 0, 5000, 5.1465, 10540.0000
2018-11-27 06:45:36:164, 0, 106.9565, 5.1626, 219047, 10572.9708, 0, 5002, 5.1626, 10572.9708
2018-11-27 06:45:41:165, 0, 132.5225, 5.1122, 271406, 10469.7061, 0, 5001, 5.1122, 10469.7061
2018-11-27 06:45:46:168, 0, 158.6787, 5.2281, 324974, 10707.1757, 0, 5003, 5.2281, 10707.1757
2018-11-27 06:45:51:168, 0, 184.0024, 5.0647, 376837, 10372.6000, 0, 5000, 5.0647, 10372.6000
2018-11-27 06:45:56:170, 0, 209.4624, 5.0900, 428979, 10424.2303, 0, 5002, 5.0900, 10424.2303
2018-11-27 06:46:01:172, 0, 234.6499, 5.0355, 480563, 10312.6749, 0, 5002, 5.0355, 10312.6749
2018-11-27 06:46:06:173, 0, 260.0493, 5.0789, 532581, 10401.5197, 0, 5001, 5.0789, 10401.5197
2018-11-27 06:46:11:181, 0, 285.1914, 5.0204, 584072, 10281.7492, 0, 5008, 5.0204, 10281.7492
2018-11-27 06:46:16:182, 0, 310.2578, 5.0123, 635408, 10265.1470, 0, 5001, 5.0123, 10265.1470
2018-11-27 06:46:21:183, 0, 335.3696, 5.0214, 686837, 10283.7433, 0, 5001, 5.0214, 10283.7433
2018-11-27 06:46:26:183, 0, 360.0879, 4.9437, 737460, 10124.6000, 0, 5000, 4.9437, 10124.6000
2018-11-27 06:46:31:183, 0, 390.1343, 6.0093, 798995, 12307.0000, 0, 5000, 6.0093, 12307.0000
2018-11-27 06:46:36:184, 0, 415.4277, 5.0577, 850796, 10358.1284, 0, 5001, 5.0577, 10358.1284
2018-11-27 06:46:41:184, 0, 440.6606, 5.0466, 902473, 10335.4000, 0, 5000, 5.0466, 10335.4000
2018-11-27 06:46:46:184, 0, 465.8481, 5.0375, 954057, 10316.8000, 0, 5000, 5.0375, 10316.8000
2018-11-27 06:46:51:186, 0, 490.7480, 4.9780, 1005052, 10194.9220, 0, 5002, 4.9780, 10194.9220
2018-11-27 06:46:56:186, 0, 515.7993, 5.0103, 1056357, 10261.0000, 0, 5000, 5.0103, 10261.0000
2018-11-27 06:47:01:186, 0, 541.1836, 5.0769, 1108344, 10397.4000, 0, 5000, 5.0769, 10397.4000
2018-11-27 06:47:06:188, 0, 566.5981, 5.0809, 1160393, 10405.6377, 0, 5002, 5.0809, 10405.6377
2018-11-27 06:47:11:189, 0, 591.8008, 5.0395, 1212008, 10320.9358, 0, 5001, 5.0395, 10320.9358
2018-11-27 06:47:16:190, 0, 620.8633, 5.8113, 1271528, 11901.6197, 0, 5001, 5.8113, 11901.6197
2018-11-27 06:47:21:192, 0, 647.1104, 5.2473, 1325282, 10746.5014, 0, 5002, 5.2473, 10746.5014
2018-11-27 06:47:26:192, 0, 672.0103, 4.9800, 1376277, 10199.0000, 0, 5000, 4.9800, 10199.0000
2018-11-27 06:47:31:193, 0, 697.6821, 5.1333, 1428853, 10513.0974, 0, 5001, 5.1333, 10513.0974
2018-11-27 06:47:36:195, 0, 723.0664, 5.0748, 1480840, 10393.2427, 0, 5002, 5.0748, 10393.2427
2018-11-27 06:47:41:197, 0, 747.8755, 4.9598, 1531649, 10157.7369, 0, 5002, 4.9598, 10157.7369
2018-11-27 06:47:46:199, 0, 773.0781, 5.0385, 1583264, 10318.8725, 0, 5002, 5.0385, 10318.8725
2018-11-27 06:47:51:200, 0, 798.4624, 5.0758, 1635251, 10395.3209, 0, 5001, 5.0758, 10395.3209
2018-11-27 06:47:56:201, 0, 823.8315, 5.0728, 1687207, 10389.1222, 0, 5001, 5.0728, 10389.1222
2018-11-27 06:48:01:201, 0, 851.5923, 5.5521, 1744061, 11370.8000, 0, 5000, 5.5521, 11370.8000
2018-11-27 06:48:06:202, 0, 879.1411, 5.5087, 1800481, 11281.7437, 0, 5001, 5.5087, 11281.7437
2018-11-27 06:48:11:203, 0, 904.0713, 4.9850, 1851538, 10209.3581, 0, 5001, 4.9850, 10209.3581
2018-11-27 06:48:16:206, 0, 929.3345, 5.0496, 1903277, 10341.5950, 0, 5003, 5.0496, 10341.5950
2018-11-27 06:48:21:210, 0, 954.6128, 5.0516, 1955047, 10345.7234, 0, 5004, 5.0516, 10345.7234
2018-11-27 06:48:26:210, 0, 979.8003, 5.0375, 2006631, 10316.8000, 0, 5000, 5.0375, 10316.8000
2018-11-27 06:48:31:213, 0, 1005.0483, 5.0466, 2058339, 10335.3988, 0, 5003, 5.0466, 10335.3988
2018-11-27 06:48:36:215, 0, 1030.0845, 5.0052, 2109613, 10250.6997, 0, 5002, 5.0052, 10250.6997
2018-11-27 06:48:41:216, 0, 1055.2266, 5.0274, 2161104, 10296.1408, 0, 5001, 5.0274, 10296.1408
2018-11-27 06:48:46:216, 0, 1081.3223, 5.2191, 2214548, 10688.8000, 0, 5000, 5.2191, 10688.8000
2018-11-27 06:48:51:218, 0, 1109.9912, 5.7315, 2273262, 11738.1048, 0, 5002, 5.7315, 11738.1048
2018-11-27 06:48:56:220, 0, 1135.1484, 5.0294, 2324784, 10300.2799, 0, 5002, 5.0294, 10300.2799
2018-11-27 06:49:01:221, 0, 1160.3359, 5.0365, 2376368, 10314.7371, 0, 5001, 5.0365, 10314.7371
2018-11-27 06:49:06:222, 0, 1185.6294, 5.0577, 2428169, 10358.1284, 0, 5001, 5.0577, 10358.1284
2018-11-27 06:49:11:222, 0, 1211.0137, 5.0769, 2480156, 10397.4000, 0, 5000, 5.0769, 10397.4000
2018-11-27 06:49:16:223, 0, 1236.2163, 5.0395, 2531771, 10320.9358, 0, 5001, 5.0395, 10320.9358
2018-11-27 06:49:21:223, 0, 1262.0698, 5.1707, 2584719, 10589.6000, 0, 5000, 5.1707, 10589.6000
2018-11-27 06:49:26:226, 0, 1287.1968, 5.0224, 2636179, 10285.8285, 0, 5003, 5.0224, 10285.8285
2018-11-27 06:49:31:226, 0, 1312.1724, 4.9951, 2687329, 10230.0000, 0, 5000, 4.9951, 10230.0000
2018-11-27 06:49:36:227, 0, 1341.8706, 5.9385, 2748151, 12161.9676, 0, 5001, 5.9385, 12161.9676
2018-11-27 06:49:41:227, 0, 1367.0581, 5.0375, 2799735, 10316.8000, 0, 5000, 5.0375, 10316.8000
2018-11-27 06:49:46:227, 0, 1391.9883, 4.9860, 2850792, 10211.4000, 0, 5000, 4.9860, 10211.4000
2018-11-27 06:49:51:227, 0, 1417.2666, 5.0557, 2902562, 10354.0000, 0, 5000, 5.0557, 10354.0000
2018-11-27 06:49:56:228, 0, 1442.6509, 5.0758, 2954549, 10395.3209, 0, 5001, 5.0758, 10395.3209
2018-11-27 06:50:01:229, 0, 1467.9595, 5.0607, 3006381, 10364.3271, 0, 5001, 5.0607, 10364.3271
2018-11-27 06:50:06:229, 0, 1493.0864, 5.0254, 3057841, 10292.0000, 0, 5000, 5.0254, 10292.0000
2018-11-27 06:50:11:229, 0, 1518.1528, 5.0133, 3109177, 10267.2000, 0, 5000, 5.0133, 10267.2000
2018-11-27 06:50:16:229, 0, 1543.1133, 4.9921, 3160296, 10223.8000, 0, 5000, 4.9921, 10223.8000
2018-11-27 06:50:21:231, 0, 1568.2856, 5.0325, 3211849, 10306.4774, 0, 5002, 5.0325, 10306.4774
2018-11-27 06:50:26:232, 0, 1596.7881, 5.6993, 3270222, 11672.2655, 0, 5001, 5.6993, 11672.2655
2018-11-27 06:50:31:234, 0, 1623.8525, 5.4107, 3325650, 11081.1675, 0, 5002, 5.4107, 11081.1675
2018-11-27 06:50:36:236, 0, 1649.3428, 5.0960, 3377854, 10436.6253, 0, 5002, 5.0960, 10436.6253
2018-11-27 06:50:41:238, 0, 1674.4849, 5.0264, 3429345, 10294.0824, 0, 5002, 5.0264, 10294.0824
2018-11-27 06:50:46:239, 0, 1699.7783, 5.0577, 3481146, 10358.1284, 0, 5001, 5.0577, 10358.1284
2018-11-27 06:50:51:242, 0, 1725.2080, 5.0829, 3533226, 10409.7541, 0, 5003, 5.0829, 10409.7541
2018-11-27 06:50:56:243, 0, 1750.3955, 5.0365, 3584810, 10314.7371, 0, 5001, 5.0365, 10314.7371
2018-11-27 06:51:01:246, 0, 1775.7495, 5.0678, 3636735, 10378.7727, 0, 5003, 5.0678, 10378.7727
2018-11-27 06:51:06:248, 0, 1800.6191, 4.9719, 3687668, 10182.5270, 0, 5002, 4.9719, 10182.5270
2018-11-27 06:51:11:249, 0, 1827.3506, 5.3452, 3742414, 10947.0106, 0, 5001, 5.3452, 10947.0106
