procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  10843     59  19448    0    0     0    41    3    2  0  0 100  0  0 2018-11-24 21:00:11
 0  0      0  10844     59  19448    0    0     0     0  294  494  0  0 100  0  0 2018-11-24 21:00:12
 0  0      0  10844     59  19448    0    0     0     0  211  404  0  0 100  0  0 2018-11-24 21:00:13
 0  1      0  10844     59  19448    0    0     0    68  205  414  0  0 100  0  0 2018-11-24 21:00:14
 0  0      0  10832     59  19461    0    0     0    68 2781 2147  2  1 98  0  0 2018-11-24 21:00:15
 0  0      0  10827     59  19466    0    0     0     0 2357 1756  1  1 98  0  0 2018-11-24 21:00:16
 0  0      0  10822     59  19471    0    0     0     0 2716 1900  1  1 98  0  0 2018-11-24 21:00:17
 1  0      0  10818     59  19476    0    0     0     0 2646 1873  1  1 98  0  0 2018-11-24 21:00:18
 1  1      0  10813     59  19481    0    0     0    64 2956 1971  1  1 98  0  0 2018-11-24 21:00:19
 0  0      0  10808     59  19486    0    0     0     4 2835 1991  1  1 98  0  0 2018-11-24 21:00:20
 0  0      0  10803     59  19491    0    0     0     8 6885 2343  1  1 98  0  0 2018-11-24 21:00:21
 0  0      0  10798     59  19495    0    0     0     0 2649 1781  1  1 98  0  0 2018-11-24 21:00:22
 0  0      0  10793     59  19500    0    0     0     0 2659 1865  1  1 98  0  0 2018-11-24 21:00:23
 0  1      0  10789     59  19505    0    0     0    68 2728 1924  1  1 98  0  0 2018-11-24 21:00:24
 1  0      0  10784     59  19510    0    0     0     0 2782 1972  1  1 98  0  0 2018-11-24 21:00:25
 0  0      0  10779     59  19515    0    0     0 80964 1999 1678  1  1 89 10  0 2018-11-24 21:00:26
 0  0      0  10774     59  19520    0    0     0     0 2713 1842  1  1 98  0  0 2018-11-24 21:00:27
 1  0      0  10769     59  19525    0    0     0   256 2936 1996  1  1 98  0  0 2018-11-24 21:00:28
 2  0      0  10765     59  19530    0    0     0  2764 2836 2034  1  1 97  1  0 2018-11-24 21:00:29
 0  0      0  10760     59  19535    0    0     0     0 2757 1958  1  1 98  0  0 2018-11-24 21:00:30
