2018-12-12 20:22:19, id: test-202219-341, starting consumer #0
2018-12-12 20:22:19, id: test-202219-341, starting consumer #0, channel #0
2018-12-12 20:22:20, id: test-202219-341, time: 1.000s, received: 4660 msg/s
2018-12-12 20:22:21, id: test-202219-341, time: 2.000s, received: 7345 msg/s
2018-12-12 20:22:22, id: test-202219-341, time: 3.003s, received: 7341 msg/s
2018-12-12 20:22:23, id: test-202219-341, time: 4.003s, received: 7347 msg/s
2018-12-12 20:22:24, id: test-202219-341, time: 5.003s, received: 7711 msg/s
2018-12-12 20:22:25, id: test-202219-341, time: 6.003s, received: 8037 msg/s
2018-12-12 20:22:26, id: test-202219-341, time: 7.003s, received: 8086 msg/s
2018-12-12 20:22:27, id: test-202219-341, time: 8.003s, received: 7901 msg/s
2018-12-12 20:22:28, id: test-202219-341, time: 9.003s, received: 7868 msg/s
2018-12-12 20:22:29, id: test-202219-341, time: 10.003s, received: 7290 msg/s
2018-12-12 20:22:30, id: test-202219-341, time: 11.004s, received: 7128 msg/s
2018-12-12 20:22:31, id: test-202219-341, time: 12.004s, received: 7197 msg/s
2018-12-12 20:22:32, id: test-202219-341, time: 13.006s, received: 7276 msg/s
2018-12-12 20:22:33, id: test-202219-341, time: 14.006s, received: 7084 msg/s
2018-12-12 20:22:34, id: test-202219-341, time: 15.006s, received: 7320 msg/s
2018-12-12 20:22:35, id: test-202219-341, time: 16.006s, received: 7484 msg/s
2018-12-12 20:22:36, id: test-202219-341, time: 17.006s, received: 7252 msg/s
2018-12-12 20:22:37, id: test-202219-341, time: 18.006s, received: 7460 msg/s
2018-12-12 20:22:38, id: test-202219-341, time: 19.008s, received: 7537 msg/s
2018-12-12 20:22:39, id: test-202219-341, time: 20.010s, received: 7089 msg/s
2018-12-12 20:22:40, id: test-202219-341, time: 21.010s, received: 7405 msg/s
2018-12-12 20:22:41, id: test-202219-341, time: 22.010s, received: 7329 msg/s
2018-12-12 20:22:42, id: test-202219-341, time: 23.010s, received: 7041 msg/s
2018-12-12 20:22:43, id: test-202219-341, time: 24.010s, received: 7268 msg/s
2018-12-12 20:22:44, id: test-202219-341, time: 25.010s, received: 8346 msg/s
2018-12-12 20:22:45, id: test-202219-341, time: 26.010s, received: 8173 msg/s
2018-12-12 20:22:46, id: test-202219-341, time: 27.010s, received: 8146 msg/s
2018-12-12 20:22:47, id: test-202219-341, time: 28.010s, received: 8107 msg/s
2018-12-12 20:22:48, id: test-202219-341, time: 29.010s, received: 8095 msg/s
2018-12-12 20:22:49, id: test-202219-341, time: 30.010s, received: 8003 msg/s
2018-12-12 20:22:50, id: test-202219-341, time: 31.010s, received: 7996 msg/s
2018-12-12 20:22:51, id: test-202219-341, time: 32.026s, received: 7784 msg/s
2018-12-12 20:22:52, id: test-202219-341, time: 33.026s, received: 8477 msg/s
2018-12-12 20:22:53, id: test-202219-341, time: 34.028s, received: 7638 msg/s
2018-12-12 20:22:54, id: test-202219-341, time: 35.028s, received: 7425 msg/s
2018-12-12 20:22:55, id: test-202219-341, time: 36.028s, received: 7336 msg/s
2018-12-12 20:22:56, id: test-202219-341, time: 37.028s, received: 7106 msg/s
2018-12-12 20:22:57, id: test-202219-341, time: 38.028s, received: 7286 msg/s
2018-12-12 20:22:58, id: test-202219-341, time: 39.028s, received: 7274 msg/s
2018-12-12 20:22:59, id: test-202219-341, time: 40.028s, received: 7214 msg/s
2018-12-12 20:23:00, id: test-202219-341, time: 41.030s, received: 7171 msg/s
2018-12-12 20:23:01, id: test-202219-341, time: 42.030s, received: 7291 msg/s
2018-12-12 20:23:02, id: test-202219-341, time: 43.031s, received: 7361 msg/s
2018-12-12 20:23:03, id: test-202219-341, time: 44.031s, received: 7344 msg/s
2018-12-12 20:23:04, id: test-202219-341, time: 45.032s, received: 7326 msg/s
2018-12-12 20:23:05, id: test-202219-341, time: 46.032s, received: 7112 msg/s
2018-12-12 20:23:06, id: test-202219-341, time: 47.032s, received: 7185 msg/s
2018-12-12 20:23:07, id: test-202219-341, time: 48.032s, received: 7371 msg/s
2018-12-12 20:23:08, id: test-202219-341, time: 49.032s, received: 7976 msg/s
2018-12-12 20:23:09, id: test-202219-341, time: 50.032s, received: 8107 msg/s
2018-12-12 20:23:10, id: test-202219-341, time: 51.032s, received: 8139 msg/s
2018-12-12 20:23:11, id: test-202219-341, time: 52.032s, received: 8161 msg/s
2018-12-12 20:23:12, id: test-202219-341, time: 53.032s, received: 7242 msg/s
2018-12-12 20:23:13, id: test-202219-341, time: 54.032s, received: 7405 msg/s
2018-12-12 20:23:14, id: test-202219-341, time: 55.034s, received: 7191 msg/s
2018-12-12 20:23:15, id: test-202219-341, time: 56.034s, received: 7537 msg/s
2018-12-12 20:23:16, id: test-202219-341, time: 57.035s, received: 7447 msg/s
2018-12-12 20:23:17, id: test-202219-341, time: 58.035s, received: 7251 msg/s
2018-12-12 20:23:18, id: test-202219-341, time: 59.035s, received: 7293 msg/s
2018-12-12 20:23:19, id: test-202219-341, time: 60.035s, received: 7996 msg/s
2018-12-12 20:23:20, id: test-202219-341, time: 61.035s, received: 8311 msg/s
2018-12-12 20:23:21, id: test-202219-341, time: 62.035s, received: 8170 msg/s
2018-12-12 20:23:22, id: test-202219-341, time: 63.035s, received: 8119 msg/s
2018-12-12 20:23:23, id: test-202219-341, time: 64.035s, received: 8079 msg/s
2018-12-12 20:23:24, id: test-202219-341, time: 65.036s, received: 7403 msg/s
2018-12-12 20:23:25, id: test-202219-341, time: 66.036s, received: 7364 msg/s
2018-12-12 20:23:26, id: test-202219-341, time: 67.036s, received: 7304 msg/s
2018-12-12 20:23:27, id: test-202219-341, time: 68.040s, received: 7264 msg/s
2018-12-12 20:23:28, id: test-202219-341, time: 69.040s, received: 6915 msg/s
2018-12-12 20:23:29, id: test-202219-341, time: 70.040s, received: 7306 msg/s
2018-12-12 20:23:30, id: test-202219-341, time: 71.042s, received: 7248 msg/s
2018-12-12 20:23:31, id: test-202219-341, time: 72.042s, received: 7104 msg/s
2018-12-12 20:23:32, id: test-202219-341, time: 73.042s, received: 7234 msg/s
2018-12-12 20:23:33, id: test-202219-341, time: 74.042s, received: 7075 msg/s
2018-12-12 20:23:34, id: test-202219-341, time: 75.042s, received: 7194 msg/s
2018-12-12 20:23:35, id: test-202219-341, time: 76.042s, received: 7288 msg/s
2018-12-12 20:23:36, id: test-202219-341, time: 77.043s, received: 7111 msg/s
2018-12-12 20:23:37, id: test-202219-341, time: 78.043s, received: 7203 msg/s
2018-12-12 20:23:38, id: test-202219-341, time: 79.043s, received: 7261 msg/s
2018-12-12 20:23:39, id: test-202219-341, time: 80.043s, received: 7343 msg/s
2018-12-12 20:23:40, id: test-202219-341, time: 81.043s, received: 7130 msg/s
2018-12-12 20:23:41, id: test-202219-341, time: 82.043s, received: 7473 msg/s
2018-12-12 20:23:42, id: test-202219-341, time: 83.043s, received: 7320 msg/s
2018-12-12 20:23:43, id: test-202219-341, time: 84.043s, received: 6933 msg/s
2018-12-12 20:23:44, id: test-202219-341, time: 85.043s, received: 7094 msg/s
2018-12-12 20:23:45, id: test-202219-341, time: 86.043s, received: 7444 msg/s
2018-12-12 20:23:46, id: test-202219-341, time: 87.043s, received: 7253 msg/s
2018-12-12 20:23:47, id: test-202219-341, time: 88.043s, received: 7230 msg/s
2018-12-12 20:23:48, id: test-202219-341, time: 89.043s, received: 7326 msg/s
2018-12-12 20:23:49, id: test-202219-341, time: 90.043s, received: 7227 msg/s
2018-12-12 20:23:50, id: test-202219-341, time: 91.043s, received: 7368 msg/s
2018-12-12 20:23:51, id: test-202219-341, time: 92.043s, received: 7299 msg/s
2018-12-12 20:23:52, id: test-202219-341, time: 93.043s, received: 7225 msg/s
2018-12-12 20:23:53, id: test-202219-341, time: 94.043s, received: 7295 msg/s
2018-12-12 20:23:54, id: test-202219-341, time: 95.044s, received: 7359 msg/s
2018-12-12 20:23:55, id: test-202219-341, time: 96.044s, received: 7107 msg/s
2018-12-12 20:23:56, id: test-202219-341, time: 97.044s, received: 7384 msg/s
2018-12-12 20:23:57, id: test-202219-341, time: 98.044s, received: 7363 msg/s
2018-12-12 20:23:58, id: test-202219-341, time: 99.044s, received: 7223 msg/s
2018-12-12 20:23:59, id: test-202219-341, time: 100.044s, received: 7954 msg/s
2018-12-12 20:24:00, id: test-202219-341, time: 101.044s, received: 8343 msg/s
2018-12-12 20:24:01, id: test-202219-341, time: 102.044s, received: 7605 msg/s
2018-12-12 20:24:02, id: test-202219-341, time: 103.044s, received: 8141 msg/s
2018-12-12 20:24:03, id: test-202219-341, time: 104.044s, received: 8218 msg/s
2018-12-12 20:24:04, id: test-202219-341, time: 105.044s, received: 8094 msg/s
2018-12-12 20:24:05, id: test-202219-341, time: 106.044s, received: 8278 msg/s
2018-12-12 20:24:06, id: test-202219-341, time: 107.046s, received: 7828 msg/s
2018-12-12 20:24:07, id: test-202219-341, time: 108.047s, received: 7262 msg/s
2018-12-12 20:24:08, id: test-202219-341, time: 109.047s, received: 7280 msg/s
