2018-12-19 18:45:33, id: test-184533-372, starting consumer #0
2018-12-19 18:45:33, id: test-184533-372, starting consumer #0, channel #0
2018-12-19 18:45:34, id: test-184533-372, time: 1.211s, received: 0.83 msg/s
2018-12-19 18:45:35, id: test-184533-372, time: 2.218s, received: 14697 msg/s
2018-12-19 18:45:36, id: test-184533-372, time: 3.218s, received: 13269 msg/s
2018-12-19 18:45:37, id: test-184533-372, time: 4.218s, received: 14417 msg/s
2018-12-19 18:45:38, id: test-184533-372, time: 5.218s, received: 14106 msg/s
2018-12-19 18:45:39, id: test-184533-372, time: 6.218s, received: 13869 msg/s
2018-12-19 18:45:40, id: test-184533-372, time: 7.218s, received: 14139 msg/s
2018-12-19 18:45:41, id: test-184533-372, time: 8.218s, received: 13518 msg/s
2018-12-19 18:45:42, id: test-184533-372, time: 9.218s, received: 13678 msg/s
2018-12-19 18:45:43, id: test-184533-372, time: 10.218s, received: 13756 msg/s
2018-12-19 18:45:44, id: test-184533-372, time: 11.218s, received: 14213 msg/s
2018-12-19 18:45:45, id: test-184533-372, time: 12.222s, received: 13381 msg/s
2018-12-19 18:45:46, id: test-184533-372, time: 13.222s, received: 13992 msg/s
2018-12-19 18:45:47, id: test-184533-372, time: 14.222s, received: 14216 msg/s
2018-12-19 18:45:48, id: test-184533-372, time: 15.222s, received: 14080 msg/s
2018-12-19 18:45:49, id: test-184533-372, time: 16.222s, received: 13579 msg/s
2018-12-19 18:45:50, id: test-184533-372, time: 17.222s, received: 13475 msg/s
2018-12-19 18:45:51, id: test-184533-372, time: 18.222s, received: 14018 msg/s
2018-12-19 18:45:52, id: test-184533-372, time: 19.222s, received: 13598 msg/s
2018-12-19 18:45:53, id: test-184533-372, time: 20.222s, received: 14209 msg/s
2018-12-19 18:45:54, id: test-184533-372, time: 21.222s, received: 13899 msg/s
2018-12-19 18:45:55, id: test-184533-372, time: 22.222s, received: 14540 msg/s
2018-12-19 18:45:56, id: test-184533-372, time: 23.222s, received: 13895 msg/s
2018-12-19 18:45:57, id: test-184533-372, time: 24.222s, received: 14034 msg/s
2018-12-19 18:45:58, id: test-184533-372, time: 25.222s, received: 12462 msg/s
2018-12-19 18:45:59, id: test-184533-372, time: 26.222s, received: 13735 msg/s
2018-12-19 18:46:00, id: test-184533-372, time: 27.222s, received: 13631 msg/s
2018-12-19 18:46:01, id: test-184533-372, time: 28.222s, received: 13611 msg/s
2018-12-19 18:46:02, id: test-184533-372, time: 29.222s, received: 13965 msg/s
2018-12-19 18:46:03, id: test-184533-372, time: 30.229s, received: 13427 msg/s
2018-12-19 18:46:04, id: test-184533-372, time: 31.229s, received: 13926 msg/s
2018-12-19 18:46:05, id: test-184533-372, time: 32.235s, received: 14129 msg/s
2018-12-19 18:46:06, id: test-184533-372, time: 33.235s, received: 14025 msg/s
2018-12-19 18:46:07, id: test-184533-372, time: 34.235s, received: 13682 msg/s
2018-12-19 18:46:08, id: test-184533-372, time: 35.235s, received: 13689 msg/s
2018-12-19 18:46:09, id: test-184533-372, time: 36.235s, received: 13949 msg/s
2018-12-19 18:46:10, id: test-184533-372, time: 37.235s, received: 14279 msg/s
2018-12-19 18:46:11, id: test-184533-372, time: 38.235s, received: 13937 msg/s
2018-12-19 18:46:12, id: test-184533-372, time: 39.238s, received: 13997 msg/s
2018-12-19 18:46:13, id: test-184533-372, time: 40.238s, received: 13629 msg/s
2018-12-19 18:46:14, id: test-184533-372, time: 41.238s, received: 13766 msg/s
2018-12-19 18:46:15, id: test-184533-372, time: 42.238s, received: 13482 msg/s
2018-12-19 18:46:16, id: test-184533-372, time: 43.238s, received: 14036 msg/s
2018-12-19 18:46:17, id: test-184533-372, time: 44.238s, received: 14317 msg/s
2018-12-19 18:46:18, id: test-184533-372, time: 45.238s, received: 13504 msg/s
2018-12-19 18:46:19, id: test-184533-372, time: 46.238s, received: 14190 msg/s
2018-12-19 18:46:20, id: test-184533-372, time: 47.238s, received: 14380 msg/s
2018-12-19 18:46:21, id: test-184533-372, time: 48.238s, received: 13233 msg/s
2018-12-19 18:46:22, id: test-184533-372, time: 49.238s, received: 13682 msg/s
2018-12-19 18:46:23, id: test-184533-372, time: 50.238s, received: 13408 msg/s
2018-12-19 18:46:24, id: test-184533-372, time: 51.238s, received: 13804 msg/s
2018-12-19 18:46:25, id: test-184533-372, time: 52.238s, received: 13744 msg/s
2018-12-19 18:46:26, id: test-184533-372, time: 53.238s, received: 13856 msg/s
2018-12-19 18:46:27, id: test-184533-372, time: 54.238s, received: 13489 msg/s
2018-12-19 18:46:28, id: test-184533-372, time: 55.238s, received: 13774 msg/s
2018-12-19 18:46:29, id: test-184533-372, time: 56.238s, received: 13540 msg/s
2018-12-19 18:46:30, id: test-184533-372, time: 57.238s, received: 13871 msg/s
2018-12-19 18:46:31, id: test-184533-372, time: 58.238s, received: 14418 msg/s
2018-12-19 18:46:32, id: test-184533-372, time: 59.238s, received: 14282 msg/s
2018-12-19 18:46:33, id: test-184533-372, time: 60.238s, received: 13184 msg/s
2018-12-19 18:46:34, id: test-184533-372, time: 61.238s, received: 13727 msg/s
2018-12-19 18:46:35, id: test-184533-372, time: 62.238s, received: 13810 msg/s
2018-12-19 18:46:36, id: test-184533-372, time: 63.238s, received: 13666 msg/s
2018-12-19 18:46:37, id: test-184533-372, time: 64.238s, received: 13469 msg/s
2018-12-19 18:46:38, id: test-184533-372, time: 65.238s, received: 13914 msg/s
2018-12-19 18:46:39, id: test-184533-372, time: 66.238s, received: 13791 msg/s
2018-12-19 18:46:40, id: test-184533-372, time: 67.238s, received: 13272 msg/s
2018-12-19 18:46:41, id: test-184533-372, time: 68.238s, received: 14119 msg/s
2018-12-19 18:46:42, id: test-184533-372, time: 69.238s, received: 13773 msg/s
2018-12-19 18:46:43, id: test-184533-372, time: 70.238s, received: 13650 msg/s
2018-12-19 18:46:44, id: test-184533-372, time: 71.238s, received: 13910 msg/s
