2018-12-21 17:43:46, id: test-174346-517, starting producer #0
2018-12-21 17:43:46, id: test-174346-517, starting producer #0, channel #0
2018-12-21 17:43:47, id: test-174346-517, time: 1.000s, sent: 1591 msg/s
2018-12-21 17:43:48, id: test-174346-517, time: 2.001s, sent: 1951 msg/s
2018-12-21 17:43:49, id: test-174346-517, time: 3.001s, sent: 1955 msg/s
2018-12-21 17:43:50, id: test-174346-517, time: 4.001s, sent: 1953 msg/s
2018-12-21 17:43:51, id: test-174346-517, time: 5.001s, sent: 1951 msg/s
2018-12-21 17:43:52, id: test-174346-517, time: 6.001s, sent: 1955 msg/s
2018-12-21 17:43:53, id: test-174346-517, time: 7.001s, sent: 1953 msg/s
2018-12-21 17:43:54, id: test-174346-517, time: 8.001s, sent: 1953 msg/s
2018-12-21 17:43:55, id: test-174346-517, time: 9.001s, sent: 1953 msg/s
2018-12-21 17:43:56, id: test-174346-517, time: 10.001s, sent: 1953 msg/s
2018-12-21 17:43:57, id: test-174346-517, time: 11.001s, sent: 1953 msg/s
2018-12-21 17:43:58, id: test-174346-517, time: 12.001s, sent: 1953 msg/s
2018-12-21 17:43:59, id: test-174346-517, time: 13.002s, sent: 1951 msg/s
2018-12-21 17:44:00, id: test-174346-517, time: 14.003s, sent: 1953 msg/s
2018-12-21 17:44:01, id: test-174346-517, time: 15.003s, sent: 1953 msg/s
2018-12-21 17:44:02, id: test-174346-517, time: 16.003s, sent: 1955 msg/s
2018-12-21 17:44:03, id: test-174346-517, time: 17.003s, sent: 1953 msg/s
2018-12-21 17:44:04, id: test-174346-517, time: 18.003s, sent: 1953 msg/s
2018-12-21 17:44:05, id: test-174346-517, time: 19.003s, sent: 1951 msg/s
2018-12-21 17:44:06, id: test-174346-517, time: 20.003s, sent: 1955 msg/s
2018-12-21 17:44:07, id: test-174346-517, time: 21.003s, sent: 1953 msg/s
2018-12-21 17:44:08, id: test-174346-517, time: 22.003s, sent: 1953 msg/s
2018-12-21 17:44:09, id: test-174346-517, time: 23.003s, sent: 1953 msg/s
2018-12-21 17:44:10, id: test-174346-517, time: 24.003s, sent: 1953 msg/s
2018-12-21 17:44:11, id: test-174346-517, time: 25.003s, sent: 1951 msg/s
2018-12-21 17:44:12, id: test-174346-517, time: 26.003s, sent: 1955 msg/s
2018-12-21 17:44:13, id: test-174346-517, time: 27.003s, sent: 1953 msg/s
2018-12-21 17:44:14, id: test-174346-517, time: 28.003s, sent: 1953 msg/s
2018-12-21 17:44:15, id: test-174346-517, time: 29.003s, sent: 1951 msg/s
2018-12-21 17:44:16, id: test-174346-517, time: 30.003s, sent: 1955 msg/s
2018-12-21 17:44:17, id: test-174346-517, time: 31.003s, sent: 1953 msg/s
2018-12-21 17:44:18, id: test-174346-517, time: 32.003s, sent: 1953 msg/s
2018-12-21 17:44:19, id: test-174346-517, time: 33.003s, sent: 1953 msg/s
2018-12-21 17:44:20, id: test-174346-517, time: 34.003s, sent: 1953 msg/s
2018-12-21 17:44:21, id: test-174346-517, time: 35.003s, sent: 1953 msg/s
2018-12-21 17:44:22, id: test-174346-517, time: 36.003s, sent: 1953 msg/s
2018-12-21 17:44:23, id: test-174346-517, time: 37.003s, sent: 1953 msg/s
2018-12-21 17:44:24, id: test-174346-517, time: 38.003s, sent: 1953 msg/s
2018-12-21 17:44:25, id: test-174346-517, time: 39.003s, sent: 1953 msg/s
2018-12-21 17:44:26, id: test-174346-517, time: 40.003s, sent: 1951 msg/s
2018-12-21 17:44:27, id: test-174346-517, time: 41.004s, sent: 1953 msg/s
2018-12-21 17:44:28, id: test-174346-517, time: 42.004s, sent: 1954 msg/s
2018-12-21 17:44:29, id: test-174346-517, time: 43.004s, sent: 1953 msg/s
