2018-12-20 00:53:03, id: test-005146-740, time: 77.043s, received: 5893 msg/s
2018-12-20 00:53:04, id: test-005146-740, time: 78.043s, received: 5859 msg/s
2018-12-20 00:53:05, id: test-005146-740, time: 79.043s, received: 5859 msg/s
2018-12-20 00:53:06, id: test-005146-740, time: 80.043s, received: 5859 msg/s
2018-12-20 00:53:07, id: test-005146-740, time: 81.052s, received: 5782 msg/s
2018-12-20 00:53:08, id: test-005146-740, time: 82.052s, received: 5935 msg/s
2018-12-20 00:53:09, id: test-005146-740, time: 83.052s, received: 5854 msg/s
2018-12-20 00:53:10, id: test-005146-740, time: 84.052s, received: 5864 msg/s
2018-12-20 00:53:11, id: test-005146-740, time: 85.052s, received: 5859 msg/s
2018-12-20 00:53:12, id: test-005146-740, time: 86.052s, received: 5859 msg/s
2018-12-20 00:53:13, id: test-005146-740, time: 87.052s, received: 5855 msg/s
2018-12-20 00:53:14, id: test-005146-740, time: 88.059s, received: 5803 msg/s
2018-12-20 00:53:15, id: test-005146-740, time: 89.059s, received: 5919 msg/s
2018-12-20 00:53:16, id: test-005146-740, time: 90.064s, received: 5778 msg/s
2018-12-20 00:53:17, id: test-005146-740, time: 91.064s, received: 5934 msg/s
2018-12-20 00:53:18, id: test-005146-740, time: 92.064s, received: 5862 msg/s
2018-12-20 00:53:19, id: test-005146-740, time: 93.064s, received: 5858 msg/s
2018-12-20 00:53:20, id: test-005146-740, time: 94.064s, received: 5864 msg/s
2018-12-20 00:53:21, id: test-005146-740, time: 95.064s, received: 5855 msg/s
2018-12-20 00:53:22, id: test-005146-740, time: 96.064s, received: 5863 msg/s
2018-12-20 00:53:23, id: test-005146-740, time: 97.064s, received: 5858 msg/s
2018-12-20 00:53:24, id: test-005146-740, time: 98.064s, received: 5860 msg/s
2018-12-20 00:53:25, id: test-005146-740, time: 99.064s, received: 5859 msg/s
2018-12-20 00:53:26, id: test-005146-740, time: 100.064s, received: 5859 msg/s
2018-12-20 00:53:27, id: test-005146-740, time: 101.064s, received: 5859 msg/s
2018-12-20 00:53:28, id: test-005146-740, time: 102.072s, received: 5777 msg/s
2018-12-20 00:53:29, id: test-005146-740, time: 103.072s, received: 5941 msg/s
2018-12-20 00:53:30, id: test-005146-740, time: 104.072s, received: 5854 msg/s
2018-12-20 00:53:31, id: test-005146-740, time: 105.072s, received: 5864 msg/s
2018-12-20 00:53:32, id: test-005146-740, time: 106.072s, received: 5797 msg/s
2018-12-20 00:53:33, id: test-005146-740, time: 107.072s, received: 5921 msg/s
2018-12-20 00:53:34, id: test-005146-740, time: 108.072s, received: 5854 msg/s
2018-12-20 00:53:35, id: test-005146-740, time: 109.072s, received: 5864 msg/s
2018-12-20 00:53:36, id: test-005146-740, time: 110.072s, received: 5853 msg/s
2018-12-20 00:53:37, id: test-005146-740, time: 111.072s, received: 5865 msg/s
2018-12-20 00:53:38, id: test-005146-740, time: 112.080s, received: 5782 msg/s
2018-12-20 00:53:39, id: test-005146-740, time: 113.080s, received: 5935 msg/s
2018-12-20 00:53:40, id: test-005146-740, time: 114.080s, received: 5857 msg/s
2018-12-20 00:53:41, id: test-005146-740, time: 115.080s, received: 5861 msg/s
2018-12-20 00:53:42, id: test-005146-740, time: 116.080s, received: 5858 msg/s
2018-12-20 00:53:43, id: test-005146-740, time: 117.080s, received: 5860 msg/s
2018-12-20 00:53:44, id: test-005146-740, time: 118.080s, received: 5859 msg/s
2018-12-20 00:53:45, id: test-005146-740, time: 119.081s, received: 5853 msg/s
2018-12-20 00:53:46, id: test-005146-740, time: 120.087s, received: 5813 msg/s
2018-12-20 00:53:47, id: test-005146-740, time: 121.087s, received: 5911 msg/s
2018-12-20 00:53:48, id: test-005146-740, time: 122.087s, received: 5859 msg/s
2018-12-20 00:53:49, id: test-005146-740, time: 123.087s, received: 5859 msg/s
2018-12-20 00:53:50, id: test-005146-740, time: 124.087s, received: 5859 msg/s
2018-12-20 00:53:51, id: test-005146-740, time: 125.087s, received: 5857 msg/s
2018-12-20 00:53:52, id: test-005146-740, time: 126.087s, received: 5856 msg/s
2018-12-20 00:53:53, id: test-005146-740, time: 127.087s, received: 5862 msg/s
2018-12-20 00:53:54, id: test-005146-740, time: 128.087s, received: 5861 msg/s
2018-12-20 00:53:55, id: test-005146-740, time: 129.087s, received: 5859 msg/s
2018-12-20 00:53:56, id: test-005146-740, time: 130.087s, received: 5859 msg/s
2018-12-20 00:53:57, id: test-005146-740, time: 131.087s, received: 5858 msg/s
2018-12-20 00:53:58, id: test-005146-740, time: 132.087s, received: 5857 msg/s
2018-12-20 00:53:59, id: test-005146-740, time: 133.087s, received: 5862 msg/s
2018-12-20 00:54:00, id: test-005146-740, time: 134.087s, received: 5859 msg/s
2018-12-20 00:54:01, id: test-005146-740, time: 135.087s, received: 5858 msg/s
2018-12-20 00:54:02, id: test-005146-740, time: 136.087s, received: 5860 msg/s
2018-12-20 00:54:03, id: test-005146-740, time: 137.087s, received: 5857 msg/s
2018-12-20 00:54:04, id: test-005146-740, time: 138.087s, received: 5861 msg/s
2018-12-20 00:54:05, id: test-005146-740, time: 139.087s, received: 5858 msg/s
2018-12-20 00:54:06, id: test-005146-740, time: 140.087s, received: 5860 msg/s
2018-12-20 00:54:07, id: test-005146-740, time: 141.087s, received: 5854 msg/s
2018-12-20 00:54:08, id: test-005146-740, time: 142.087s, received: 5861 msg/s
2018-12-20 00:54:09, id: test-005146-740, time: 143.087s, received: 5862 msg/s
2018-12-20 00:54:10, id: test-005146-740, time: 144.087s, received: 5859 msg/s
2018-12-20 00:54:11, id: test-005146-740, time: 145.091s, received: 5777 msg/s
2018-12-20 00:54:12, id: test-005146-740, time: 146.091s, received: 5941 msg/s
2018-12-20 00:54:13, id: test-005146-740, time: 147.091s, received: 5859 msg/s
