time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-25 02:50:19:271, 0, 74.9272, 14.9854, 153451, 30690.2000, 18, 4982, 15.0396, 30801.0839
2018-11-25 02:50:24:271, 0, 136.2007, 12.2547, 278939, 25097.6000, 0, 5000, 12.2547, 25097.6000
2018-11-25 02:50:29:271, 0, 231.7437, 19.1086, 474611, 39134.4000, 0, 5000, 19.1086, 39134.4000
2018-11-25 02:50:34:271, 0, 318.0684, 17.2649, 651404, 35358.6000, 0, 5000, 17.2649, 35358.6000
2018-11-25 02:50:39:271, 0, 408.9795, 18.1822, 837590, 37237.2000, 0, 5000, 18.1822, 37237.2000
2018-11-25 02:50:44:274, 0, 500.7988, 18.3529, 1025636, 37586.6480, 0, 5003, 18.3529, 37586.6480
2018-11-25 02:50:49:274, 0, 590.5898, 17.9582, 1209528, 36778.4000, 0, 5000, 17.9582, 36778.4000
2018-11-25 02:50:54:274, 0, 682.7422, 18.4305, 1398256, 37745.6000, 0, 5000, 18.4305, 37745.6000
2018-11-25 02:50:59:274, 0, 775.1216, 18.4759, 1587449, 37838.6000, 0, 5000, 18.4759, 37838.6000
2018-11-25 02:51:04:274, 0, 868.2124, 18.6182, 1778099, 38130.0000, 0, 5000, 18.6182, 38130.0000
2018-11-25 02:51:09:274, 0, 959.5625, 18.2700, 1965184, 37417.0000, 0, 5000, 18.2700, 37417.0000
2018-11-25 02:51:14:274, 0, 1023.8481, 12.8571, 2096841, 26331.4000, 0, 5000, 12.8571, 26331.4000
2018-11-25 02:51:19:274, 0, 1115.6372, 18.3578, 2284825, 37596.8000, 0, 5000, 18.3578, 37596.8000
2018-11-25 02:51:24:274, 0, 1208.6221, 18.5970, 2475258, 38086.6000, 0, 5000, 18.5970, 38086.6000
2018-11-25 02:51:29:274, 0, 1302.4546, 18.7665, 2667427, 38433.8000, 0, 5000, 18.7665, 38433.8000
2018-11-25 02:51:34:275, 0, 1394.6523, 18.4359, 2856248, 37756.6487, 0, 5001, 18.4359, 37756.6487
2018-11-25 02:51:39:275, 0, 1486.8350, 18.4365, 3045038, 37758.0000, 0, 5000, 18.4365, 37758.0000
2018-11-25 02:51:44:275, 0, 1580.3496, 18.7029, 3236556, 38303.6000, 0, 5000, 18.7029, 38303.6000
2018-11-25 02:51:49:275, 0, 1673.0771, 18.5455, 3426462, 37981.2000, 0, 5000, 18.5455, 37981.2000
2018-11-25 02:51:54:275, 0, 1765.6230, 18.5092, 3615996, 37906.8000, 0, 5000, 18.5092, 37906.8000
2018-11-25 02:51:59:275, 0, 1858.9561, 18.6666, 3807142, 38229.2000, 0, 5000, 18.6666, 38229.2000
2018-11-25 02:52:04:275, 0, 1951.1841, 18.4456, 3996025, 37776.6000, 0, 5000, 18.4456, 37776.6000
2018-11-25 02:52:09:275, 0, 2042.7461, 18.3124, 4183544, 37503.8000, 0, 5000, 18.3124, 37503.8000
2018-11-25 02:52:14:275, 0, 2134.1113, 18.2730, 4370660, 37423.2000, 0, 5000, 18.2730, 37423.2000
2018-11-25 02:52:19:275, 0, 2226.8086, 18.5395, 4560504, 37968.8000, 0, 5000, 18.5395, 37968.8000
2018-11-25 02:52:24:275, 0, 2319.5664, 18.5516, 4750472, 37993.6000, 0, 5000, 18.5516, 37993.6000
2018-11-25 02:52:29:275, 0, 2411.4160, 18.3699, 4938580, 37621.6000, 0, 5000, 18.3699, 37621.6000
2018-11-25 02:52:34:275, 0, 2504.4312, 18.6030, 5129075, 38099.0000, 0, 5000, 18.6030, 38099.0000
2018-11-25 02:52:39:275, 0, 2595.4028, 18.1943, 5315385, 37262.0000, 0, 5000, 18.1943, 37262.0000
2018-11-25 02:52:44:275, 0, 2687.1616, 18.3518, 5503307, 37584.4000, 0, 5000, 18.3518, 37584.4000
2018-11-25 02:52:49:275, 0, 2779.9497, 18.5576, 5693337, 38006.0000, 0, 5000, 18.5576, 38006.0000
2018-11-25 02:52:54:275, 0, 2873.1465, 18.6394, 5884204, 38173.4000, 0, 5000, 18.6394, 38173.4000
2018-11-25 02:52:59:275, 0, 2966.9185, 18.7544, 6076249, 38409.0000, 0, 5000, 18.7544, 38409.0000
2018-11-25 02:53:04:275, 0, 3059.4038, 18.4971, 6265659, 37882.0000, 0, 5000, 18.4971, 37882.0000
2018-11-25 02:53:09:275, 0, 3151.6621, 18.4517, 6454604, 37789.0000, 0, 5000, 18.4517, 37789.0000
2018-11-25 02:53:14:275, 0, 3243.6479, 18.3972, 6642991, 37677.4000, 0, 5000, 18.3972, 37677.4000
2018-11-25 02:53:19:275, 0, 3335.3765, 18.3457, 6830851, 37572.0000, 0, 5000, 18.3457, 37572.0000
2018-11-25 02:53:24:275, 0, 3427.0747, 18.3396, 7018649, 37559.6000, 0, 5000, 18.3396, 37559.6000
2018-11-25 02:53:29:275, 0, 3524.6006, 19.5052, 7218382, 39946.6000, 0, 5000, 19.5052, 39946.6000
2018-11-25 02:53:34:275, 0, 3611.7881, 17.4375, 7396942, 35712.0000, 0, 5000, 17.4375, 35712.0000
2018-11-25 02:53:39:275, 0, 3704.2432, 18.4910, 7586290, 37869.6000, 0, 5000, 18.4910, 37869.6000
2018-11-25 02:53:44:275, 0, 3796.5469, 18.4607, 7775328, 37807.6000, 0, 5000, 18.4607, 37807.6000
2018-11-25 02:53:49:275, 0, 3888.8960, 18.4698, 7964459, 37826.2000, 0, 5000, 18.4698, 37826.2000
2018-11-25 02:53:54:275, 0, 3980.5034, 18.3215, 8152071, 37522.4000, 0, 5000, 18.3215, 37522.4000
2018-11-25 02:53:59:275, 0, 4073.0342, 18.5062, 8341574, 37900.6000, 0, 5000, 18.5062, 37900.6000
2018-11-25 02:54:04:275, 0, 4164.9897, 18.3911, 8529899, 37665.0000, 0, 5000, 18.3911, 37665.0000
2018-11-25 02:54:09:275, 0, 4256.2793, 18.2579, 8716860, 37392.2000, 0, 5000, 18.2579, 37392.2000
2018-11-25 02:54:14:275, 0, 4348.5225, 18.4486, 8905774, 37782.8000, 0, 5000, 18.4486, 37782.8000
2018-11-25 02:54:19:275, 0, 4440.8564, 18.4668, 9094874, 37820.0000, 0, 5000, 18.4668, 37820.0000
2018-11-25 02:54:24:275, 0, 4533.9170, 18.6121, 9285462, 38117.6000, 0, 5000, 18.6121, 38117.6000
2018-11-25 02:54:29:275, 0, 4626.5840, 18.5334, 9475244, 37956.4000, 0, 5000, 18.5334, 37956.4000
2018-11-25 02:54:34:275, 0, 4720.0078, 18.6848, 9666576, 38266.4000, 0, 5000, 18.6848, 38266.4000
2018-11-25 02:54:39:275, 0, 4812.1904, 18.4365, 9855366, 37758.0000, 0, 5000, 18.4365, 37758.0000
2018-11-25 02:54:44:275, 0, 4904.9785, 18.5576, 10045396, 38006.0000, 0, 5000, 18.5576, 38006.0000
2018-11-25 02:54:49:275, 0, 5004.8506, 19.9744, 10249934, 40907.6000, 0, 5000, 19.9744, 40907.6000
2018-11-25 02:54:54:275, 0, 5092.3105, 17.4920, 10429052, 35823.6000, 0, 5000, 17.4920, 35823.6000
2018-11-25 02:54:59:275, 0, 5184.4023, 18.4184, 10617656, 37720.8000, 0, 5000, 18.4184, 37720.8000
2018-11-25 02:55:04:275, 0, 5275.9795, 18.3154, 10805206, 37510.0000, 0, 5000, 18.3154, 37510.0000
2018-11-25 02:55:09:275, 0, 5369.0098, 18.6061, 10995732, 38105.2000, 0, 5000, 18.6061, 38105.2000
