procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  27739     73   3584    0    0     0   108    0    1  2  1 97  0  0 2018-12-19 21:11:39
 0  1      0  27739     73   3584    0    0     0   484  286  372  0  0 98  1  0 2018-12-19 21:11:40
 0  0      0  27740     73   3584    0    0     0  1296  524  750  0  0 96  4  0 2018-12-19 21:11:41
 0  0      0  27740     73   3584    0    0     0     0   95  127  0  0 100  0  0 2018-12-19 21:11:42
 0  0      0  27741     73   3584    0    0     0     0   81  127  0  0 100  0  0 2018-12-19 21:11:43
 3  0      0  27742     73   3584    0    0     0     0 1180 1544  1  0 99  0  0 2018-12-19 21:11:44
 5  0      0  27727     73   3584    0    0     0     0 35367 47984 18  6 76  0  0 2018-12-19 21:11:45
 4  0      0  27728     73   3584    0    0     0     0 35982 48519 18  6 75  0  0 2018-12-19 21:11:46
 4  0      0  27730     73   3584    0    0     0     0 34731 48293 18  6 76  0  0 2018-12-19 21:11:47
 3  0      0  27729     73   3584    0    0     0     0 34649 48994 19  5 76  0  0 2018-12-19 21:11:48
 3  0      0  27728     73   3584    0    0     0     0 33286 47073 18  6 76  0  0 2018-12-19 21:11:49
 4  0      0  27730     73   3584    0    0     0     0 34604 47630 18  6 76  0  0 2018-12-19 21:11:50
 2  0      0  27732     73   3584    0    0     0     0 35380 49805 19  5 76  0  0 2018-12-19 21:11:51
 2  0      0  27733     73   3584    0    0     0     0 36565 46810 18  6 76  0  0 2018-12-19 21:11:52
 3  0      0  27729     73   3584    0    0     0     0 37401 48078 18  6 76  0  0 2018-12-19 21:11:53
 4  0      0  27730     73   3584    0    0     0     0 35640 48137 18  6 76  0  0 2018-12-19 21:11:54
 3  0      0  27729     73   3584    0    0     0     0 36080 49259 19  6 75  0  0 2018-12-19 21:11:55
 3  0      0  27730     73   3584    0    0     0     0 35670 48372 19  5 76  0  0 2018-12-19 21:11:56
 1  0      0  27730     73   3584    0    0     0     0 34967 48433 18  6 76  0  0 2018-12-19 21:11:57
 2  0      0  27731     73   3584    0    0     0     0 35873 48260 19  6 76  0  0 2018-12-19 21:11:58
 4  0      0  27731     73   3584    0    0     0     0 37673 50001 19  6 75  0  0 2018-12-19 21:11:59
 2  0      0  27732     73   3584    0    0     0     0 37510 48903 18  6 75  0  0 2018-12-19 21:12:00
 2  0      0  27732     73   3584    0    0     0     0 35629 48948 18  6 76  0  0 2018-12-19 21:12:01
 3  0      0  27729     73   3584    0    0     0     0 37370 49676 19  6 75  0  0 2018-12-19 21:12:02
 3  0      0  27731     73   3584    0    0     0     0 35909 49191 19  6 75  0  0 2018-12-19 21:12:03
 3  0      0  27731     73   3584    0    0     0  2392 37068 49531 19  5 75  0  0 2018-12-19 21:12:04
 2  0      0  27730     73   3584    0    0     0     0 36259 47651 19  5 76  0  0 2018-12-19 21:12:05
 3  0      0  27729     73   3584    0    0     0     0 34618 48575 18  6 76  0  0 2018-12-19 21:12:06
 3  0      0  27728     73   3584    0    0     0     0 36093 47260 18  6 76  0  0 2018-12-19 21:12:07
