2018-12-24 21:12:05, id: test-211205-330, starting producer #0
2018-12-24 21:12:05, id: test-211205-330, starting producer #0, channel #0
2018-12-24 21:12:06, id: test-211205-330, time: 1.043s, sent: 15007 msg/s
2018-12-24 21:12:07, id: test-211205-330, time: 2.107s, sent: 14021 msg/s
2018-12-24 21:12:08, id: test-211205-330, time: 3.180s, sent: 15334 msg/s
2018-12-24 21:12:09, id: test-211205-330, time: 4.215s, sent: 15156 msg/s
2018-12-24 21:12:10, id: test-211205-330, time: 5.299s, sent: 15178 msg/s
2018-12-24 21:12:11, id: test-211205-330, time: 6.363s, sent: 14950 msg/s
2018-12-24 21:12:12, id: test-211205-330, time: 7.461s, sent: 14785 msg/s
2018-12-24 21:12:13, id: test-211205-330, time: 8.479s, sent: 15408 msg/s
2018-12-24 21:12:14, id: test-211205-330, time: 9.510s, sent: 14683 msg/s
2018-12-24 21:12:15, id: test-211205-330, time: 10.549s, sent: 15203 msg/s
2018-12-24 21:12:16, id: test-211205-330, time: 11.565s, sent: 14899 msg/s
2018-12-24 21:12:17, id: test-211205-330, time: 12.582s, sent: 14884 msg/s
2018-12-24 21:12:19, id: test-211205-330, time: 13.684s, sent: 14832 msg/s
2018-12-24 21:12:20, id: test-211205-330, time: 14.727s, sent: 15355 msg/s
2018-12-24 21:12:21, id: test-211205-330, time: 15.796s, sent: 14674 msg/s
2018-12-24 21:12:22, id: test-211205-330, time: 16.796s, sent: 15429 msg/s
2018-12-24 21:12:23, id: test-211205-330, time: 17.873s, sent: 14193 msg/s
2018-12-24 21:12:24, id: test-211205-330, time: 18.919s, sent: 15206 msg/s
2018-12-24 21:12:25, id: test-211205-330, time: 19.995s, sent: 14680 msg/s
2018-12-24 21:12:26, id: test-211205-330, time: 21.047s, sent: 15328 msg/s
2018-12-24 21:12:27, id: test-211205-330, time: 22.047s, sent: 15249 msg/s
2018-12-24 21:12:28, id: test-211205-330, time: 23.061s, sent: 14386 msg/s
2018-12-24 21:12:29, id: test-211205-330, time: 24.091s, sent: 15123 msg/s
2018-12-24 21:12:30, id: test-211205-330, time: 25.091s, sent: 14761 msg/s
2018-12-24 21:12:31, id: test-211205-330, time: 26.157s, sent: 14657 msg/s
2018-12-24 21:12:32, id: test-211205-330, time: 27.261s, sent: 14805 msg/s
2018-12-24 21:12:33, id: test-211205-330, time: 28.305s, sent: 13449 msg/s
2018-12-24 21:12:34, id: test-211205-330, time: 29.398s, sent: 14753 msg/s
2018-12-24 21:12:35, id: test-211205-330, time: 30.457s, sent: 14915 msg/s
2018-12-24 21:12:36, id: test-211205-330, time: 31.486s, sent: 15350 msg/s
2018-12-24 21:12:37, id: test-211205-330, time: 32.553s, sent: 14701 msg/s
2018-12-24 21:12:38, id: test-211205-330, time: 33.580s, sent: 14312 msg/s
2018-12-24 21:12:40, id: test-211205-330, time: 34.589s, sent: 14785 msg/s
2018-12-24 21:12:41, id: test-211205-330, time: 35.647s, sent: 14308 msg/s
2018-12-24 21:12:42, id: test-211205-330, time: 36.667s, sent: 15056 msg/s
2018-12-24 21:12:43, id: test-211205-330, time: 37.691s, sent: 14783 msg/s
2018-12-24 21:12:44, id: test-211205-330, time: 38.721s, sent: 14484 msg/s
2018-12-24 21:12:45, id: test-211205-330, time: 39.734s, sent: 15160 msg/s
2018-12-24 21:12:46, id: test-211205-330, time: 40.759s, sent: 15089 msg/s
2018-12-24 21:12:47, id: test-211205-330, time: 41.819s, sent: 14901 msg/s
2018-12-24 21:12:48, id: test-211205-330, time: 42.870s, sent: 14403 msg/s
2018-12-24 21:12:49, id: test-211205-330, time: 43.917s, sent: 15191 msg/s
2018-12-24 21:12:50, id: test-211205-330, time: 44.969s, sent: 15433 msg/s
2018-12-24 21:12:51, id: test-211205-330, time: 46.019s, sent: 14625 msg/s
2018-12-24 21:12:52, id: test-211205-330, time: 47.078s, sent: 14813 msg/s
2018-12-24 21:12:53, id: test-211205-330, time: 48.121s, sent: 14513 msg/s
2018-12-24 21:12:54, id: test-211205-330, time: 49.212s, sent: 14880 msg/s
2018-12-24 21:12:55, id: test-211205-330, time: 50.276s, sent: 15361 msg/s
2018-12-24 21:12:56, id: test-211205-330, time: 51.323s, sent: 15086 msg/s
2018-12-24 21:12:57, id: test-211205-330, time: 52.348s, sent: 15304 msg/s
2018-12-24 21:12:58, id: test-211205-330, time: 53.397s, sent: 14640 msg/s
2018-12-24 21:12:59, id: test-211205-330, time: 54.457s, sent: 14695 msg/s
2018-12-24 21:13:00, id: test-211205-330, time: 55.515s, sent: 15448 msg/s
2018-12-24 21:13:02, id: test-211205-330, time: 56.607s, sent: 14466 msg/s
2018-12-24 21:13:03, id: test-211205-330, time: 57.699s, sent: 15067 msg/s
2018-12-24 21:13:04, id: test-211205-330, time: 58.709s, sent: 15097 msg/s
2018-12-24 21:13:05, id: test-211205-330, time: 59.790s, sent: 14613 msg/s
2018-12-24 21:13:06, id: test-211205-330, time: 60.856s, sent: 15126 msg/s
2018-12-24 21:13:07, id: test-211205-330, time: 61.972s, sent: 14744 msg/s
2018-12-24 21:13:08, id: test-211205-330, time: 63.006s, sent: 15806 msg/s
2018-12-24 21:13:09, id: test-211205-330, time: 64.073s, sent: 15421 msg/s
2018-12-24 21:13:10, id: test-211205-330, time: 65.123s, sent: 14417 msg/s
2018-12-24 21:13:11, id: test-211205-330, time: 66.195s, sent: 14837 msg/s
2018-12-24 21:13:12, id: test-211205-330, time: 67.310s, sent: 14560 msg/s
2018-12-24 21:13:13, id: test-211205-330, time: 68.376s, sent: 14715 msg/s
2018-12-24 21:13:14, id: test-211205-330, time: 69.395s, sent: 15501 msg/s
2018-12-24 21:13:15, id: test-211205-330, time: 70.476s, sent: 14714 msg/s
2018-12-24 21:13:16, id: test-211205-330, time: 71.521s, sent: 15536 msg/s
2018-12-24 21:13:17, id: test-211205-330, time: 72.569s, sent: 14549 msg/s
