2018-12-17 14:59:43, id: test-145942-974, starting producer #0
2018-12-17 14:59:43, id: test-145942-974, starting producer #0, channel #0
2018-12-17 14:59:44, id: test-145942-974, time: 1.033s, sent: 9556 msg/s
2018-12-17 14:59:45, id: test-145942-974, time: 2.184s, sent: 5613 msg/s
2018-12-17 14:59:46, id: test-145942-974, time: 3.376s, sent: 6338 msg/s
2018-12-17 14:59:47, id: test-145942-974, time: 4.376s, sent: 7500 msg/s
2018-12-17 14:59:48, id: test-145942-974, time: 5.380s, sent: 5183 msg/s
2018-12-17 14:59:49, id: test-145942-974, time: 6.407s, sent: 6077 msg/s
2018-12-17 14:59:50, id: test-145942-974, time: 7.412s, sent: 6320 msg/s
2018-12-17 14:59:51, id: test-145942-974, time: 8.439s, sent: 6077 msg/s
2018-12-17 14:59:52, id: test-145942-974, time: 9.472s, sent: 6149 msg/s
2018-12-17 14:59:53, id: test-145942-974, time: 10.532s, sent: 5888 msg/s
2018-12-17 14:59:54, id: test-145942-974, time: 11.544s, sent: 6276 msg/s
2018-12-17 14:59:55, id: test-145942-974, time: 12.596s, sent: 5933 msg/s
2018-12-17 14:59:56, id: test-145942-974, time: 13.660s, sent: 5969 msg/s
2018-12-17 14:59:57, id: test-145942-974, time: 14.660s, sent: 6461 msg/s
2018-12-17 14:59:58, id: test-145942-974, time: 15.723s, sent: 6181 msg/s
2018-12-17 14:59:59, id: test-145942-974, time: 16.787s, sent: 5866 msg/s
2018-12-17 15:00:00, id: test-145942-974, time: 17.796s, sent: 6186 msg/s
2018-12-17 15:00:01, id: test-145942-974, time: 18.796s, sent: 7290 msg/s
2018-12-17 15:00:03, id: test-145942-974, time: 20.022s, sent: 5398 msg/s
2018-12-17 15:00:04, id: test-145942-974, time: 21.139s, sent: 6176 msg/s
2018-12-17 15:00:05, id: test-145942-974, time: 22.177s, sent: 6014 msg/s
2018-12-17 15:00:06, id: test-145942-974, time: 23.177s, sent: 6466 msg/s
2018-12-17 15:00:07, id: test-145942-974, time: 24.232s, sent: 5911 msg/s
2018-12-17 15:00:08, id: test-145942-974, time: 25.328s, sent: 6294 msg/s
2018-12-17 15:00:09, id: test-145942-974, time: 26.476s, sent: 6105 msg/s
2018-12-17 15:00:10, id: test-145942-974, time: 27.624s, sent: 6009 msg/s
2018-12-17 15:00:11, id: test-145942-974, time: 28.880s, sent: 6016 msg/s
2018-12-17 15:00:12, id: test-145942-974, time: 29.892s, sent: 6276 msg/s
2018-12-17 15:00:14, id: test-145942-974, time: 31.100s, sent: 6163 msg/s
2018-12-17 15:00:15, id: test-145942-974, time: 32.279s, sent: 6409 msg/s
2018-12-17 15:00:16, id: test-145942-974, time: 33.352s, sent: 6429 msg/s
2018-12-17 15:00:17, id: test-145942-974, time: 34.355s, sent: 5677 msg/s
2018-12-17 15:00:18, id: test-145942-974, time: 35.379s, sent: 6202 msg/s
2018-12-17 15:00:19, id: test-145942-974, time: 36.444s, sent: 5861 msg/s
2018-12-17 15:00:20, id: test-145942-974, time: 37.611s, sent: 6474 msg/s
