procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EST
 0  0      0  17682     74  12599    0    0     0   129    1    2  0  0 99  0  0 2018-11-25 00:54:46
 0  0      0  17682     74  12599    0    0     0     0  203  336  0  0 100  0  0 2018-11-25 00:54:47
 0  0      0  17682     74  12599    0    0     0     0  194  391  0  0 100  0  0 2018-11-25 00:54:48
 0  0      0  17682     74  12599    0    0     0     0  215  472  0  0 100  0  0 2018-11-25 00:54:49
 1  0      0  17666     74  12616    0    0     0    68 4416 4824  2  1 96  0  0 2018-11-25 00:54:50
 1  0      0  17631     74  12651    0    0     0    68 16553 15548 10  4 87  0  0 2018-11-25 00:54:51
 1  0      0  17594     74  12688    0    0     0     0 21143 18286  9  5 86  0  0 2018-11-25 00:54:52
 3  0      0  17557     74  12725    0    0     0     4 21752 18603  9  5 86  0  0 2018-11-25 00:54:53
 1  0      0  17520     74  12762    0    0     0     0 22182 18921  9  6 86  0  0 2018-11-25 00:54:54
 1  0      0  17483     74  12798    0    0     0     0 22338 19509  9  5 86  0  0 2018-11-25 00:54:55
 2  0      0  17449     74  12832    0    0     0    68 21585 18809 10  4 85  0  0 2018-11-25 00:54:56
 1  0      0  17415     74  12867    0    0     0     0 22867 19598  9  4 86  0  0 2018-11-25 00:54:57
 2  0      0  17385     74  12896    0    0     0 33032 20465 17340  8  4 87  2  0 2018-11-25 00:54:58
 2  0      0  17348     74  12933    0    0     0     0 22555 19209 10  4 86  0  0 2018-11-25 00:54:59
 1  0      0  17312     74  12970    0    0     0     0 21984 18926  9  5 86  0  0 2018-11-25 00:55:00
 2  0      0  17277     74  13004    0    0     0    68 23085 20372  9  5 86  0  0 2018-11-25 00:55:01
 1  0      0  17242     74  13038    0    0     0     0 26140 19738 10  5 85  0  0 2018-11-25 00:55:02
 0  3      0  17224     74  13056    0    0     0 233452 11658 9785  3  4 80 14  0 2018-11-25 00:55:03
 0  2      0  17225     74  13055    0    0     0 190324  368  427  0  0 76 24  0 2018-11-25 00:55:04
 1  0      0  17221     74  13059    0    0     0     0 3702 3322  1  1 89  9  0 2018-11-25 00:55:05
 3  0      0  17184     74  13096    0    0     0    68 22194 18759  9  4 86  0  0 2018-11-25 00:55:06
 3  0      0  17148     74  13132    0    0     0     0 22054 18860 10  5 86  0  0 2018-11-25 00:55:07
 1  0      0  17111     74  13169    0    0     0     0 16990 15490  8  4 89  0  0 2018-11-25 00:55:08
 1  0      0  17074     74  13206    0    0     0     0 17247 15663  8  4 88  0  0 2018-11-25 00:55:09
 2  0      0  17037     74  13243    0    0     0     0 17658 15629  8  4 88  0  0 2018-11-25 00:55:10
 1  0      0  17002     74  13278    0    0     0    68 23441 16022  8  5 88  0  0 2018-11-25 00:55:11
 1  0      0  16962     74  13318    0    0     0     0 24805 16961  9  5 86  0  0 2018-11-25 00:55:12
 2  0      0  16925     74  13355    0    0     0     0 23676 17301  8  5 87  0  0 2018-11-25 00:55:13
 1  0      0  16887     74  13392    0    0     0     0 22446 19892 10  4 86  0  0 2018-11-25 00:55:14
 2  0      0  16848     74  13431    0    0     0     0 24142 19959  9  5 86  0  0 2018-11-25 00:55:15
 2  0      0  16810     74  13470    0    0     0  4204 24680 19904  9  6 85  1  0 2018-11-25 00:55:16
 1  0      0  16768     74  13511    0    0     0     0 24248 20398  9  5 87  0  0 2018-11-25 00:55:17
 1  0      0  16731     74  13549    0    0     0     0 22635 19248 11  4 85  0  0 2018-11-25 00:55:18
 2  0      0  16692     74  13588    0    0     0     0 23383 19437  9  5 86  0  0 2018-11-25 00:55:19
 2  0      0  16652     74  13627    0    0     0     0 23446 19441 10  5 86  0  0 2018-11-25 00:55:20
 2  2      0  16608     74  13671    0    0     0 294984 25128 20027  8  7 75 10  0 2018-11-25 00:55:21
 1  2      0  16566     74  13714    0    0     0 163840 24686 19851  9  6 72 14  0 2018-11-25 00:55:22
 1  2      0  16522     74  13757    0    0     0 133228 25234 20297  8  6 73 13  0 2018-11-25 00:55:23
 1  0      0  16488     74  13791    0    0     0  4700 24098 22175 10  5 77  9  0 2018-11-25 00:55:24
 1  0      0  16454     74  13825    0    0     0     0 22863 20062  9  6 85  0  0 2018-11-25 00:55:25
 1  0      0  16420     74  13860    0    0     0    68 22960 20301  9  5 85  0  0 2018-11-25 00:55:26
 2  0      0  16386     74  13893    0    0     0     0 23302 20574  9  5 86  0  0 2018-11-25 00:55:27
 2  0      0  16351     74  13928    0    0     0     0 23673 20670  8  5 87  0  0 2018-11-25 00:55:28
 2  0      0  16317     74  13962    0    0     0     0 23478 20692  9  5 86  0  0 2018-11-25 00:55:29
 1  0      0  16283     74  13996    0    0     0     0 23510 20816 11  4 85  0  0 2018-11-25 00:55:30
 2  0      0  16249     74  14031    0    0     0    68 22408 19494  9  6 85  0  0 2018-11-25 00:55:31
 2  0      0  16214     74  14065    0    0     0     0 22417 19652  9  5 85  0  0 2018-11-25 00:55:32
 1  0      0  16180     74  14099    0    0     0     0 22575 19805  9  5 86  0  0 2018-11-25 00:55:33
 4  0      0  16146     74  14133    0    0     0    24 22709 19898  9  5 85  0  0 2018-11-25 00:55:34
 2  0      0  16112     74  14167    0    0     0     0 22586 19614 10  5 85  0  0 2018-11-25 00:55:35
 2  0      0  16078     74  14201    0    0     0    68 22848 20046 10  5 85  0  0 2018-11-25 00:55:36
 1  0      0  16043     74  14236    0    0     0     0 23785 20682  9  4 88  0  0 2018-11-25 00:55:37
 2  0      0  16010     74  14270    0    0     0     0 23072 19940  9  5 86  0  0 2018-11-25 00:55:38
 3  0      0  15976     74  14304    0    0     0     0 22010 18826  9  5 86  0  0 2018-11-25 00:55:39
 1  0      0  15941     74  14338    0    0     0    68 22917 19590  9  5 86  0  0 2018-11-25 00:55:40
 1  0      0  15907     74  14372    0    0     0    68 22387 19501  9  5 85  0  0 2018-11-25 00:55:41
 1  0      0  15873     74  14407    0    0     0     0 22414 19464 10  4 86  0  0 2018-11-25 00:55:42
 3  0      0  18126     74  12152    0    0     0     0 22868 20072 10  7 83  0  0 2018-11-25 00:55:43
 3  0      0  25643     74   4637    0    0     0     0 25215 22210  8 13 79  0  0 2018-11-25 00:55:44
 3  0      0  26317     74   3961    0    0     0     0 22963 19664  9  5 85  0  0 2018-11-25 00:55:45
 1  0      0  26284     74   3996    0    0     0    68 23884 20037  9  4 86  0  0 2018-11-25 00:55:46
 1  0      0  26249     74   4030    0    0     0     0 23173 19844  9  5 86  0  0 2018-11-25 00:55:47
 1  0      0  26216     74   4064    0    0     0     0 23174 20110  9  4 86  0  0 2018-11-25 00:55:48
 2  0      0  26181     74   4098    0    0     0     0 22747 20001 10  4 86  0  0 2018-11-25 00:55:49
 1  1      0  26146     74   4133    0    0     0 241672 22139 19407  9  6 81  3  0 2018-11-25 00:55:50
 1  2      0  26112     74   4166    0    0     0 162560 22353 19798 10  5 72 13  0 2018-11-25 00:55:51
 1  2      0  26079     74   4200    0    0     0 196608 23264 20355  9  6 72 13  0 2018-11-25 00:55:52
 2  2      0  26045     74   4234    0    0     0 174080 23486 20455  9  6 78  7  0 2018-11-25 00:55:53
 2  3      0  26010     74   4269    0    0     0 167940 23482 19973  8  6 71 15  0 2018-11-25 00:55:54
 2  1      0  25977     74   4301    0    0     0 113872 23021 20810 10  5 71 14  0 2018-11-25 00:55:55
 2  0      0  25944     74   4335    0    0     0   912 23451 21088 10  5 78  7  0 2018-11-25 00:55:56
 2  0      0  25910     74   4370    0    0     0     0 22772 20041  9  5 86  0  0 2018-11-25 00:55:57
 1  0      0  25876     74   4404    0    0     0     0 23245 20359  9  5 86  0  0 2018-11-25 00:55:58
 1  0      0  25841     74   4438    0    0     0     0 22687 20465  9  5 86  0  0 2018-11-25 00:55:59
 2  0      0  25807     74   4472    0    0     0     0 22514 19905  9  5 85  0  0 2018-11-25 00:56:00
 3  0      0  25773     74   4506    0    0     0   100 22745 20263  9  5 86  0  0 2018-11-25 00:56:01
 2  0      0  25739     74   4540    0    0     0     0 22855 20455 11  5 84  0  0 2018-11-25 00:56:02
 2  0      0  25705     74   4574    0    0     0     0 22717 20052  9  5 86  0  0 2018-11-25 00:56:03
 0  0      0  25671     74   4608    0    0     0     0 23360 20351  9  5 87  0  0 2018-11-25 00:56:04
 2  0      0  25636     74   4642    0    0     0     0 23053 19791  9  5 86  0  0 2018-11-25 00:56:05
 2  0      0  25603     74   4677    0    0     0   136 22654 19646  9  5 86  0  0 2018-11-25 00:56:06
