time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 08:01:02:119, 0, 41.7627, 8.3492, 85530, 17099.1603, 14, 4988, 8.3726, 17147.1532
2018-11-27 08:01:07:120, 0, 71.0977, 5.8658, 145608, 12013.1974, 0, 5001, 5.8658, 12013.1974
2018-11-27 08:01:12:122, 0, 91.9409, 4.1670, 188295, 8533.9864, 0, 5002, 4.1670, 8533.9864
2018-11-27 08:01:17:122, 0, 125.5142, 6.7146, 257053, 13751.6000, 0, 5000, 6.7146, 13751.6000
2018-11-27 08:01:22:124, 0, 159.0874, 6.7120, 325811, 13746.1016, 0, 5002, 6.7120, 13746.1016
2018-11-27 08:01:27:125, 0, 192.5547, 6.6921, 394352, 13705.4589, 0, 5001, 6.6921, 13705.4589
2018-11-27 08:01:32:125, 0, 226.0825, 6.7056, 463017, 13733.0000, 0, 5000, 6.7056, 13733.0000
2018-11-27 08:01:37:126, 0, 259.5801, 6.6982, 531620, 13717.8564, 0, 5001, 6.6982, 13717.8564
2018-11-27 08:01:42:126, 0, 292.9717, 6.6783, 600006, 13677.2000, 0, 5000, 6.6783, 13677.2000
2018-11-27 08:01:47:127, 0, 326.3784, 6.6800, 668423, 13680.6639, 0, 5001, 6.6800, 13680.6639
2018-11-27 08:01:52:128, 0, 359.7095, 6.6649, 736685, 13649.6701, 0, 5001, 6.6649, 13649.6701
2018-11-27 08:01:57:129, 0, 393.0254, 6.6619, 804916, 13643.4713, 0, 5001, 6.6619, 13643.4713
2018-11-27 08:02:02:130, 0, 426.4473, 6.6830, 873364, 13686.8626, 0, 5001, 6.6830, 13686.8626
2018-11-27 08:02:07:130, 0, 459.9297, 6.6965, 941936, 13714.4000, 0, 5000, 6.6965, 13714.4000
2018-11-27 08:02:12:130, 0, 493.3213, 6.6783, 1010322, 13677.2000, 0, 5000, 6.6783, 13677.2000
2018-11-27 08:02:17:130, 0, 526.5767, 6.6511, 1078429, 13621.4000, 0, 5000, 6.6511, 13621.4000
2018-11-27 08:02:22:130, 0, 559.8623, 6.6571, 1146598, 13633.8000, 0, 5000, 6.6571, 13633.8000
2018-11-27 08:02:27:130, 0, 593.0269, 6.6329, 1214519, 13584.2000, 0, 5000, 6.6329, 13584.2000
2018-11-27 08:02:32:132, 0, 626.4185, 6.6757, 1282905, 13671.7313, 0, 5002, 6.6757, 13671.7313
2018-11-27 08:02:37:132, 0, 659.7646, 6.6692, 1351198, 13658.6000, 0, 5000, 6.6692, 13658.6000
2018-11-27 08:02:42:133, 0, 693.0806, 6.6619, 1419429, 13643.4713, 0, 5001, 6.6619, 13643.4713
2018-11-27 08:02:47:134, 0, 726.4268, 6.6679, 1487722, 13655.8688, 0, 5001, 6.6679, 13655.8688
2018-11-27 08:02:52:135, 0, 759.6821, 6.6497, 1555829, 13618.6763, 0, 5001, 6.6497, 13618.6763
2018-11-27 08:02:57:135, 0, 793.0283, 6.6692, 1624122, 13658.6000, 0, 5000, 6.6692, 13658.6000
2018-11-27 08:03:02:136, 0, 826.3442, 6.6619, 1692353, 13643.4713, 0, 5001, 6.6619, 13643.4713
2018-11-27 08:03:07:138, 0, 859.4937, 6.6272, 1760243, 13572.5710, 0, 5002, 6.6272, 13572.5710
2018-11-27 08:03:12:139, 0, 892.8247, 6.6649, 1828505, 13649.6701, 0, 5001, 6.6649, 13649.6701
2018-11-27 08:03:17:141, 0, 926.0498, 6.6424, 1896550, 13603.5586, 0, 5002, 6.6424, 13603.5586
2018-11-27 08:03:22:141, 0, 959.2900, 6.6480, 1964626, 13615.2000, 0, 5000, 6.6480, 13615.2000
2018-11-27 08:03:27:141, 0, 992.6211, 6.6662, 2032888, 13652.4000, 0, 5000, 6.6662, 13652.4000
2018-11-27 08:03:32:141, 0, 1025.9370, 6.6632, 2101119, 13646.2000, 0, 5000, 6.6632, 13646.2000
2018-11-27 08:03:37:142, 0, 1059.2832, 6.6679, 2169412, 13655.8688, 0, 5001, 6.6679, 13655.8688
2018-11-27 08:03:42:143, 0, 1092.6748, 6.6770, 2237798, 13674.4651, 0, 5001, 6.6770, 13674.4651
2018-11-27 08:03:47:143, 0, 1125.9302, 6.6511, 2305905, 13621.4000, 0, 5000, 6.6511, 13621.4000
2018-11-27 08:03:52:143, 0, 1159.2007, 6.6541, 2374043, 13627.6000, 0, 5000, 6.6541, 13627.6000
2018-11-27 08:03:57:144, 0, 1192.6831, 6.6951, 2442615, 13711.6577, 0, 5001, 6.6951, 13711.6577
2018-11-27 08:04:02:145, 0, 1226.1201, 6.6861, 2511094, 13693.0614, 0, 5001, 6.6861, 13693.0614
2018-11-27 08:04:07:146, 0, 1259.2241, 6.6195, 2578891, 13556.6887, 0, 5001, 6.6195, 13556.6887
2018-11-27 08:04:12:148, 0, 1292.4038, 6.6333, 2646843, 13584.9660, 0, 5002, 6.6333, 13584.9660
2018-11-27 08:04:17:149, 0, 1325.7046, 6.6588, 2715043, 13637.2725, 0, 5001, 6.6588, 13637.2725
