2018-12-24 20:52:10, id: test-205209-921, starting consumer #0
2018-12-24 20:52:10, id: test-205209-921, starting consumer #0, channel #0
2018-12-24 20:52:11, id: test-205209-921, time: 1.057s, received: 0.95 msg/s
2018-12-24 20:52:12, id: test-205209-921, time: 2.057s, received: 14911 msg/s
2018-12-24 20:52:13, id: test-205209-921, time: 3.057s, received: 16022 msg/s
2018-12-24 20:52:14, id: test-205209-921, time: 4.057s, received: 17637 msg/s
2018-12-24 20:52:15, id: test-205209-921, time: 5.057s, received: 18374 msg/s
2018-12-24 20:52:16, id: test-205209-921, time: 6.057s, received: 18026 msg/s
2018-12-24 20:52:17, id: test-205209-921, time: 7.057s, received: 18631 msg/s
2018-12-24 20:52:18, id: test-205209-921, time: 8.057s, received: 18569 msg/s
2018-12-24 20:52:19, id: test-205209-921, time: 9.057s, received: 18730 msg/s
2018-12-24 20:52:20, id: test-205209-921, time: 10.057s, received: 18615 msg/s
2018-12-24 20:52:21, id: test-205209-921, time: 11.057s, received: 18364 msg/s
2018-12-24 20:52:22, id: test-205209-921, time: 12.057s, received: 18371 msg/s
2018-12-24 20:52:23, id: test-205209-921, time: 13.057s, received: 18767 msg/s
2018-12-24 20:52:24, id: test-205209-921, time: 14.057s, received: 18409 msg/s
2018-12-24 20:52:25, id: test-205209-921, time: 15.057s, received: 18198 msg/s
2018-12-24 20:52:26, id: test-205209-921, time: 16.057s, received: 17958 msg/s
2018-12-24 20:52:27, id: test-205209-921, time: 17.057s, received: 18284 msg/s
2018-12-24 20:52:28, id: test-205209-921, time: 18.057s, received: 18528 msg/s
2018-12-24 20:52:29, id: test-205209-921, time: 19.057s, received: 18306 msg/s
2018-12-24 20:52:30, id: test-205209-921, time: 20.057s, received: 18129 msg/s
2018-12-24 20:52:31, id: test-205209-921, time: 21.057s, received: 17700 msg/s
2018-12-24 20:52:32, id: test-205209-921, time: 22.057s, received: 17944 msg/s
2018-12-24 20:52:33, id: test-205209-921, time: 23.057s, received: 17992 msg/s
2018-12-24 20:52:34, id: test-205209-921, time: 24.057s, received: 17927 msg/s
2018-12-24 20:52:35, id: test-205209-921, time: 25.057s, received: 18052 msg/s
2018-12-24 20:52:36, id: test-205209-921, time: 26.057s, received: 17885 msg/s
2018-12-24 20:52:37, id: test-205209-921, time: 27.057s, received: 17969 msg/s
2018-12-24 20:52:38, id: test-205209-921, time: 28.057s, received: 18252 msg/s
2018-12-24 20:52:39, id: test-205209-921, time: 29.057s, received: 18135 msg/s
2018-12-24 20:52:40, id: test-205209-921, time: 30.057s, received: 18180 msg/s
2018-12-24 20:52:41, id: test-205209-921, time: 31.057s, received: 18002 msg/s
2018-12-24 20:52:42, id: test-205209-921, time: 32.057s, received: 18015 msg/s
2018-12-24 20:52:43, id: test-205209-921, time: 33.057s, received: 18076 msg/s
2018-12-24 20:52:44, id: test-205209-921, time: 34.057s, received: 17923 msg/s
2018-12-24 20:52:45, id: test-205209-921, time: 35.057s, received: 17813 msg/s
2018-12-24 20:52:46, id: test-205209-921, time: 36.057s, received: 18187 msg/s
2018-12-24 20:52:47, id: test-205209-921, time: 37.057s, received: 18296 msg/s
2018-12-24 20:52:48, id: test-205209-921, time: 38.057s, received: 18072 msg/s
2018-12-24 20:52:49, id: test-205209-921, time: 39.057s, received: 18301 msg/s
2018-12-24 20:52:50, id: test-205209-921, time: 40.057s, received: 17826 msg/s
2018-12-24 20:52:51, id: test-205209-921, time: 41.057s, received: 17922 msg/s
2018-12-24 20:52:52, id: test-205209-921, time: 42.057s, received: 18326 msg/s
2018-12-24 20:52:53, id: test-205209-921, time: 43.057s, received: 18540 msg/s
2018-12-24 20:52:54, id: test-205209-921, time: 44.057s, received: 18192 msg/s
2018-12-24 20:52:55, id: test-205209-921, time: 45.057s, received: 18020 msg/s
2018-12-24 20:52:56, id: test-205209-921, time: 46.057s, received: 18199 msg/s
2018-12-24 20:52:57, id: test-205209-921, time: 47.057s, received: 18293 msg/s
2018-12-24 20:52:58, id: test-205209-921, time: 48.057s, received: 18217 msg/s
2018-12-24 20:52:59, id: test-205209-921, time: 49.057s, received: 18153 msg/s
2018-12-24 20:53:00, id: test-205209-921, time: 50.057s, received: 18152 msg/s
2018-12-24 20:53:01, id: test-205209-921, time: 51.057s, received: 18266 msg/s
2018-12-24 20:53:02, id: test-205209-921, time: 52.057s, received: 18261 msg/s
2018-12-24 20:53:03, id: test-205209-921, time: 53.057s, received: 17979 msg/s
2018-12-24 20:53:04, id: test-205209-921, time: 54.057s, received: 18139 msg/s
2018-12-24 20:53:05, id: test-205209-921, time: 55.057s, received: 17889 msg/s
2018-12-24 20:53:06, id: test-205209-921, time: 56.057s, received: 18108 msg/s
2018-12-24 20:53:07, id: test-205209-921, time: 57.057s, received: 18044 msg/s
2018-12-24 20:53:08, id: test-205209-921, time: 58.057s, received: 18029 msg/s
2018-12-24 20:53:09, id: test-205209-921, time: 59.057s, received: 18052 msg/s
2018-12-24 20:53:10, id: test-205209-921, time: 60.057s, received: 17836 msg/s
2018-12-24 20:53:11, id: test-205209-921, time: 61.057s, received: 18155 msg/s
2018-12-24 20:53:12, id: test-205209-921, time: 62.057s, received: 18146 msg/s
2018-12-24 20:53:13, id: test-205209-921, time: 63.057s, received: 17984 msg/s
