2018-12-24 22:54:01, id: test-225401-514, starting consumer #0
2018-12-24 22:54:01, id: test-225401-514, starting consumer #0, channel #0
2018-12-24 22:54:07, id: test-225401-514, time: 5.734s, received: 0.17 msg/s
2018-12-24 22:54:08, id: test-225401-514, time: 6.734s, received: 7933 msg/s
2018-12-24 22:54:09, id: test-225401-514, time: 7.734s, received: 9320 msg/s
2018-12-24 22:54:10, id: test-225401-514, time: 8.734s, received: 8279 msg/s
2018-12-24 22:54:11, id: test-225401-514, time: 9.734s, received: 9516 msg/s
2018-12-24 22:54:12, id: test-225401-514, time: 10.734s, received: 9378 msg/s
2018-12-24 22:54:13, id: test-225401-514, time: 11.734s, received: 9459 msg/s
2018-12-24 22:54:14, id: test-225401-514, time: 12.734s, received: 9697 msg/s
2018-12-24 22:54:15, id: test-225401-514, time: 13.734s, received: 9650 msg/s
2018-12-24 22:54:16, id: test-225401-514, time: 14.734s, received: 9780 msg/s
2018-12-24 22:54:17, id: test-225401-514, time: 15.739s, received: 9437 msg/s
2018-12-24 22:54:18, id: test-225401-514, time: 16.739s, received: 9433 msg/s
2018-12-24 22:54:19, id: test-225401-514, time: 17.741s, received: 9791 msg/s
2018-12-24 22:54:20, id: test-225401-514, time: 18.741s, received: 9555 msg/s
2018-12-24 22:54:21, id: test-225401-514, time: 19.741s, received: 9220 msg/s
2018-12-24 22:54:22, id: test-225401-514, time: 20.741s, received: 9509 msg/s
2018-12-24 22:54:23, id: test-225401-514, time: 21.742s, received: 9470 msg/s
2018-12-24 22:54:24, id: test-225401-514, time: 22.742s, received: 9573 msg/s
2018-12-24 22:54:25, id: test-225401-514, time: 23.742s, received: 9595 msg/s
2018-12-24 22:54:26, id: test-225401-514, time: 24.742s, received: 9677 msg/s
2018-12-24 22:54:27, id: test-225401-514, time: 25.742s, received: 9308 msg/s
2018-12-24 22:54:28, id: test-225401-514, time: 26.742s, received: 9475 msg/s
2018-12-24 22:54:29, id: test-225401-514, time: 27.743s, received: 9671 msg/s
2018-12-24 22:54:30, id: test-225401-514, time: 28.743s, received: 9435 msg/s
2018-12-24 22:54:31, id: test-225401-514, time: 29.743s, received: 9218 msg/s
2018-12-24 22:54:32, id: test-225401-514, time: 30.743s, received: 9158 msg/s
2018-12-24 22:54:33, id: test-225401-514, time: 31.746s, received: 9370 msg/s
2018-12-24 22:54:34, id: test-225401-514, time: 32.746s, received: 9636 msg/s
2018-12-24 22:54:35, id: test-225401-514, time: 33.746s, received: 9518 msg/s
