2018-12-19 17:08:25, id: test-170824-943, starting consumer #0
2018-12-19 17:08:25, id: test-170824-943, starting consumer #0, channel #0
2018-12-19 17:08:26, id: test-170824-943, time: 1.212s, received: 0.83 msg/s
2018-12-19 17:08:27, id: test-170824-943, time: 2.212s, received: 14585 msg/s
2018-12-19 17:08:28, id: test-170824-943, time: 3.212s, received: 14407 msg/s
2018-12-19 17:08:29, id: test-170824-943, time: 4.212s, received: 14214 msg/s
2018-12-19 17:08:30, id: test-170824-943, time: 5.212s, received: 14220 msg/s
2018-12-19 17:08:31, id: test-170824-943, time: 6.212s, received: 14037 msg/s
2018-12-19 17:08:32, id: test-170824-943, time: 7.212s, received: 14536 msg/s
2018-12-19 17:08:33, id: test-170824-943, time: 8.212s, received: 14189 msg/s
2018-12-19 17:08:34, id: test-170824-943, time: 9.212s, received: 14708 msg/s
2018-12-19 17:08:35, id: test-170824-943, time: 10.212s, received: 14460 msg/s
2018-12-19 17:08:36, id: test-170824-943, time: 11.212s, received: 13182 msg/s
2018-12-19 17:08:37, id: test-170824-943, time: 12.212s, received: 13804 msg/s
2018-12-19 17:08:38, id: test-170824-943, time: 13.212s, received: 13465 msg/s
2018-12-19 17:08:39, id: test-170824-943, time: 14.212s, received: 13923 msg/s
2018-12-19 17:08:40, id: test-170824-943, time: 15.212s, received: 13475 msg/s
2018-12-19 17:08:41, id: test-170824-943, time: 16.212s, received: 13720 msg/s
2018-12-19 17:08:42, id: test-170824-943, time: 17.212s, received: 13376 msg/s
2018-12-19 17:08:43, id: test-170824-943, time: 18.212s, received: 13638 msg/s
2018-12-19 17:08:44, id: test-170824-943, time: 19.212s, received: 13779 msg/s
2018-12-19 17:08:45, id: test-170824-943, time: 20.212s, received: 13759 msg/s
2018-12-19 17:08:46, id: test-170824-943, time: 21.212s, received: 13370 msg/s
2018-12-19 17:08:47, id: test-170824-943, time: 22.212s, received: 13540 msg/s
2018-12-19 17:08:48, id: test-170824-943, time: 23.212s, received: 13872 msg/s
2018-12-19 17:08:49, id: test-170824-943, time: 24.212s, received: 14169 msg/s
2018-12-19 17:08:50, id: test-170824-943, time: 25.212s, received: 13897 msg/s
2018-12-19 17:08:51, id: test-170824-943, time: 26.212s, received: 14120 msg/s
2018-12-19 17:08:52, id: test-170824-943, time: 27.212s, received: 14647 msg/s
