2018-12-22 02:16:58, id: test-021657-806, starting consumer #0
2018-12-22 02:16:58, id: test-021657-806, starting consumer #0, channel #0
2018-12-22 02:16:58, id: test-021657-806, time: 1.000s, received: 2742 msg/s
2018-12-22 02:16:59, id: test-021657-806, time: 2.000s, received: 6370 msg/s
2018-12-22 02:17:00, id: test-021657-806, time: 3.000s, received: 6542 msg/s
2018-12-22 02:17:01, id: test-021657-806, time: 4.000s, received: 6681 msg/s
2018-12-22 02:17:02, id: test-021657-806, time: 5.000s, received: 6719 msg/s
2018-12-22 02:17:03, id: test-021657-806, time: 6.000s, received: 6550 msg/s
2018-12-22 02:17:04, id: test-021657-806, time: 7.000s, received: 6575 msg/s
2018-12-22 02:17:05, id: test-021657-806, time: 8.001s, received: 6402 msg/s
2018-12-22 02:17:06, id: test-021657-806, time: 9.001s, received: 6514 msg/s
2018-12-22 02:17:07, id: test-021657-806, time: 10.001s, received: 6677 msg/s
2018-12-22 02:17:08, id: test-021657-806, time: 11.001s, received: 6209 msg/s
2018-12-22 02:17:09, id: test-021657-806, time: 12.001s, received: 6633 msg/s
2018-12-22 02:17:10, id: test-021657-806, time: 13.001s, received: 6598 msg/s
2018-12-22 02:17:11, id: test-021657-806, time: 14.001s, received: 6543 msg/s
2018-12-22 02:17:12, id: test-021657-806, time: 15.001s, received: 6638 msg/s
2018-12-22 02:17:13, id: test-021657-806, time: 16.001s, received: 6430 msg/s
2018-12-22 02:17:14, id: test-021657-806, time: 17.002s, received: 6634 msg/s
2018-12-22 02:17:15, id: test-021657-806, time: 18.002s, received: 7632 msg/s
2018-12-22 02:17:16, id: test-021657-806, time: 19.002s, received: 7421 msg/s
2018-12-22 02:17:17, id: test-021657-806, time: 20.002s, received: 7587 msg/s
2018-12-22 02:17:18, id: test-021657-806, time: 21.002s, received: 7341 msg/s
2018-12-22 02:17:19, id: test-021657-806, time: 22.002s, received: 6576 msg/s
2018-12-22 02:17:20, id: test-021657-806, time: 23.004s, received: 6472 msg/s
2018-12-22 02:17:21, id: test-021657-806, time: 24.004s, received: 6724 msg/s
2018-12-22 02:17:22, id: test-021657-806, time: 25.022s, received: 6494 msg/s
2018-12-22 02:17:23, id: test-021657-806, time: 26.022s, received: 6717 msg/s
2018-12-22 02:17:24, id: test-021657-806, time: 27.022s, received: 6537 msg/s
2018-12-22 02:17:25, id: test-021657-806, time: 28.022s, received: 7353 msg/s
2018-12-22 02:17:26, id: test-021657-806, time: 29.022s, received: 7106 msg/s
2018-12-22 02:17:27, id: test-021657-806, time: 30.022s, received: 6886 msg/s
2018-12-22 02:17:28, id: test-021657-806, time: 31.022s, received: 7463 msg/s
2018-12-22 02:17:29, id: test-021657-806, time: 32.022s, received: 7085 msg/s
2018-12-22 02:17:30, id: test-021657-806, time: 33.022s, received: 7207 msg/s
2018-12-22 02:17:31, id: test-021657-806, time: 34.022s, received: 7366 msg/s
2018-12-22 02:17:32, id: test-021657-806, time: 35.023s, received: 7392 msg/s
2018-12-22 02:17:33, id: test-021657-806, time: 36.023s, received: 7226 msg/s
2018-12-22 02:17:34, id: test-021657-806, time: 37.023s, received: 7551 msg/s
2018-12-22 02:17:35, id: test-021657-806, time: 38.023s, received: 7261 msg/s
2018-12-22 02:17:36, id: test-021657-806, time: 39.023s, received: 7272 msg/s
2018-12-22 02:17:37, id: test-021657-806, time: 40.023s, received: 6661 msg/s
2018-12-22 02:17:38, id: test-021657-806, time: 41.023s, received: 6547 msg/s
2018-12-22 02:17:39, id: test-021657-806, time: 42.026s, received: 6493 msg/s
