time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2018-11-27 15:39:19:476, 0, 37.0400, 7.4080, 75858, 15171.6000, 21, 4979, 7.4393, 15235.5895
2018-11-27 15:39:24:476, 0, 77.7578, 8.1436, 159248, 16678.0000, 0, 5000, 8.1436, 16678.0000
2018-11-27 15:39:29:477, 0, 96.4971, 3.7471, 197626, 7674.0652, 0, 5001, 3.7471, 7674.0652
2018-11-27 15:39:34:477, 0, 138.6680, 8.4342, 283992, 17273.2000, 0, 5000, 8.4342, 17273.2000
2018-11-27 15:39:39:477, 0, 180.7329, 8.4130, 370141, 17229.8000, 0, 5000, 8.4130, 17229.8000
2018-11-27 15:39:44:477, 0, 222.9189, 8.4372, 456538, 17279.4000, 0, 5000, 8.4372, 17279.4000
2018-11-27 15:39:49:478, 0, 265.2109, 8.4567, 543152, 17319.3361, 0, 5001, 8.4567, 17319.3361
2018-11-27 15:39:54:478, 0, 307.6240, 8.4826, 630014, 17372.4000, 0, 5000, 8.4826, 17372.4000
2018-11-27 15:39:59:478, 0, 349.8857, 8.4523, 716566, 17310.4000, 0, 5000, 8.4523, 17310.4000
2018-11-27 15:40:04:478, 0, 392.2383, 8.4705, 803304, 17347.6000, 0, 5000, 8.4705, 17347.6000
2018-11-27 15:40:09:478, 0, 434.5605, 8.4645, 889980, 17335.2000, 0, 5000, 8.4645, 17335.2000
2018-11-27 15:40:14:478, 0, 476.8525, 8.4584, 976594, 17322.8000, 0, 5000, 8.4584, 17322.8000
2018-11-27 15:40:19:478, 0, 516.9194, 8.0134, 1058651, 16411.4000, 0, 5000, 8.0134, 16411.4000
2018-11-27 15:40:24:478, 0, 558.4697, 8.3101, 1143746, 17019.0000, 0, 5000, 8.3101, 17019.0000
2018-11-27 15:40:29:478, 0, 600.7769, 8.4614, 1230391, 17329.0000, 0, 5000, 8.4614, 17329.0000
2018-11-27 15:40:34:478, 0, 643.1445, 8.4735, 1317160, 17353.8000, 0, 5000, 8.4735, 17353.8000
2018-11-27 15:40:39:479, 0, 685.6333, 8.4961, 1404177, 17399.9200, 0, 5001, 8.4961, 17399.9200
2018-11-27 15:40:44:480, 0, 728.0161, 8.4749, 1490977, 17356.5287, 0, 5001, 8.4749, 17356.5287
2018-11-27 15:40:49:480, 0, 770.4595, 8.4887, 1577901, 17384.8000, 0, 5000, 8.4887, 17384.8000
2018-11-27 15:40:54:480, 0, 812.7666, 8.4614, 1664546, 17329.0000, 0, 5000, 8.4614, 17329.0000
2018-11-27 15:40:59:481, 0, 854.8467, 8.4143, 1750726, 17232.5535, 0, 5001, 8.4143, 17232.5535
2018-11-27 15:41:04:481, 0, 896.2305, 8.2768, 1835480, 16950.8000, 0, 5000, 8.2768, 16950.8000
2018-11-27 15:41:09:482, 0, 938.5376, 8.4597, 1922125, 17325.5349, 0, 5001, 8.4597, 17325.5349
2018-11-27 15:41:14:482, 0, 980.7842, 8.4493, 2008646, 17304.2000, 0, 5000, 8.4493, 17304.2000
2018-11-27 15:41:19:482, 0, 1023.0308, 8.4493, 2095167, 17304.2000, 0, 5000, 8.4493, 17304.2000
2018-11-27 15:41:24:482, 0, 1065.4438, 8.4826, 2182029, 17372.4000, 0, 5000, 8.4826, 17372.4000
2018-11-27 15:41:29:482, 0, 1107.8115, 8.4735, 2268798, 17353.8000, 0, 5000, 8.4735, 17353.8000
2018-11-27 15:41:34:482, 0, 1150.1035, 8.4584, 2355412, 17322.8000, 0, 5000, 8.4584, 17322.8000
2018-11-27 15:41:39:483, 0, 1192.4561, 8.4688, 2442150, 17344.1312, 0, 5001, 8.4688, 17344.1312
2018-11-27 15:41:44:493, 0, 1233.7339, 8.2391, 2526687, 16873.6527, 0, 5010, 8.2391, 16873.6527
2018-11-27 15:41:49:493, 0, 1275.8594, 8.4251, 2612960, 17254.6000, 0, 5000, 8.4251, 17254.6000
2018-11-27 15:41:54:494, 0, 1318.1211, 8.4507, 2699512, 17306.9386, 0, 5001, 8.4507, 17306.9386
2018-11-27 15:41:59:494, 0, 1360.4585, 8.4675, 2786219, 17341.4000, 0, 5000, 8.4675, 17341.4000
2018-11-27 15:42:04:494, 0, 1402.8262, 8.4735, 2872988, 17353.8000, 0, 5000, 8.4735, 17353.8000
2018-11-27 15:42:09:495, 0, 1445.1333, 8.4597, 2959633, 17325.5349, 0, 5001, 8.4597, 17325.5349
2018-11-27 15:42:14:495, 0, 1487.5010, 8.4735, 3046402, 17353.8000, 0, 5000, 8.4735, 17353.8000
2018-11-27 15:42:19:495, 0, 1529.7778, 8.4554, 3132985, 17316.6000, 0, 5000, 8.4554, 17316.6000
2018-11-27 15:42:24:495, 0, 1572.1152, 8.4675, 3219692, 17341.4000, 0, 5000, 8.4675, 17341.4000
2018-11-27 15:42:29:496, 0, 1613.5293, 8.2812, 3304508, 16959.8080, 0, 5001, 8.2812, 16959.8080
2018-11-27 15:42:34:497, 0, 1655.3975, 8.3720, 3390254, 17145.7708, 0, 5001, 8.3720, 17145.7708
2018-11-27 15:42:39:498, 0, 1697.7046, 8.4597, 3476899, 17325.5349, 0, 5001, 8.4597, 17325.5349
2018-11-27 15:42:44:498, 0, 1740.0420, 8.4675, 3563606, 17341.4000, 0, 5000, 8.4675, 17341.4000
2018-11-27 15:42:49:499, 0, 1782.3794, 8.4658, 3650313, 17337.9324, 0, 5001, 8.4658, 17337.9324
2018-11-27 15:42:54:499, 0, 1824.7168, 8.4675, 3737020, 17341.4000, 0, 5000, 8.4675, 17341.4000
2018-11-27 15:42:59:500, 0, 1867.0239, 8.4597, 3823665, 17325.5349, 0, 5001, 8.4597, 17325.5349
2018-11-27 15:43:04:500, 0, 1909.3765, 8.4705, 3910403, 17347.6000, 0, 5000, 8.4705, 17347.6000
2018-11-27 15:43:09:501, 0, 1945.0083, 7.1249, 3983377, 14591.8816, 0, 5001, 7.1249, 14591.8816
2018-11-27 15:43:14:501, 0, 1986.7251, 8.3434, 4068813, 17087.2000, 0, 5000, 8.3434, 17087.2000
2018-11-27 15:43:19:502, 0, 2029.0776, 8.4688, 4155551, 17344.1312, 0, 5001, 8.4688, 17344.1312
2018-11-27 15:43:24:503, 0, 2071.5059, 8.4839, 4242444, 17375.1250, 0, 5001, 8.4839, 17375.1250
2018-11-27 15:43:29:503, 0, 2113.9946, 8.4978, 4329461, 17403.4000, 0, 5000, 8.4978, 17403.4000
2018-11-27 15:43:34:503, 0, 2156.4229, 8.4856, 4416354, 17378.6000, 0, 5000, 8.4856, 17378.6000
2018-11-27 15:43:39:504, 0, 2198.7754, 8.4688, 4503092, 17344.1312, 0, 5001, 8.4688, 17344.1312
2018-11-27 15:43:44:504, 0, 2241.1128, 8.4675, 4589799, 17341.4000, 0, 5000, 8.4675, 17341.4000
2018-11-27 15:43:49:768, 0, 2275.7153, 6.5734, 4660665, 13462.3860, 0, 5264, 6.5734, 13462.3860
2018-11-27 15:43:54:768, 0, 2317.2051, 8.2979, 4745636, 16994.2000, 0, 5000, 8.2979, 16994.2000
2018-11-27 15:43:59:769, 0, 2359.5728, 8.4718, 4832405, 17350.3299, 0, 5001, 8.4718, 17350.3299
2018-11-27 15:44:04:770, 0, 2401.8345, 8.4507, 4918957, 17306.9386, 0, 5001, 8.4507, 17306.9386
2018-11-27 15:44:09:771, 0, 2444.2021, 8.4718, 5005726, 17350.3299, 0, 5001, 8.4718, 17350.3299
