2018-12-21 02:32:34, id: test-023234-025, starting producer #0
2018-12-21 02:32:34, id: test-023234-025, starting producer #0, channel #0
2018-12-21 02:32:35, id: test-023234-025, time: 1.021s, sent: 7556 msg/s
2018-12-21 02:32:36, id: test-023234-025, time: 2.021s, sent: 8827 msg/s
2018-12-21 02:32:37, id: test-023234-025, time: 3.021s, sent: 6548 msg/s
2018-12-21 02:32:38, id: test-023234-025, time: 4.169s, sent: 5686 msg/s
2018-12-21 02:32:39, id: test-023234-025, time: 5.169s, sent: 7175 msg/s
2018-12-21 02:32:40, id: test-023234-025, time: 6.181s, sent: 5354 msg/s
2018-12-21 02:32:41, id: test-023234-025, time: 7.193s, sent: 6275 msg/s
2018-12-21 02:32:42, id: test-023234-025, time: 8.313s, sent: 6649 msg/s
2018-12-21 02:32:43, id: test-023234-025, time: 9.445s, sent: 6675 msg/s
2018-12-21 02:32:44, id: test-023234-025, time: 10.445s, sent: 6683 msg/s
2018-12-21 02:32:45, id: test-023234-025, time: 11.585s, sent: 5280 msg/s
2018-12-21 02:32:46, id: test-023234-025, time: 12.597s, sent: 6167 msg/s
2018-12-21 02:32:47, id: test-023234-025, time: 13.609s, sent: 6276 msg/s
2018-12-21 02:32:48, id: test-023234-025, time: 14.653s, sent: 6084 msg/s
2018-12-21 02:32:49, id: test-023234-025, time: 15.753s, sent: 6869 msg/s
2018-12-21 02:32:50, id: test-023234-025, time: 16.753s, sent: 5357 msg/s
2018-12-21 02:32:51, id: test-023234-025, time: 17.769s, sent: 5829 msg/s
2018-12-21 02:32:53, id: test-023234-025, time: 18.937s, sent: 6469 msg/s
2018-12-21 02:32:54, id: test-023234-025, time: 19.989s, sent: 5933 msg/s
2018-12-21 02:32:55, id: test-023234-025, time: 20.993s, sent: 6326 msg/s
2018-12-21 02:32:56, id: test-023234-025, time: 21.993s, sent: 6242 msg/s
2018-12-21 02:32:57, id: test-023234-025, time: 23.005s, sent: 6276 msg/s
2018-12-21 02:32:58, id: test-023234-025, time: 24.113s, sent: 6819 msg/s
2018-12-21 02:32:59, id: test-023234-025, time: 25.113s, sent: 6639 msg/s
2018-12-21 02:33:00, id: test-023234-025, time: 26.113s, sent: 6740 msg/s
2018-12-21 02:33:01, id: test-023234-025, time: 27.225s, sent: 5991 msg/s
2018-12-21 02:33:02, id: test-023234-025, time: 28.365s, sent: 6724 msg/s
2018-12-21 02:33:03, id: test-023234-025, time: 29.493s, sent: 6893 msg/s
2018-12-21 02:33:04, id: test-023234-025, time: 30.493s, sent: 6242 msg/s
2018-12-21 02:33:05, id: test-023234-025, time: 31.637s, sent: 6604 msg/s
2018-12-21 02:33:06, id: test-023234-025, time: 32.801s, sent: 6491 msg/s
2018-12-21 02:33:08, id: test-023234-025, time: 33.909s, sent: 6820 msg/s
2018-12-21 02:33:09, id: test-023234-025, time: 34.909s, sent: 6603 msg/s
2018-12-21 02:33:10, id: test-023234-025, time: 36.053s, sent: 6289 msg/s
2018-12-21 02:33:11, id: test-023234-025, time: 37.177s, sent: 5651 msg/s
2018-12-21 02:33:12, id: test-023234-025, time: 38.361s, sent: 6474 msg/s
2018-12-21 02:33:13, id: test-023234-025, time: 39.492s, sent: 6778 msg/s
2018-12-21 02:33:14, id: test-023234-025, time: 40.565s, sent: 6429 msg/s
2018-12-21 02:33:15, id: test-023234-025, time: 41.677s, sent: 6303 msg/s
2018-12-21 02:33:16, id: test-023234-025, time: 42.729s, sent: 6557 msg/s
2018-12-21 02:33:17, id: test-023234-025, time: 43.751s, sent: 6751 msg/s
2018-12-21 02:33:18, id: test-023234-025, time: 44.813s, sent: 6496 msg/s
2018-12-21 02:33:20, id: test-023234-025, time: 45.957s, sent: 6604 msg/s
2018-12-21 02:33:21, id: test-023234-025, time: 46.965s, sent: 6301 msg/s
2018-12-21 02:33:22, id: test-023234-025, time: 47.965s, sent: 6707 msg/s
2018-12-21 02:33:23, id: test-023234-025, time: 48.965s, sent: 6060 msg/s
2018-12-21 02:33:24, id: test-023234-025, time: 49.982s, sent: 6506 msg/s
2018-12-21 02:33:25, id: test-023234-025, time: 50.982s, sent: 7415 msg/s
2018-12-21 02:33:26, id: test-023234-025, time: 52.117s, sent: 5720 msg/s
2018-12-21 02:33:27, id: test-023234-025, time: 53.195s, sent: 6399 msg/s
2018-12-21 02:33:28, id: test-023234-025, time: 54.317s, sent: 6735 msg/s
2018-12-21 02:33:29, id: test-023234-025, time: 55.501s, sent: 6011 msg/s
2018-12-21 02:33:30, id: test-023234-025, time: 56.619s, sent: 6661 msg/s
2018-12-21 02:33:31, id: test-023234-025, time: 57.825s, sent: 4812 msg/s
2018-12-21 02:33:33, id: test-023234-025, time: 58.945s, sent: 6062 msg/s
2018-12-21 02:33:34, id: test-023234-025, time: 60.045s, sent: 6869 msg/s
2018-12-21 02:33:35, id: test-023234-025, time: 61.201s, sent: 6063 msg/s
2018-12-21 02:33:36, id: test-023234-025, time: 62.272s, sent: 5930 msg/s
2018-12-21 02:33:37, id: test-023234-025, time: 63.286s, sent: 7343 msg/s
2018-12-21 02:33:38, id: test-023234-025, time: 64.489s, sent: 6281 msg/s
2018-12-21 02:33:39, id: test-023234-025, time: 65.701s, sent: 6686 msg/s
2018-12-21 02:33:40, id: test-023234-025, time: 66.810s, sent: 6813 msg/s
2018-12-21 02:33:41, id: test-023234-025, time: 67.885s, sent: 5399 msg/s
2018-12-21 02:33:43, id: test-023234-025, time: 68.957s, sent: 6946 msg/s
2018-12-21 02:33:44, id: test-023234-025, time: 70.081s, sent: 6722 msg/s
2018-12-21 02:33:45, id: test-023234-025, time: 71.317s, sent: 6202 msg/s
2018-12-21 02:33:46, id: test-023234-025, time: 72.485s, sent: 6470 msg/s
2018-12-21 02:33:47, id: test-023234-025, time: 73.689s, sent: 6275 msg/s
2018-12-21 02:33:48, id: test-023234-025, time: 74.881s, sent: 6338 msg/s
2018-12-21 02:33:50, id: test-023234-025, time: 76.085s, sent: 6276 msg/s
2018-12-21 02:33:51, id: test-023234-025, time: 77.193s, sent: 6721 msg/s
2018-12-21 02:33:52, id: test-023234-025, time: 78.305s, sent: 5120 msg/s
2018-12-21 02:33:53, id: test-023234-025, time: 79.429s, sent: 6625 msg/s
2018-12-21 02:33:54, id: test-023234-025, time: 80.585s, sent: 6537 msg/s
2018-12-21 02:33:55, id: test-023234-025, time: 81.585s, sent: 7330 msg/s
2018-12-21 02:33:56, id: test-023234-025, time: 82.749s, sent: 5180 msg/s
2018-12-21 02:33:57, id: test-023234-025, time: 83.814s, sent: 6992 msg/s
2018-12-21 02:33:59, id: test-023234-025, time: 84.997s, sent: 5924 msg/s
2018-12-21 02:34:00, id: test-023234-025, time: 86.201s, sent: 6275 msg/s
2018-12-21 02:34:01, id: test-023234-025, time: 87.252s, sent: 7085 msg/s
2018-12-21 02:34:02, id: test-023234-025, time: 88.430s, sent: 6414 msg/s
2018-12-21 02:34:03, id: test-023234-025, time: 89.545s, sent: 6286 msg/s
2018-12-21 02:34:04, id: test-023234-025, time: 90.605s, sent: 7025 msg/s
2018-12-21 02:34:05, id: test-023234-025, time: 91.800s, sent: 6323 msg/s
2018-12-21 02:34:07, id: test-023234-025, time: 92.957s, sent: 6531 msg/s
2018-12-21 02:34:08, id: test-023234-025, time: 94.150s, sent: 6333 msg/s
2018-12-21 02:34:09, id: test-023234-025, time: 95.241s, sent: 6424 msg/s
2018-12-21 02:34:10, id: test-023234-025, time: 96.261s, sent: 6227 msg/s
2018-12-21 02:34:11, id: test-023234-025, time: 97.349s, sent: 6844 msg/s
2018-12-21 02:34:12, id: test-023234-025, time: 98.565s, sent: 6303 msg/s
2018-12-21 02:34:13, id: test-023234-025, time: 99.757s, sent: 6339 msg/s
2018-12-21 02:34:15, id: test-023234-025, time: 100.893s, sent: 6651 msg/s
2018-12-21 02:34:16, id: test-023234-025, time: 101.909s, sent: 6143 msg/s
2018-12-21 02:34:17, id: test-023234-025, time: 103.217s, sent: 5777 msg/s
2018-12-21 02:34:18, id: test-023234-025, time: 104.365s, sent: 6581 msg/s
2018-12-21 02:34:19, id: test-023234-025, time: 105.545s, sent: 6404 msg/s
2018-12-21 02:34:20, id: test-023234-025, time: 106.737s, sent: 6338 msg/s
2018-12-21 02:34:22, id: test-023234-025, time: 107.921s, sent: 6381 msg/s
2018-12-21 02:34:23, id: test-023234-025, time: 109.117s, sent: 6318 msg/s
2018-12-21 02:34:24, id: test-023234-025, time: 110.181s, sent: 5763 msg/s
2018-12-21 02:34:25, id: test-023234-025, time: 111.257s, sent: 6616 msg/s
2018-12-21 02:34:26, id: test-023234-025, time: 112.313s, sent: 6843 msg/s
2018-12-21 02:34:27, id: test-023234-025, time: 113.565s, sent: 5598 msg/s
2018-12-21 02:34:28, id: test-023234-025, time: 114.657s, sent: 6519 msg/s
